date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,2,7,7,6,9,11,11,200,1019,18,0.5,0.0,7.1,4,71,3,Trigg County,Kentucky
2020-03-02,19,19,12,13,13,5,14,15,11,233,1009,17,26.4,0.0,5.6,12,88,3,Trigg County,Kentucky
2020-03-03,16,16,10,12,12,5,13,13,9,284,1009,13,8.9,0.0,10.1,8,76,4,Trigg County,Kentucky
2020-03-04,15,15,7,9,9,6,10,12,6,282,1016,10,0.0,0.0,10.1,4,68,3,Trigg County,Kentucky
2020-03-05,15,15,5,8,8,6,9,11,7,224,1019,11,0.1,0.0,11.3,3,66,4,Trigg County,Kentucky
2020-03-06,9,9,2,1,1,6,5,5,12,326,1027,19,0.1,0.0,8.6,-1,64,2,Trigg County,Kentucky
2020-03-07,11,11,-1,2,2,6,4,6,5,94,1034,7,0.0,0.0,11.4,-3,63,3,Trigg County,Kentucky
2020-03-08,16,16,3,7,7,6,9,10,9,192,1029,15,0.0,0.0,11.4,2,63,3,Trigg County,Kentucky
2020-03-09,17,17,10,12,12,5,13,14,14,191,1025,22,4.6,0.0,8.7,9,76,3,Trigg County,Kentucky
2020-03-10,15,15,8,12,12,5,13,13,9,314,1022,14,9.1,0.0,5.7,10,85,3,Trigg County,Kentucky
2020-03-11,15,15,6,9,9,4,10,11,3,208,1019,4,1.2,0.0,5.7,8,89,3,Trigg County,Kentucky
2020-03-12,20,20,9,15,15,3,15,16,9,185,1010,14,5.6,0.0,5.8,14,92,4,Trigg County,Kentucky
2020-03-13,11,11,7,8,8,5,10,9,9,16,1023,14,4.1,0.0,11.5,4,70,3,Trigg County,Kentucky
2020-03-14,8,8,5,3,3,4,6,6,10,54,1027,15,45.2,0.0,5.8,3,80,2,Trigg County,Kentucky
2020-03-15,8,8,3,2,2,5,5,6,8,30,1031,12,0.2,0.0,5.8,3,86,2,Trigg County,Kentucky
2020-03-16,7,7,0,3,3,5,4,5,3,112,1027,4,1.9,0.0,7.4,3,91,2,Trigg County,Kentucky
2020-03-17,14,14,6,8,8,5,9,10,5,45,1024,7,7.5,0.0,6.2,7,87,2,Trigg County,Kentucky
2020-03-18,17,17,9,12,12,3,13,14,7,192,1020,13,25.8,0.0,6.2,13,94,3,Trigg County,Kentucky
2020-03-19,21,21,15,18,18,4,19,19,10,198,1017,18,18.5,0.0,6.2,17,93,4,Trigg County,Kentucky
2020-03-20,22,22,8,16,16,5,17,19,14,284,1020,21,12.7,0.0,8.9,14,82,4,Trigg County,Kentucky
2020-03-21,10,10,3,4,4,6,6,7,8,124,1031,11,0.0,0.0,10.3,1,70,3,Trigg County,Kentucky
2020-03-22,12,12,2,5,5,6,7,8,5,96,1026,8,1.2,0.0,10.3,3,77,2,Trigg County,Kentucky
2020-03-23,15,15,8,10,10,6,11,12,5,123,1020,7,4.1,0.0,10.3,8,83,4,Trigg County,Kentucky
2020-03-24,13,13,7,8,8,4,10,10,7,211,1015,11,18.7,0.0,6.3,9,93,3,Trigg County,Kentucky
2020-03-25,18,18,5,10,10,3,11,12,5,103,1015,8,0.0,0.0,10.3,7,82,4,Trigg County,Kentucky
2020-03-26,25,25,9,16,16,4,17,18,10,193,1011,16,0.0,0.0,11.6,13,82,5,Trigg County,Kentucky
2020-03-27,23,23,18,20,20,6,22,21,9,211,1009,15,1.4,0.0,6.3,18,89,5,Trigg County,Kentucky
2020-03-28,23,23,17,20,20,6,21,21,12,210,1008,20,4.9,0.0,6.3,19,88,5,Trigg County,Kentucky
2020-03-29,18,18,12,14,14,5,15,15,13,253,1015,20,3.3,0.0,11.6,10,73,4,Trigg County,Kentucky
2020-03-30,18,18,9,13,13,6,14,15,5,326,1021,8,0.0,0.0,11.6,7,66,4,Trigg County,Kentucky
2020-03-31,12,12,8,8,8,5,10,10,7,244,1015,10,18.5,0.0,6.4,6,80,2,Trigg County,Kentucky
2020-04-01,14,14,2,6,6,6,8,9,5,124,1018,8,0.0,0.0,11.6,3,74,3,Trigg County,Kentucky
2020-04-02,17,17,5,10,10,6,11,12,5,121,1020,9,0.0,0.0,11.6,6,73,4,Trigg County,Kentucky
2020-04-03,19,19,9,13,13,6,13,14,4,155,1018,7,0.1,0.0,9.0,8,72,3,Trigg County,Kentucky
2020-04-04,19,19,10,13,13,6,14,15,6,336,1018,9,0.0,0.0,9.0,10,81,3,Trigg County,Kentucky
2020-04-05,20,20,8,13,13,4,13,15,4,228,1020,6,0.0,0.0,11.6,10,83,5,Trigg County,Kentucky
