date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,13,15,15,6,16,16,16,191,1008,25,0.6,0.0,5.8,10,70,4,Tulsa County,Oklahoma
2020-03-02,12,12,4,8,8,6,10,10,9,18,1009,13,0.3,0.0,7.3,7,77,3,Tulsa County,Oklahoma
2020-03-03,18,18,8,13,13,6,13,13,4,326,1012,5,0.0,0.0,8.7,4,58,3,Tulsa County,Oklahoma
2020-03-04,16,16,10,12,12,6,12,13,6,33,1017,9,0.0,0.0,5.9,2,49,3,Tulsa County,Oklahoma
2020-03-05,17,17,8,11,11,6,12,13,9,221,1023,13,0.0,0.0,11.6,0,45,4,Tulsa County,Oklahoma
2020-03-06,16,16,4,8,8,6,10,10,7,31,1033,11,0.0,0.0,11.6,-3,41,3,Tulsa County,Oklahoma
2020-03-07,17,17,6,10,10,6,11,12,12,177,1028,18,0.0,0.0,8.8,1,51,3,Tulsa County,Oklahoma
2020-03-08,17,17,8,11,11,5,13,13,17,187,1022,25,0.4,0.0,11.6,6,64,4,Tulsa County,Oklahoma
2020-03-09,22,22,14,16,16,5,17,18,18,204,1015,27,2.7,0.0,5.9,11,76,4,Tulsa County,Oklahoma
2020-03-10,17,17,4,10,10,6,11,10,6,103,1024,9,0.0,0.0,11.6,4,67,4,Tulsa County,Oklahoma
2020-03-11,23,23,13,17,17,5,17,18,8,35,1014,13,5.6,0.0,10.2,13,77,4,Tulsa County,Oklahoma
2020-03-12,24,24,16,20,20,6,20,22,13,292,1008,19,0.0,0.0,11.6,12,64,5,Tulsa County,Oklahoma
2020-03-13,11,11,7,7,7,6,10,10,14,72,1022,19,1.5,0.0,7.4,3,60,3,Tulsa County,Oklahoma
2020-03-14,11,11,8,7,7,5,9,10,11,37,1023,15,14.3,0.0,6.0,7,90,2,Tulsa County,Oklahoma
2020-03-15,11,11,5,5,5,6,8,8,10,36,1030,14,0.0,0.0,6.0,4,78,2,Tulsa County,Oklahoma
2020-03-16,12,12,7,8,8,6,10,10,6,142,1023,9,1.7,0.0,6.0,7,85,2,Tulsa County,Oklahoma
2020-03-17,19,19,8,12,12,5,13,13,8,84,1022,11,4.9,0.0,7.4,9,80,3,Tulsa County,Oklahoma
2020-03-18,26,26,12,18,18,5,19,20,11,197,1013,16,1.9,0.0,7.4,15,82,5,Tulsa County,Oklahoma
2020-03-19,26,26,19,22,22,5,22,23,18,216,1009,28,11.8,0.0,8.8,14,67,5,Tulsa County,Oklahoma
2020-03-20,10,10,5,7,7,6,10,9,16,128,1025,22,0.1,0.0,10.2,3,60,2,Tulsa County,Oklahoma
2020-03-21,12,12,1,4,4,6,7,7,7,64,1031,10,0.0,0.0,11.6,-2,57,3,Tulsa County,Oklahoma
2020-03-22,14,14,7,8,8,5,10,10,9,158,1020,13,15.7,0.0,6.1,8,87,3,Tulsa County,Oklahoma
2020-03-23,19,19,9,13,13,4,13,14,7,121,1018,10,0.0,0.0,10.2,10,82,4,Tulsa County,Oklahoma
2020-03-24,22,22,13,16,16,5,17,18,8,44,1010,12,12.0,0.0,8.8,12,79,4,Tulsa County,Oklahoma
2020-03-25,25,25,10,17,17,6,18,18,10,186,1010,15,0.0,0.0,11.6,12,73,5,Tulsa County,Oklahoma
2020-03-26,30,30,18,23,24,6,24,24,11,210,1005,19,0.0,0.0,11.6,16,67,6,Tulsa County,Oklahoma
2020-03-27,27,27,21,23,26,6,26,25,12,196,1003,18,1.8,0.0,8.9,20,80,5,Tulsa County,Oklahoma
2020-03-28,21,21,13,19,19,6,21,20,18,242,1005,27,2.4,0.0,11.6,9,52,6,Tulsa County,Oklahoma
2020-03-29,20,20,9,14,14,6,14,15,7,257,1019,11,0.0,0.0,10.2,3,50,5,Tulsa County,Oklahoma
2020-03-30,20,20,11,15,15,5,16,16,9,151,1019,13,5.2,0.0,7.5,7,62,4,Tulsa County,Oklahoma
2020-03-31,19,19,10,13,13,5,14,15,7,242,1016,10,10.3,0.0,11.6,8,71,3,Tulsa County,Oklahoma
2020-04-01,21,21,10,15,15,6,15,16,11,173,1014,16,0.0,0.0,10.2,9,67,4,Tulsa County,Oklahoma
2020-04-02,19,19,14,16,16,6,17,17,17,175,1011,24,1.9,0.0,6.2,12,76,4,Tulsa County,Oklahoma
2020-04-03,6,6,2,4,4,6,7,5,12,354,1019,15,3.6,0.0,6.2,5,86,1,Tulsa County,Oklahoma
2020-04-04,9,9,1,1,1,6,4,5,9,31,1021,11,0.0,0.0,6.2,2,76,2,Tulsa County,Oklahoma
2020-04-05,19,19,7,13,13,6,13,14,6,178,1017,9,0.0,0.0,10.3,9,78,4,Tulsa County,Oklahoma
2020-04-06,21,21,13,16,16,6,17,18,12,194,1014,18,0.1,0.0,6.2,15,87,4,Tulsa County,Oklahoma
2020-04-07,29,29,17,22,23,6,23,23,10,204,1009,15,0.0,0.0,10.3,17,78,5,Tulsa County,Oklahoma
2020-04-08,31,31,17,23,24,6,24,24,7,255,1007,11,0.0,0.0,11.6,15,63,6,Tulsa County,Oklahoma
2020-04-09,18,18,11,14,14,6,15,15,11,35,1017,16,0.0,0.0,11.6,6,59,5,Tulsa County,Oklahoma
2020-04-10,17,17,4,9,9,6,11,11,8,100,1020,12,0.0,0.0,11.6,-1,46,4,Tulsa County,Oklahoma
2020-04-11,20,20,10,14,14,6,15,16,14,186,1009,20,0.6,0.0,6.5,10,73,4,Tulsa County,Oklahoma
2020-04-12,26,26,16,20,20,5,21,22,17,206,1000,27,32.7,0.0,9.1,13,77,5,Tulsa County,Oklahoma
2020-04-13,9,9,0,1,1,6,5,5,12,8,1023,16,0.1,0.0,7.8,-6,48,2,Tulsa County,Oklahoma
2020-04-14,11,11,3,5,5,6,7,7,4,186,1026,5,0.0,0.0,9.1,-2,57,2,Tulsa County,Oklahoma
2020-04-15,16,16,3,7,7,6,9,11,9,224,1021,14,0.0,0.0,11.6,0,54,4,Tulsa County,Oklahoma
2020-04-16,19,19,6,11,11,6,13,14,15,182,1017,22,0.0,0.0,11.6,5,62,4,Tulsa County,Oklahoma
2020-04-17,12,12,6,7,7,5,10,9,12,240,1018,17,8.0,0.0,9.2,6,76,2,Tulsa County,Oklahoma
2020-04-18,18,18,2,9,9,6,10,11,8,169,1017,11,1.0,0.0,11.6,4,66,4,Tulsa County,Oklahoma
2020-04-19,16,16,8,13,13,4,13,14,7,49,1007,10,6.3,0.0,6.8,12,89,3,Tulsa County,Oklahoma
2020-04-20,24,24,11,18,18,5,19,19,6,247,1010,8,4.3,0.0,9.2,12,72,4,Tulsa County,Oklahoma
2020-04-21,25,25,13,19,19,6,20,20,5,106,1014,8,2.5,0.0,11.6,11,63,5,Tulsa County,Oklahoma
2020-04-22,21,21,15,17,17,5,18,19,15,159,1005,26,22.8,0.0,6.8,15,83,4,Tulsa County,Oklahoma
2020-04-23,26,26,13,18,18,6,20,20,10,314,1004,15,1.2,0.0,11.6,13,70,5,Tulsa County,Oklahoma
2020-04-24,22,22,13,17,17,5,18,19,11,178,1005,18,13.9,0.0,8.0,13,75,4,Tulsa County,Oklahoma
2020-04-25,21,21,11,14,14,6,16,17,14,336,1015,20,0.0,0.0,11.6,9,67,5,Tulsa County,Oklahoma
2020-04-26,25,25,11,17,17,6,18,19,5,250,1020,8,0.0,0.0,11.6,8,58,5,Tulsa County,Oklahoma
2020-04-27,20,20,15,17,17,5,18,18,13,183,1015,22,7.5,0.0,8.0,13,71,4,Tulsa County,Oklahoma
2020-04-28,25,25,18,21,23,5,23,23,13,196,1009,22,22.8,0.0,6.9,18,85,5,Tulsa County,Oklahoma
2020-04-29,20,20,11,15,15,6,15,16,15,331,1015,23,0.6,0.0,9.2,9,65,4,Tulsa County,Oklahoma
2020-04-30,24,24,11,17,17,6,19,19,6,299,1017,10,0.0,0.0,11.6,10,61,5,Tulsa County,Oklahoma
2020-05-01,27,27,15,20,20,6,21,21,15,187,1011,22,0.0,0.0,11.6,14,67,6,Tulsa County,Oklahoma
2020-05-02,27,27,18,22,24,5,24,23,12,183,1011,18,0.3,0.0,9.3,18,78,5,Tulsa County,Oklahoma
2020-05-03,25,25,15,21,23,4,23,23,8,178,1011,12,8.3,0.0,6.9,21,92,5,Tulsa County,Oklahoma
2020-05-04,25,25,20,21,23,5,23,23,12,175,1008,19,8.7,0.0,6.9,20,89,5,Tulsa County,Oklahoma
2020-05-05,21,21,12,16,16,6,17,18,12,345,1018,17,0.0,0.0,11.6,10,66,5,Tulsa County,Oklahoma
2020-05-06,20,20,11,16,16,6,16,17,6,136,1023,9,0.0,0.0,11.6,9,64,5,Tulsa County,Oklahoma
