date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,17,17,9,11,11,5,13,14,14,192,1018,23,4.2,0.0,8.6,8,74,4,Tunica County,Mississippi
2020-03-02,20,20,13,15,15,5,16,17,13,204,1010,22,15.4,0.0,5.7,15,89,4,Tunica County,Mississippi
2020-03-03,17,17,13,15,15,5,15,15,7,332,1011,11,10.3,0.0,11.6,11,76,5,Tunica County,Mississippi
2020-03-04,13,13,10,12,12,4,12,13,4,197,1016,7,2.6,0.0,7.3,8,77,3,Tunica County,Mississippi
2020-03-05,18,18,9,12,12,6,12,13,7,223,1020,11,0.2,0.0,11.6,7,72,4,Tunica County,Mississippi
2020-03-06,12,12,5,6,6,6,8,9,11,353,1030,18,0.0,0.0,11.6,2,63,3,Tunica County,Mississippi
2020-03-07,13,13,3,6,6,6,8,9,5,106,1033,9,0.0,0.0,8.8,0,59,2,Tunica County,Mississippi
2020-03-08,17,17,5,9,9,6,11,12,10,174,1029,16,0.0,0.0,11.6,5,67,4,Tunica County,Mississippi
2020-03-09,18,18,11,13,13,5,14,15,16,188,1024,25,10.8,0.0,5.9,13,86,4,Tunica County,Mississippi
2020-03-10,18,18,11,15,15,5,16,16,8,334,1023,13,9.0,0.0,8.8,13,85,4,Tunica County,Mississippi
2020-03-11,17,17,10,14,14,5,14,15,6,232,1017,10,10.5,0.0,7.4,13,92,4,Tunica County,Mississippi
2020-03-12,22,22,16,19,19,4,20,20,11,201,1011,18,6.1,0.0,6.0,17,91,4,Tunica County,Mississippi
2020-03-13,13,13,7,10,10,5,12,11,12,43,1021,19,17.9,0.0,6.0,9,81,3,Tunica County,Mississippi
2020-03-14,16,16,10,10,10,5,12,13,8,188,1024,13,23.3,0.0,6.0,9,84,3,Tunica County,Mississippi
2020-03-15,11,11,6,5,5,4,8,8,13,26,1029,18,38.1,0.0,7.4,6,88,2,Tunica County,Mississippi
2020-03-16,13,13,5,7,7,5,9,10,5,266,1026,8,4.6,0.0,6.0,7,89,2,Tunica County,Mississippi
2020-03-17,17,17,9,11,11,4,12,12,6,20,1023,9,0.9,0.0,6.0,11,91,3,Tunica County,Mississippi
2020-03-18,23,23,12,17,17,4,18,19,9,198,1019,15,8.1,0.0,6.0,16,91,4,Tunica County,Mississippi
2020-03-19,24,24,19,21,21,5,22,21,14,197,1017,23,7.8,0.0,6.0,19,89,5,Tunica County,Mississippi
