date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,3,6,6,5,9,10,14,202,1016,23,1.8,0.0,5.6,5,80,3,Union County,Illinois
2020-03-02,15,15,11,12,12,5,13,14,8,301,1008,12,7.0,0.0,5.6,11,91,3,Union County,Illinois
2020-03-03,15,15,7,9,9,5,11,12,8,292,1009,12,9.0,0.0,11.3,5,72,4,Union County,Illinois
2020-03-04,13,13,7,8,8,6,9,11,7,319,1016,11,0.0,0.0,8.6,3,66,3,Union County,Illinois
2020-03-05,16,16,4,9,9,6,10,10,8,259,1020,13,0.0,0.0,10.1,2,63,3,Union County,Illinois
2020-03-06,8,8,1,1,1,6,5,5,13,332,1029,19,0.0,0.0,11.4,-2,62,3,Union County,Illinois
2020-03-07,11,11,0,3,3,6,5,6,6,153,1033,9,0.0,0.0,11.4,-2,64,3,Union County,Illinois
2020-03-08,15,15,4,7,7,6,9,10,11,193,1027,19,0.0,0.0,11.4,3,64,4,Union County,Illinois
2020-03-09,15,15,7,10,10,6,12,13,17,194,1022,27,4.5,0.0,5.7,11,86,3,Union County,Illinois
2020-03-10,11,11,5,9,9,6,10,9,10,335,1022,15,0.6,0.0,5.9,8,84,2,Union County,Illinois
2020-03-11,14,14,5,8,8,5,9,10,4,235,1018,7,1.1,0.0,7.4,7,89,2,Union County,Illinois
2020-03-12,18,18,8,12,12,3,13,14,10,174,1009,16,4.6,0.0,6.0,12,94,3,Union County,Illinois
2020-03-13,10,10,4,5,5,6,8,7,10,17,1024,16,1.3,0.0,11.6,2,67,3,Union County,Illinois
2020-03-14,6,6,3,1,1,5,5,4,10,54,1029,16,16.1,0.0,6.0,1,80,1,Union County,Illinois
2020-03-15,7,7,2,1,1,6,4,5,9,35,1032,13,0.1,0.0,6.0,2,83,1,Union County,Illinois
2020-03-16,7,7,2,4,4,5,5,6,4,161,1027,6,0.1,0.0,8.8,3,85,2,Union County,Illinois
2020-03-17,14,14,5,7,7,5,8,10,6,46,1025,9,6.6,0.0,7.4,5,83,2,Union County,Illinois
2020-03-18,17,17,8,11,11,4,12,12,8,190,1019,14,7.7,0.0,6.0,11,94,3,Union County,Illinois
2020-03-19,20,20,15,18,18,5,18,18,12,200,1015,21,13.5,0.0,6.0,17,93,4,Union County,Illinois
2020-03-20,18,18,5,12,12,5,13,14,14,323,1021,22,7.2,0.0,7.4,10,82,3,Union County,Illinois
2020-03-21,9,9,2,2,2,6,5,5,8,18,1032,12,0.0,0.0,11.6,-1,68,3,Union County,Illinois
2020-03-22,7,7,2,2,2,5,4,5,7,108,1026,11,0.8,0.0,7.6,2,82,1,Union County,Illinois
2020-03-23,14,14,4,7,7,5,9,10,5,14,1021,8,0.0,0.0,11.6,5,82,3,Union County,Illinois
2020-03-24,10,10,2,5,5,4,7,8,7,77,1015,12,28.0,0.0,6.3,7,92,2,Union County,Illinois
2020-03-25,17,17,5,10,10,3,11,12,6,147,1014,10,0.0,0.0,11.6,8,84,4,Union County,Illinois
2020-03-26,24,24,9,15,15,5,17,17,11,196,1009,17,0.0,0.0,11.6,14,86,5,Union County,Illinois
2020-03-27,24,24,18,21,21,4,22,21,9,203,1007,14,2.1,0.0,6.3,19,91,5,Union County,Illinois
2020-03-28,22,22,19,20,20,5,21,21,15,209,1006,24,11.1,0.0,6.3,18,89,5,Union County,Illinois
2020-03-29,18,18,9,13,13,6,14,14,13,254,1014,21,8.7,0.0,11.6,8,68,4,Union County,Illinois
2020-03-30,18,18,9,13,13,6,13,15,5,329,1021,9,0.0,0.0,10.3,7,65,3,Union County,Illinois
2020-03-31,13,13,7,9,9,4,10,11,6,231,1015,9,3.9,0.0,6.4,6,76,3,Union County,Illinois
2020-04-01,14,14,3,7,7,6,8,9,4,16,1018,7,0.0,0.0,11.6,4,74,3,Union County,Illinois
2020-04-02,17,17,6,10,10,6,11,13,7,149,1019,11,0.0,0.0,11.6,7,75,3,Union County,Illinois
2020-04-03,18,18,11,13,13,5,14,15,6,160,1017,9,1.1,0.0,7.7,10,78,3,Union County,Illinois
2020-04-04,11,11,7,7,7,6,9,9,8,348,1019,11,0.0,0.0,6.4,7,84,2,Union County,Illinois
2020-04-05,15,15,7,10,10,4,10,11,4,139,1020,6,0.0,0.0,9.0,8,88,3,Union County,Illinois
2020-04-06,22,22,9,15,15,4,15,17,5,182,1017,9,0.0,0.0,11.6,12,84,4,Union County,Illinois
2020-04-07,24,24,15,19,19,4,19,20,10,216,1011,15,0.1,0.0,11.6,17,88,6,Union County,Illinois
2020-04-08,27,27,17,21,22,5,22,23,9,240,1006,15,4.8,0.0,11.6,17,80,6,Union County,Illinois
2020-04-09,15,15,8,9,9,6,11,12,12,307,1013,19,2.4,0.0,11.6,5,65,4,Union County,Illinois
2020-04-10,12,12,0,3,3,6,6,7,7,208,1020,11,0.0,0.0,11.6,-3,53,3,Union County,Illinois
2020-04-11,15,15,3,8,8,6,10,11,10,186,1015,16,0.1,0.0,10.3,4,67,3,Union County,Illinois
2020-04-12,16,16,11,13,13,4,14,14,10,152,1004,16,8.0,0.0,6.5,13,93,3,Union County,Illinois
2020-04-13,9,9,2,3,3,4,7,6,14,323,1014,19,1.2,0.1,10.3,1,67,3,Union County,Illinois
2020-04-14,9,9,3,3,3,5,5,6,5,235,1024,8,0.2,0.0,9.1,-4,53,2,Union County,Illinois
2020-04-15,13,13,1,5,5,6,7,9,9,265,1021,14,0.3,0.0,9.1,-1,62,2,Union County,Illinois
2020-04-16,15,15,0,5,5,6,7,9,8,147,1024,13,0.0,0.0,9.1,1,64,2,Union County,Illinois
2020-04-17,12,12,4,5,5,5,8,10,11,257,1016,19,2.1,0.0,6.6,6,84,3,Union County,Illinois
2020-04-18,14,14,1,5,5,6,7,8,6,175,1019,9,0.0,0.0,11.6,1,70,3,Union County,Illinois
2020-04-19,15,15,6,9,9,5,10,12,5,179,1010,8,0.8,0.0,6.6,6,78,3,Union County,Illinois
2020-04-20,19,19,7,11,11,5,12,14,7,293,1009,12,3.2,0.0,11.6,7,73,4,Union County,Illinois
2020-04-21,16,16,9,11,11,5,12,13,8,340,1015,12,2.8,0.0,11.6,7,73,4,Union County,Illinois
2020-04-22,18,18,7,11,11,5,12,14,9,175,1015,13,1.4,0.0,9.1,8,75,3,Union County,Illinois
2020-04-23,17,17,12,12,12,5,14,15,11,240,1002,17,8.5,0.0,6.7,13,95,3,Union County,Illinois
2020-04-24,21,21,10,15,15,4,15,17,5,177,1009,8,1.8,0.0,11.6,12,82,4,Union County,Illinois
2020-04-25,18,18,9,11,11,5,13,15,14,208,1006,24,17.0,0.0,6.7,12,91,3,Union County,Illinois
2020-04-26,17,17,7,9,9,6,11,13,12,337,1019,18,0.0,0.0,11.6,6,73,4,Union County,Illinois
2020-04-27,14,14,7,10,10,5,11,12,7,194,1022,12,3.0,0.0,7.9,8,77,3,Union County,Illinois
2020-04-28,20,20,13,16,16,5,17,18,13,206,1013,20,2.2,0.0,6.7,14,82,4,Union County,Illinois
2020-04-29,16,16,10,13,13,5,14,15,14,293,1005,20,13.1,0.0,10.4,11,85,3,Union County,Illinois
2020-04-30,17,17,8,11,11,6,12,13,11,316,1012,16,0.0,0.0,11.6,8,76,4,Union County,Illinois
2020-05-01,21,21,9,15,15,6,15,17,6,204,1016,10,0.0,0.0,11.6,11,74,5,Union County,Illinois
2020-05-02,25,25,15,20,20,6,21,22,10,216,1015,16,0.2,0.0,13.5,16,81,6,Union County,Illinois
