date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,1,6,6,6,8,10,12,202,1018,21,0.9,0.0,8.6,4,73,3,Union County,Kentucky
2020-03-02,16,16,9,12,12,5,13,14,11,262,1008,17,12.5,0.0,5.6,11,89,3,Union County,Kentucky
2020-03-03,15,15,9,10,10,5,12,13,10,283,1008,16,12.9,0.0,10.1,6,72,4,Union County,Kentucky
2020-03-04,14,14,6,8,8,6,10,11,9,292,1016,14,0.0,0.0,8.6,3,65,3,Union County,Kentucky
2020-03-05,15,15,4,7,7,6,9,10,8,227,1019,14,0.0,0.0,8.6,2,64,3,Union County,Kentucky
2020-03-06,8,8,2,0,0,6,4,5,15,327,1027,22,0.0,0.0,11.4,-2,62,2,Union County,Kentucky
2020-03-07,11,11,-1,2,2,6,4,5,5,120,1034,8,0.0,0.0,11.4,-3,62,3,Union County,Kentucky
2020-03-08,16,16,2,6,6,6,9,10,11,194,1029,18,0.0,0.0,8.7,2,64,3,Union County,Kentucky
2020-03-09,16,16,11,11,11,6,13,14,17,192,1023,26,1.7,0.0,5.7,9,78,3,Union County,Kentucky
2020-03-10,13,13,6,11,11,6,12,11,11,318,1021,15,4.3,0.0,5.7,9,83,3,Union County,Kentucky
2020-03-11,15,15,5,9,9,6,9,10,3,201,1019,4,0.0,0.0,7.2,7,84,3,Union County,Kentucky
2020-03-12,19,19,8,14,14,3,14,15,10,174,1010,17,6.4,0.0,5.8,12,91,3,Union County,Kentucky
2020-03-13,10,10,6,6,6,6,8,8,10,121,1024,15,0.2,0.0,8.7,2,66,2,Union County,Kentucky
2020-03-14,7,7,1,2,2,5,6,6,11,60,1029,16,15.6,0.0,5.8,1,75,2,Union County,Kentucky
2020-03-15,8,8,2,2,2,6,5,5,9,43,1032,13,0.0,0.0,6.0,2,81,2,Union County,Kentucky
2020-03-16,8,8,3,5,5,6,6,6,3,134,1027,4,0.0,0.0,10.2,3,83,2,Union County,Kentucky
2020-03-17,14,14,6,7,7,6,9,10,6,26,1025,9,2.3,0.0,10.3,5,78,4,Union County,Kentucky
2020-03-18,17,17,7,11,11,4,12,13,8,183,1020,14,4.5,0.0,6.2,11,92,3,Union County,Kentucky
2020-03-19,21,21,14,18,18,4,18,18,12,195,1016,21,34.2,0.0,6.2,16,92,4,Union County,Kentucky
2020-03-20,21,21,7,14,14,5,15,16,16,304,1020,24,16.2,0.0,6.2,12,81,4,Union County,Kentucky
2020-03-21,9,9,1,2,2,6,5,5,9,8,1031,12,0.0,0.0,11.6,-1,65,3,Union County,Kentucky
2020-03-22,9,9,1,3,3,4,5,6,7,75,1027,10,1.0,0.0,7.6,1,77,2,Union County,Kentucky
2020-03-23,14,14,4,7,7,6,9,10,6,352,1021,9,0.1,0.0,11.6,5,79,4,Union County,Kentucky
2020-03-24,13,13,5,7,7,4,9,10,7,70,1016,11,16.7,0.0,6.3,7,90,2,Union County,Kentucky
2020-03-25,18,18,5,9,9,4,10,12,6,120,1015,10,0.2,0.0,11.6,7,79,4,Union County,Kentucky
2020-03-26,25,25,9,15,15,5,17,18,11,189,1010,18,0.2,0.0,10.3,13,81,4,Union County,Kentucky
2020-03-27,23,23,18,20,20,5,21,21,8,201,1008,14,8.8,0.0,6.3,19,91,5,Union County,Kentucky
2020-03-28,24,24,19,21,22,5,22,22,15,215,1007,22,13.2,0.0,7.7,19,86,5,Union County,Kentucky
2020-03-29,18,18,11,13,13,5,15,14,15,250,1013,24,15.6,0.0,11.6,9,71,4,Union County,Kentucky
2020-03-30,17,17,8,12,12,6,13,14,7,306,1021,11,0.0,0.0,10.3,6,63,3,Union County,Kentucky
2020-03-31,12,12,6,8,8,5,9,10,8,124,1015,11,1.5,0.0,6.4,5,76,2,Union County,Kentucky
2020-04-01,13,13,2,6,6,6,7,9,5,235,1018,8,0.0,0.0,11.6,3,73,3,Union County,Kentucky
2020-04-02,17,17,6,10,10,6,11,12,5,130,1020,9,0.0,0.0,11.6,5,70,4,Union County,Kentucky
2020-04-03,18,18,10,13,13,6,14,15,5,172,1018,8,0.0,0.0,11.6,8,72,5,Union County,Kentucky
2020-04-04,15,15,9,10,10,6,11,12,7,320,1018,10,0.0,0.0,6.4,9,85,3,Union County,Kentucky
2020-04-05,19,19,8,12,12,4,12,14,5,225,1020,7,0.0,0.0,10.3,9,81,3,Union County,Kentucky
2020-04-06,22,22,10,16,16,6,16,18,4,187,1018,6,1.3,0.0,11.6,12,81,5,Union County,Kentucky
2020-04-07,25,25,15,19,19,5,20,21,11,225,1011,17,5.5,0.0,9.0,16,84,5,Union County,Kentucky
2020-04-08,28,28,18,23,24,6,24,24,9,256,1005,15,3.0,0.0,9.0,18,78,5,Union County,Kentucky
2020-04-09,15,15,8,9,9,5,12,12,15,299,1011,22,15.2,0.0,11.6,5,64,4,Union County,Kentucky
2020-04-10,12,12,1,3,3,6,6,7,9,322,1020,13,0.0,0.0,11.6,-3,54,3,Union County,Kentucky
2020-04-11,16,16,4,8,8,6,10,11,9,187,1016,14,0.0,0.0,10.3,3,66,3,Union County,Kentucky
2020-04-12,15,15,7,10,10,4,12,14,10,153,1005,16,11.5,0.0,6.5,11,91,3,Union County,Kentucky
2020-04-13,10,10,4,4,4,5,8,7,14,308,1013,18,8.2,0.0,9.1,3,71,2,Union County,Kentucky
2020-04-14,9,9,3,3,3,6,5,7,6,336,1024,8,0.2,0.0,6.6,-3,54,2,Union County,Kentucky
2020-04-15,13,13,0,3,3,6,6,9,11,254,1021,16,1.4,0.0,9.1,-2,59,2,Union County,Kentucky
2020-04-16,14,14,0,4,4,6,6,8,7,131,1025,11,0.0,0.0,11.6,-1,59,3,Union County,Kentucky
2020-04-17,12,12,5,6,6,5,9,11,12,236,1016,21,12.2,0.0,6.6,6,81,3,Union County,Kentucky
2020-04-18,14,14,1,5,5,6,7,9,6,145,1019,9,1.6,0.0,11.6,2,71,3,Union County,Kentucky
2020-04-19,15,15,5,9,9,6,10,12,5,171,1011,8,0.0,0.0,10.4,6,74,3,Union County,Kentucky
2020-04-20,18,18,7,11,11,6,12,14,6,301,1009,10,0.6,0.0,11.6,7,73,4,Union County,Kentucky
2020-04-21,15,15,9,10,10,6,12,13,10,326,1014,15,1.6,0.0,11.6,6,71,4,Union County,Kentucky
2020-04-22,20,20,7,12,12,5,13,15,8,181,1016,12,0.6,0.0,10.4,7,70,3,Union County,Kentucky
2020-04-23,19,19,12,13,13,3,14,16,11,193,1003,18,33.4,0.0,6.7,13,93,4,Union County,Kentucky
2020-04-24,21,21,9,14,14,4,16,17,5,57,1009,8,0.4,0.0,10.4,11,79,4,Union County,Kentucky
2020-04-25,18,18,10,13,13,4,15,15,12,163,1006,19,20.9,0.0,6.7,12,87,4,Union County,Kentucky
2020-04-26,15,15,8,8,8,5,10,11,15,333,1017,23,10.5,0.0,7.9,7,81,3,Union County,Kentucky
2020-04-27,18,18,6,12,12,6,12,14,6,205,1022,10,0.0,0.0,13.3,7,73,4,Union County,Kentucky
2020-04-28,21,21,12,16,16,5,17,17,13,202,1014,21,0.3,0.0,13.3,12,78,4,Union County,Kentucky
2020-04-29,18,18,12,15,15,4,16,15,14,274,1004,21,14.5,0.0,8.6,12,85,4,Union County,Kentucky
2020-04-30,13,13,8,8,8,5,11,12,12,313,1011,18,0.9,0.0,8.7,8,80,3,Union County,Kentucky
2020-05-01,21,21,8,14,14,6,15,17,5,245,1017,9,0.0,0.0,13.9,10,74,5,Union County,Kentucky
2020-05-02,26,26,14,20,20,6,21,22,12,221,1015,18,0.3,0.0,13.3,16,79,5,Union County,Kentucky
2020-05-03,21,21,15,18,18,4,18,19,8,194,1013,14,10.5,0.0,8.7,16,90,4,Union County,Kentucky
2020-05-04,22,22,11,16,16,6,17,18,8,92,1015,14,1.6,0.0,13.9,11,74,5,Union County,Kentucky
2020-05-05,18,18,10,14,14,5,15,16,9,304,1010,12,19.2,0.0,8.7,13,88,4,Union County,Kentucky
2020-05-06,15,15,7,9,9,5,10,12,10,340,1018,15,9.6,0.0,9.9,6,76,3,Union County,Kentucky
2020-05-07,19,19,7,12,12,6,13,15,8,260,1019,12,0.9,0.0,12.2,8,73,3,Union County,Kentucky
2020-05-08,13,13,6,9,9,4,11,12,11,228,1015,17,26.1,0.0,8.8,8,82,3,Union County,Kentucky
2020-05-09,15,15,2,8,8,6,9,11,5,320,1024,7,0.0,0.0,14.0,2,64,4,Union County,Kentucky
2020-05-10,16,16,6,8,8,6,10,13,13,274,1021,20,0.8,0.0,12.2,5,72,3,Union County,Kentucky
2020-05-11,14,14,3,7,7,6,9,11,8,307,1025,11,0.3,0.0,12.2,4,74,3,Union County,Kentucky
2020-05-12,14,14,7,9,9,6,10,11,5,214,1025,7,0.0,0.0,9.9,6,76,3,Union County,Kentucky
2020-05-13,14,14,5,9,9,4,11,12,8,121,1022,12,3.4,0.0,8.8,11,95,3,Union County,Kentucky
2020-05-14,25,25,14,19,19,5,21,22,12,198,1017,20,0.0,0.0,14.1,16,82,6,Union County,Kentucky
2020-05-15,24,24,18,20,20,5,22,21,12,217,1014,20,11.3,0.0,11.1,18,87,5,Union County,Kentucky
2020-05-16,27,27,18,22,23,5,23,24,10,206,1012,16,18.0,0.0,10.0,20,89,5,Union County,Kentucky
2020-05-17,25,25,19,21,22,5,22,22,9,329,1014,14,14.5,0.0,11.1,19,86,5,Union County,Kentucky
2020-05-18,19,19,15,17,17,5,17,18,8,282,1008,11,6.6,0.0,11.1,14,85,4,Union County,Kentucky
2020-05-19,19,19,13,14,14,4,15,15,7,312,1009,10,8.2,0.0,8.9,13,91,4,Union County,Kentucky
2020-05-20,20,20,12,15,15,4,16,16,8,45,1014,13,0.4,0.0,8.9,13,91,4,Union County,Kentucky
2020-05-21,22,22,11,15,15,5,17,18,7,64,1016,10,1.3,0.0,11.3,13,86,4,Union County,Kentucky
2020-05-22,25,25,13,19,19,4,20,21,4,147,1015,6,0.4,0.0,14.5,16,83,6,Union County,Kentucky
2020-05-23,29,29,18,23,24,4,24,25,8,199,1014,13,3.4,0.0,12.4,20,84,6,Union County,Kentucky
2020-05-24,29,29,20,24,25,5,25,26,7,201,1014,12,3.3,0.0,10.2,20,84,6,Union County,Kentucky
2020-05-25,30,30,19,24,25,6,25,26,6,169,1015,10,3.1,0.0,13.4,20,83,6,Union County,Kentucky
2020-05-26,25,25,19,22,23,5,23,23,9,159,1015,15,2.6,0.0,12.4,19,87,5,Union County,Kentucky
2020-05-27,23,23,19,20,20,4,20,20,9,141,1014,15,14.2,0.0,9.2,19,94,4,Union County,Kentucky
2020-05-28,25,25,18,21,21,5,21,22,8,174,1012,12,6.5,0.0,10.3,18,87,5,Union County,Kentucky
2020-05-29,25,25,16,20,20,4,20,22,9,308,1015,14,2.0,0.0,12.4,16,82,5,Union County,Kentucky
2020-05-30,22,22,13,17,17,6,18,19,8,350,1021,13,0.0,0.0,14.5,13,78,5,Union County,Kentucky
2020-05-31,23,23,13,17,17,6,18,19,6,63,1024,10,0.0,0.0,14.5,13,74,5,Union County,Kentucky
2020-06-01,24,24,11,17,17,6,18,19,7,139,1024,10,0.0,0.0,14.5,13,74,5,Union County,Kentucky
2020-06-02,28,28,16,22,23,6,23,24,8,227,1018,14,0.0,0.0,14.5,17,74,6,Union County,Kentucky
2020-06-03,29,29,17,23,25,6,25,26,10,235,1013,15,0.0,0.0,14.5,19,79,7,Union County,Kentucky
2020-06-04,30,30,20,25,27,5,27,27,8,225,1010,12,7.4,0.0,13.4,21,84,6,Union County,Kentucky
2020-06-05,30,30,19,24,26,6,26,27,4,151,1012,6,1.1,0.0,14.5,20,79,7,Union County,Kentucky
2020-06-06,32,32,21,26,29,6,29,28,2,86,1014,3,0.0,0.0,14.5,21,74,7,Union County,Kentucky
2020-06-07,29,29,20,24,26,6,26,26,8,85,1015,14,0.0,0.0,14.5,20,76,7,Union County,Kentucky
2020-06-08,29,29,18,23,25,6,25,25,11,104,1011,18,0.4,0.0,14.5,19,78,6,Union County,Kentucky
2020-06-09,26,26,21,24,26,4,26,24,16,183,1006,28,4.7,0.0,9.3,22,88,5,Union County,Kentucky
2020-06-10,25,25,17,22,25,6,25,23,15,224,1007,24,0.6,0.0,13.5,18,78,5,Union County,Kentucky
2020-06-11,26,26,14,20,21,5,21,22,6,313,1022,10,0.0,0.0,14.5,15,73,6,Union County,Kentucky
2020-06-12,28,28,16,22,23,6,23,24,4,344,1024,7,0.0,0.0,14.5,15,64,6,Union County,Kentucky
2020-06-13,29,29,20,24,25,6,25,25,4,215,1021,8,3.2,0.0,11.4,17,71,6,Union County,Kentucky
2020-06-14,24,24,15,20,20,4,21,21,8,36,1023,12,1.0,0.0,9.3,16,80,5,Union County,Kentucky
2020-06-15,24,24,13,19,19,6,19,21,6,43,1024,10,0.0,0.0,14.5,14,73,6,Union County,Kentucky
2020-06-16,26,26,15,20,20,6,21,22,7,84,1024,11,0.0,0.0,14.5,15,75,6,Union County,Kentucky
2020-06-17,26,26,15,21,22,6,22,23,4,61,1020,6,0.1,0.0,12.4,16,73,5,Union County,Kentucky
2020-06-18,27,27,17,22,23,5,23,24,3,214,1017,5,8.1,0.0,11.4,17,75,5,Union County,Kentucky
2020-06-19,30,30,18,24,25,6,25,26,3,246,1017,6,1.4,0.0,11.4,18,70,6,Union County,Kentucky
