date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-4,-5,-5,6,-2,0,6,325,1023,9,0.0,0.0,11.1,-7,71,2,Union County,Oregon
2020-03-02,3,3,-2,0,0,6,1,1,2,218,1022,3,0.1,0.0,7.1,-3,78,1,Union County,Oregon
2020-03-03,8,8,2,4,4,6,5,6,3,249,1019,6,0.0,0.0,8.6,1,77,2,Union County,Oregon
2020-03-04,7,7,0,2,2,6,3,5,5,306,1021,8,0.0,0.0,11.2,-2,67,2,Union County,Oregon
2020-03-05,10,10,2,2,2,6,6,7,13,161,1018,20,0.1,0.0,11.2,0,67,3,Union County,Oregon
2020-03-06,10,10,3,4,4,6,6,8,7,167,1011,12,0.5,0.0,10.1,2,73,2,Union County,Oregon
2020-03-07,4,4,-3,-1,-1,4,1,2,4,217,1009,6,8.5,7.0,5.6,0,90,1,Union County,Oregon
2020-03-08,4,4,-1,-1,-1,4,0,2,3,161,1016,5,7.0,3.3,8.6,-3,80,1,Union County,Oregon
2020-03-09,4,4,-2,0,0,5,1,2,2,60,1021,4,1.6,3.1,11.4,-4,73,2,Union County,Oregon
2020-03-10,8,8,0,1,1,6,4,5,8,163,1023,14,0.0,0.0,11.4,-3,64,2,Union County,Oregon
2020-03-11,8,8,-1,2,2,6,4,6,8,283,1018,13,0.1,0.0,11.4,-2,68,2,Union County,Oregon
2020-03-12,6,6,-1,1,1,6,3,4,3,122,1022,5,0.0,0.0,11.5,-6,59,2,Union County,Oregon
2020-03-13,5,5,-2,-1,-1,5,1,4,7,153,1007,11,0.2,0.1,5.7,-6,60,1,Union County,Oregon
2020-03-14,1,1,-6,-5,-5,2,-2,0,6,325,1012,7,8.5,7.3,5.8,-3,91,1,Union County,Oregon
2020-03-15,4,4,-5,-3,-3,3,0,1,5,124,1020,6,2.1,1.5,5.8,-2,87,1,Union County,Oregon
2020-03-16,9,9,-2,0,0,4,2,4,6,324,1020,8,0.0,0.0,11.6,0,87,2,Union County,Oregon
2020-03-17,7,7,-1,0,0,4,3,4,5,314,1011,7,0.5,0.0,10.2,0,87,2,Union County,Oregon
2020-03-18,7,7,0,3,3,6,3,6,3,252,1011,5,1.2,0.0,7.6,0,82,2,Union County,Oregon
2020-03-19,11,11,1,4,4,6,6,8,4,230,1016,6,0.0,0.0,11.6,1,76,3,Union County,Oregon
2020-03-20,12,12,2,6,6,6,8,9,4,344,1022,5,0.0,0.0,11.6,1,74,3,Union County,Oregon
2020-03-21,12,12,2,5,5,6,6,9,4,329,1021,6,0.0,0.0,11.6,-2,60,3,Union County,Oregon
2020-03-22,11,11,1,5,5,6,7,9,5,150,1016,8,0.0,0.0,11.6,-2,57,3,Union County,Oregon
2020-03-23,10,10,2,3,3,5,6,8,8,274,1009,11,1.4,0.1,6.3,0,69,2,Union County,Oregon
2020-03-24,7,7,1,1,1,6,3,5,5,244,1014,6,0.6,0.0,6.3,-3,66,2,Union County,Oregon
2020-03-25,4,4,-4,-2,-2,3,0,2,4,308,1015,7,7.3,3.5,6.3,-4,75,1,Union County,Oregon
2020-03-26,6,6,-2,1,1,6,3,4,4,304,1015,6,0.0,0.0,11.6,-5,69,2,Union County,Oregon
2020-03-27,7,7,-1,1,1,5,2,4,3,316,1016,5,0.2,0.1,10.3,-3,73,1,Union County,Oregon
2020-03-28,8,8,1,3,3,4,4,6,4,173,1017,5,2.4,0.0,7.7,1,82,2,Union County,Oregon
2020-03-29,7,7,1,2,2,3,4,5,6,176,1014,9,10.2,0.0,6.4,2,89,2,Union County,Oregon
2020-03-30,9,9,-4,1,1,5,4,6,9,230,1013,12,13.6,1.6,6.4,2,87,2,Union County,Oregon
2020-03-31,4,4,-3,-1,-1,3,2,3,7,288,1015,9,11.3,6.5,6.4,-1,85,1,Union County,Oregon
2020-04-01,4,4,-3,-2,-2,5,0,2,5,308,1017,7,3.6,1.2,7.7,-3,77,1,Union County,Oregon
2020-04-02,5,5,-4,-1,-1,5,0,3,3,322,1021,5,4.5,2.0,9.0,-5,73,1,Union County,Oregon
2020-04-03,5,5,-4,-1,-1,6,0,3,3,230,1017,5,2.3,0.0,6.5,-4,74,1,Union County,Oregon
2020-04-04,6,6,-2,-1,-1,5,1,4,8,157,1008,12,3.6,1.1,9.0,-3,77,1,Union County,Oregon
2020-04-05,8,8,1,2,2,5,5,6,10,163,1003,15,3.9,1.1,6.5,2,85,2,Union County,Oregon
2020-04-06,10,10,1,5,5,6,6,8,4,322,1009,7,0.1,0.0,10.3,1,78,2,Union County,Oregon
2020-04-07,12,12,2,7,7,6,8,10,3,237,1017,6,0.0,0.0,11.6,0,68,3,Union County,Oregon
2020-04-08,14,14,2,8,8,6,9,11,4,234,1021,7,0.0,0.0,11.6,1,67,4,Union County,Oregon
2020-04-09,19,19,4,10,10,6,11,14,5,335,1016,7,0.0,0.0,11.6,3,68,4,Union County,Oregon
