date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,2,9,9,6,10,12,4,188,1025,7,0.0,0.0,8.6,2,64,4,Upson County,Georgia
2020-03-02,14,14,6,10,10,4,11,12,6,184,1018,11,16.5,0.0,5.7,8,82,3,Upson County,Georgia
2020-03-03,21,21,13,16,16,4,16,18,8,224,1012,15,30.1,0.0,5.7,15,94,4,Upson County,Georgia
2020-03-04,15,15,11,13,13,3,13,14,5,44,1015,8,56.0,0.0,5.7,12,94,3,Upson County,Georgia
2020-03-05,11,11,10,8,8,3,10,11,9,58,1016,13,29.0,0.0,5.7,9,94,3,Upson County,Georgia
2020-03-06,13,13,6,8,8,5,10,11,10,314,1022,15,0.0,0.0,11.6,3,69,4,Upson County,Georgia
2020-03-07,15,15,1,7,7,6,9,9,6,35,1030,9,0.0,0.0,11.6,-1,58,3,Upson County,Georgia
2020-03-08,15,15,3,8,8,6,9,11,5,128,1034,7,0.0,0.0,10.2,1,61,4,Upson County,Georgia
2020-03-09,20,20,5,12,12,5,13,15,6,160,1032,9,0.2,0.0,8.8,8,79,3,Upson County,Georgia
2020-03-10,17,17,11,13,13,4,14,15,4,223,1026,8,0.4,0.0,5.9,12,90,3,Upson County,Georgia
2020-03-11,23,23,11,16,16,3,18,19,5,251,1020,8,2.5,0.0,6.0,13,86,4,Upson County,Georgia
2020-03-12,24,24,13,18,18,5,18,19,6,222,1016,9,3.2,0.0,6.0,16,88,4,Upson County,Georgia
2020-03-13,24,24,13,18,18,5,19,20,6,255,1019,10,5.7,0.0,6.0,16,86,4,Upson County,Georgia
2020-03-14,25,25,13,19,19,4,19,21,4,115,1024,6,4.3,0.0,7.4,16,84,5,Upson County,Georgia
2020-03-15,20,20,14,17,17,5,17,18,3,337,1024,6,1.3,0.0,8.8,15,90,4,Upson County,Georgia
2020-03-16,15,15,11,13,13,4,13,14,7,89,1025,10,1.8,0.0,6.0,12,93,3,Upson County,Georgia
2020-03-17,24,24,10,16,16,6,17,19,3,265,1023,5,4.1,0.0,6.0,14,88,4,Upson County,Georgia
2020-03-18,27,27,13,20,21,5,21,22,6,172,1024,9,2.0,0.0,8.8,15,80,5,Upson County,Georgia
2020-03-19,28,28,15,21,22,4,22,23,6,190,1024,9,0.4,0.0,11.6,17,79,6,Upson County,Georgia
2020-03-20,27,27,15,20,21,4,21,22,7,228,1024,11,1.7,0.0,7.4,17,83,5,Upson County,Georgia
2020-03-21,26,26,14,19,19,6,20,21,6,302,1024,9,1.3,0.0,11.6,14,78,6,Upson County,Georgia
2020-03-22,18,18,10,13,13,5,14,16,6,74,1025,9,7.6,0.0,6.1,12,87,4,Upson County,Georgia
2020-03-23,20,20,11,16,16,3,16,18,4,217,1021,7,13.7,0.0,7.5,15,95,4,Upson County,Georgia
2020-03-24,26,26,16,21,22,4,22,22,8,215,1015,12,8.0,0.0,6.1,17,86,5,Upson County,Georgia
2020-03-25,25,25,16,21,21,5,22,22,8,296,1012,12,10.9,0.0,10.2,15,78,6,Upson County,Georgia
2020-03-26,27,27,12,19,19,6,20,21,4,160,1016,6,0.0,0.0,11.6,13,70,6,Upson County,Georgia
2020-03-27,29,29,15,22,23,6,23,24,5,222,1014,9,0.0,0.0,11.6,16,73,6,Upson County,Georgia
2020-03-28,29,29,16,23,24,4,24,25,8,222,1015,13,0.0,0.0,10.2,18,77,6,Upson County,Georgia
2020-03-29,27,27,17,21,22,6,22,24,8,266,1018,13,0.8,0.0,6.1,16,76,5,Upson County,Georgia
2020-03-30,24,24,12,18,18,6,19,20,6,340,1019,10,0.0,0.0,11.6,8,52,6,Upson County,Georgia
2020-03-31,19,19,10,14,14,5,15,17,8,255,1008,11,4.3,0.0,6.2,9,69,4,Upson County,Georgia
2020-04-01,18,18,6,10,10,6,12,13,9,330,1013,13,0.0,0.0,11.6,3,60,4,Upson County,Georgia
2020-04-02,23,23,3,13,13,6,15,16,4,153,1018,6,0.0,0.0,11.6,4,63,5,Upson County,Georgia
2020-04-03,25,25,7,16,16,6,16,19,3,204,1016,6,0.0,0.0,11.6,6,55,5,Upson County,Georgia
2020-04-04,25,25,12,19,19,6,20,21,4,346,1015,7,0.0,0.0,11.6,9,58,6,Upson County,Georgia
2020-04-05,27,27,13,19,20,6,20,22,3,144,1017,5,0.0,0.0,11.6,12,65,6,Upson County,Georgia
2020-04-06,30,30,15,22,23,5,23,24,3,209,1018,6,0.3,0.0,10.3,14,70,5,Upson County,Georgia
2020-04-07,27,27,15,19,19,5,19,22,6,249,1017,9,4.6,0.0,9.0,15,78,5,Upson County,Georgia
2020-04-08,28,28,17,22,23,5,23,25,7,277,1010,12,11.9,0.0,6.4,19,87,5,Upson County,Georgia
2020-04-09,27,27,20,23,24,5,24,25,10,310,1008,14,1.1,0.0,10.3,15,70,6,Upson County,Georgia
2020-04-10,17,17,11,13,13,6,15,15,9,337,1015,13,0.0,0.0,11.6,0,43,4,Upson County,Georgia
2020-04-11,22,22,4,13,13,6,14,16,4,140,1018,8,0.0,0.0,11.6,2,50,5,Upson County,Georgia
2020-04-12,21,21,10,16,16,5,16,17,9,113,1013,15,6.2,0.0,9.0,13,78,4,Upson County,Georgia
2020-04-13,25,25,17,21,21,5,22,22,10,287,1012,15,62.8,0.0,11.6,15,73,6,Upson County,Georgia
2020-04-14,25,25,9,17,17,5,18,20,5,292,1016,9,0.0,0.0,11.6,10,71,6,Upson County,Georgia
2020-04-15,19,19,7,11,11,6,13,15,9,339,1017,13,0.0,0.0,11.6,1,49,4,Upson County,Georgia
2020-04-16,21,21,6,13,13,6,15,16,6,42,1023,9,0.0,0.0,11.6,1,45,5,Upson County,Georgia
2020-04-17,23,23,9,16,16,6,18,18,5,165,1022,8,0.0,0.0,11.6,7,61,5,Upson County,Georgia
2020-04-18,24,24,14,19,19,6,20,21,7,313,1015,12,0.0,0.0,10.3,11,67,6,Upson County,Georgia
2020-04-19,19,19,10,14,14,4,14,15,4,93,1011,7,97.3,0.0,6.5,11,87,3,Upson County,Georgia
2020-04-20,23,23,14,18,18,5,19,20,8,308,1006,11,110.8,0.0,10.3,13,79,4,Upson County,Georgia
2020-04-21,25,25,9,17,17,6,19,20,7,282,1014,11,1.0,0.0,10.3,10,68,5,Upson County,Georgia
2020-04-22,23,23,9,15,15,5,15,18,4,129,1018,7,1.1,0.0,9.2,8,66,4,Upson County,Georgia
2020-04-23,19,19,11,14,14,5,15,16,10,120,1010,17,59.4,0.0,6.8,13,91,4,Upson County,Georgia
2020-04-24,24,24,14,18,18,4,19,21,6,299,1009,10,0.0,0.0,11.6,14,81,6,Upson County,Georgia
2020-04-25,27,27,12,20,21,5,21,23,7,197,1011,11,0.1,0.0,11.6,14,73,6,Upson County,Georgia
2020-04-26,21,21,11,16,16,6,18,18,11,290,1017,16,0.1,0.0,11.6,8,64,5,Upson County,Georgia
2020-04-27,23,23,7,14,14,6,16,18,6,331,1022,9,0.0,0.0,11.6,7,62,5,Upson County,Georgia
2020-04-28,25,25,9,18,18,6,19,21,4,188,1021,7,0.0,0.0,11.6,8,59,6,Upson County,Georgia
2020-04-29,24,24,11,17,17,5,18,20,11,196,1012,18,35.4,0.0,8.0,14,80,4,Upson County,Georgia
2020-04-30,19,19,10,14,14,5,14,16,8,296,1011,12,7.9,0.0,9.2,10,78,4,Upson County,Georgia
2020-05-01,24,24,7,16,16,6,17,19,7,302,1017,10,0.0,0.0,11.6,8,68,5,Upson County,Georgia
2020-05-02,27,27,10,19,20,6,20,23,3,203,1021,5,0.0,0.0,11.6,10,61,6,Upson County,Georgia
2020-05-03,28,28,12,21,22,6,22,24,6,239,1017,10,0.0,0.0,11.6,12,64,6,Upson County,Georgia
2020-05-04,30,30,14,23,25,6,25,26,6,270,1014,9,0.0,0.0,11.6,16,72,7,Upson County,Georgia
2020-05-05,30,30,14,22,23,6,23,25,8,246,1012,12,0.2,0.0,10.4,17,74,6,Upson County,Georgia
2020-05-06,24,24,14,18,18,6,20,20,11,297,1015,16,0.2,0.0,11.6,8,60,6,Upson County,Georgia
2020-05-07,21,21,6,13,13,6,14,17,6,324,1020,9,0.0,0.0,11.6,4,58,5,Upson County,Georgia
2020-05-08,21,21,8,14,14,6,14,17,6,206,1015,10,4.1,0.0,10.4,8,70,4,Upson County,Georgia
2020-05-09,21,21,5,13,13,6,15,16,6,119,1021,11,0.1,0.0,11.6,3,56,5,Upson County,Georgia
2020-05-10,24,24,7,16,16,6,17,19,4,203,1022,6,0.0,0.0,11.6,4,50,5,Upson County,Georgia
2020-05-11,21,21,9,15,15,6,16,18,8,325,1021,11,0.0,0.0,11.6,4,53,5,Upson County,Georgia
2020-05-12,24,24,6,16,16,6,17,19,4,98,1024,7,0.0,0.0,11.6,6,55,5,Upson County,Georgia
2020-05-13,27,27,9,19,20,6,20,23,5,158,1023,8,0.0,0.0,11.6,12,66,6,Upson County,Georgia
2020-05-14,28,28,14,21,22,5,22,24,7,142,1023,11,0.0,0.0,11.6,15,70,6,Upson County,Georgia
2020-05-15,27,27,13,20,21,5,21,24,5,142,1020,8,0.0,0.0,10.4,15,72,6,Upson County,Georgia
2020-05-16,30,30,14,23,24,5,24,26,4,157,1017,6,0.0,0.0,10.4,16,71,6,Upson County,Georgia
2020-05-17,33,33,15,24,25,5,25,28,3,206,1016,5,5.8,0.0,11.6,17,69,7,Upson County,Georgia
2020-05-18,27,27,18,22,23,5,23,24,7,181,1009,10,12.7,0.0,8.1,18,83,5,Upson County,Georgia
2020-05-19,25,25,16,20,21,4,21,23,6,272,1008,8,0.7,0.0,9.3,16,78,5,Upson County,Georgia
2020-05-20,27,27,15,20,22,5,22,23,5,101,1011,8,7.3,0.0,8.1,15,81,5,Upson County,Georgia
2020-05-21,27,27,9,19,20,4,20,23,3,188,1015,6,0.2,0.0,9.3,14,77,5,Upson County,Georgia
2020-05-22,32,32,15,25,26,5,26,28,5,222,1018,8,6.2,0.0,11.6,18,78,6,Upson County,Georgia
2020-05-23,29,29,17,23,25,4,25,26,3,265,1018,6,16.8,0.0,7.0,20,84,6,Upson County,Georgia
2020-05-24,32,32,20,26,28,5,28,28,3,128,1017,5,7.4,0.0,11.6,20,78,7,Upson County,Georgia
2020-05-25,29,29,19,23,24,3,24,25,6,109,1016,10,4.4,0.0,10.5,20,84,6,Upson County,Georgia
2020-05-26,21,21,18,20,20,4,20,20,9,74,1016,13,11.4,0.0,7.0,19,94,5,Upson County,Georgia
2020-05-27,24,24,17,20,20,5,20,21,6,75,1015,9,7.8,0.0,7.0,19,95,5,Upson County,Georgia
2020-05-28,31,31,18,25,27,5,27,27,4,214,1015,7,5.1,0.0,8.2,20,82,6,Upson County,Georgia
2020-05-29,30,30,18,24,27,5,27,27,3,222,1016,5,4.1,0.0,7.0,20,79,6,Upson County,Georgia
2020-05-30,30,30,18,24,26,4,26,27,6,308,1016,9,0.1,0.0,11.6,18,75,7,Upson County,Georgia
2020-05-31,30,30,16,24,25,6,25,26,5,24,1017,8,0.0,0.0,11.6,16,68,7,Upson County,Georgia
2020-06-01,29,29,16,23,23,5,23,26,7,101,1021,10,0.0,0.0,11.6,17,73,7,Upson County,Georgia
2020-06-02,30,30,18,23,24,6,24,26,4,147,1021,7,0.0,0.0,11.6,17,69,6,Upson County,Georgia
2020-06-03,32,32,19,25,26,6,26,28,3,222,1017,5,0.5,0.0,11.6,18,70,7,Upson County,Georgia
2020-06-04,33,33,19,26,28,4,28,28,4,202,1014,7,0.2,0.0,10.5,20,76,6,Upson County,Georgia
2020-06-05,29,29,19,24,26,4,26,27,6,235,1014,10,19.4,0.0,8.2,21,85,6,Upson County,Georgia
2020-06-06,29,29,19,23,24,3,24,25,4,208,1015,7,8.2,0.0,8.2,21,87,6,Upson County,Georgia
2020-06-07,27,27,19,23,24,3,24,25,6,126,1014,9,0.6,0.0,8.2,21,87,5,Upson County,Georgia
2020-06-08,31,31,20,25,27,3,27,27,7,145,1013,11,1.0,0.0,9.3,22,85,6,Upson County,Georgia
2020-06-09,31,31,19,26,29,5,29,28,5,200,1014,9,7.9,0.0,8.2,21,83,6,Upson County,Georgia
2020-06-10,30,30,19,25,27,3,27,28,7,221,1015,11,5.7,0.0,7.1,22,87,6,Upson County,Georgia
2020-06-11,31,31,18,25,26,4,26,27,6,309,1018,10,0.0,0.0,11.6,18,73,7,Upson County,Georgia
2020-06-12,31,31,16,24,25,6,25,27,6,43,1018,10,0.0,0.0,11.6,17,69,7,Upson County,Georgia
2020-06-13,30,30,18,25,26,6,26,27,6,50,1018,10,0.0,0.0,11.6,16,65,7,Upson County,Georgia
2020-06-14,30,30,16,24,25,6,25,26,6,50,1020,9,0.4,0.0,11.6,15,65,7,Upson County,Georgia
2020-06-15,29,29,15,23,24,6,24,25,5,37,1020,8,2.9,0.0,8.2,16,75,5,Upson County,Georgia
2020-06-16,26,26,12,19,21,5,21,22,7,44,1021,10,1.1,0.0,9.4,14,75,5,Upson County,Georgia
2020-06-17,27,27,13,21,22,5,22,23,3,194,1019,6,0.2,0.0,10.5,14,73,5,Upson County,Georgia
2020-06-18,31,31,16,22,23,5,23,26,3,246,1017,4,3.8,0.0,7.1,17,76,6,Upson County,Georgia
2020-06-19,33,33,18,25,26,5,26,28,2,198,1017,3,7.9,0.0,8.2,19,75,6,Upson County,Georgia
2020-06-20,32,32,18,25,27,6,27,29,3,307,1017,5,1.5,0.0,11.6,18,69,7,Upson County,Georgia
2020-06-21,32,32,19,26,28,5,28,29,4,231,1016,6,4.5,0.0,9.4,19,73,6,Upson County,Georgia
2020-06-22,33,33,18,26,28,5,28,29,5,224,1016,7,3.5,0.0,10.5,20,78,6,Upson County,Georgia
