date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,-4,4,4,6,6,8,6,177,1023,9,0.0,0.0,8.6,-1,69,2,Van Buren County,Tennessee
2020-03-02,11,11,4,6,6,4,8,9,8,177,1014,12,16.6,0.0,5.6,7,94,2,Van Buren County,Tennessee
2020-03-03,16,16,10,12,12,5,13,15,9,246,1009,13,17.0,0.0,7.1,10,90,3,Van Buren County,Tennessee
2020-03-04,16,16,5,10,10,6,10,12,3,222,1016,5,0.0,0.0,11.3,4,68,4,Van Buren County,Tennessee
2020-03-05,13,13,8,9,9,5,9,10,3,185,1018,5,0.5,0.0,11.4,6,80,3,Van Buren County,Tennessee
2020-03-06,5,5,0,-2,-2,5,3,3,14,316,1024,21,0.3,0.0,8.6,-2,73,1,Van Buren County,Tennessee
2020-03-07,11,11,-4,2,2,6,4,5,5,47,1033,7,0.0,0.0,11.4,-4,68,3,Van Buren County,Tennessee
2020-03-08,14,14,-2,5,5,6,7,9,7,171,1033,11,0.0,0.0,11.4,-2,63,3,Van Buren County,Tennessee
2020-03-09,15,15,2,7,7,6,9,10,9,176,1030,14,0.0,0.0,5.7,4,75,3,Van Buren County,Tennessee
2020-03-10,17,17,11,12,12,4,13,14,8,212,1023,13,5.9,0.0,5.9,11,92,3,Van Buren County,Tennessee
2020-03-11,19,19,9,13,13,4,13,16,4,244,1019,7,0.4,0.0,10.2,10,83,5,Van Buren County,Tennessee
2020-03-12,20,20,8,14,14,4,14,16,7,188,1013,12,3.5,0.0,6.0,13,91,4,Van Buren County,Tennessee
2020-03-13,17,17,7,13,13,5,14,14,7,350,1020,11,2.0,0.0,7.4,9,79,3,Van Buren County,Tennessee
2020-03-14,15,15,7,10,10,4,10,12,5,151,1026,8,8.2,0.0,6.0,7,81,3,Van Buren County,Tennessee
2020-03-15,14,14,7,10,10,4,11,12,3,241,1027,5,6.2,0.0,6.0,9,91,3,Van Buren County,Tennessee
2020-03-16,16,16,5,11,11,3,11,12,3,178,1025,4,0.8,0.0,6.0,9,90,3,Van Buren County,Tennessee
2020-03-17,16,16,9,12,12,4,13,14,4,297,1023,6,7.9,0.0,6.0,11,96,3,Van Buren County,Tennessee
2020-03-18,19,19,8,13,13,3,14,16,7,174,1022,11,3.8,0.0,6.0,12,92,4,Van Buren County,Tennessee
2020-03-19,23,23,14,18,18,5,18,19,8,194,1021,13,11.8,0.0,6.0,16,90,4,Van Buren County,Tennessee
2020-03-20,19,19,13,17,17,5,17,18,9,222,1022,15,15.4,0.0,6.0,15,92,4,Van Buren County,Tennessee
2020-03-21,13,13,7,9,9,4,10,11,6,324,1027,9,3.3,0.0,8.8,7,87,3,Van Buren County,Tennessee
2020-03-22,16,16,3,9,9,5,10,12,6,160,1025,8,0.6,0.0,8.8,7,82,3,Van Buren County,Tennessee
2020-03-23,16,16,10,12,12,2,13,14,5,256,1020,6,29.1,0.0,6.1,12,97,3,Van Buren County,Tennessee
2020-03-24,14,14,6,10,10,2,11,12,4,150,1014,6,26.3,0.0,6.1,11,98,3,Van Buren County,Tennessee
2020-03-25,19,19,7,13,13,4,14,14,5,119,1013,7,4.7,0.0,10.2,9,83,3,Van Buren County,Tennessee
2020-03-26,21,21,8,14,14,4,15,17,7,181,1014,12,0.0,0.0,11.6,11,83,5,Van Buren County,Tennessee
2020-03-27,26,26,12,19,21,4,21,22,7,225,1012,11,0.0,0.0,11.6,15,82,6,Van Buren County,Tennessee
2020-03-28,25,25,15,20,20,4,21,21,8,198,1012,12,0.7,0.0,7.7,16,86,5,Van Buren County,Tennessee
2020-03-29,21,21,13,17,17,5,18,19,10,263,1016,16,21.3,0.0,7.7,11,73,4,Van Buren County,Tennessee
2020-03-30,18,18,8,13,13,6,14,15,5,313,1021,7,0.0,0.0,11.6,6,67,4,Van Buren County,Tennessee
2020-03-31,8,8,1,5,5,4,7,7,7,158,1012,9,40.2,0.0,6.4,6,90,2,Van Buren County,Tennessee
2020-04-01,10,10,-1,2,2,4,4,6,6,336,1016,9,0.1,0.0,9.0,2,85,2,Van Buren County,Tennessee
2020-04-02,17,17,0,8,8,6,10,11,4,34,1020,7,0.0,0.0,11.6,2,73,4,Van Buren County,Tennessee
2020-04-03,22,22,3,12,12,6,13,16,3,60,1018,5,0.0,0.0,11.6,5,69,5,Van Buren County,Tennessee
2020-04-04,22,22,8,15,15,6,17,18,4,341,1016,6,0.1,0.0,11.6,8,69,5,Van Buren County,Tennessee
2020-04-05,22,22,9,16,16,5,17,19,4,301,1018,7,5.1,0.0,7.7,11,80,4,Van Buren County,Tennessee
2020-04-06,22,22,10,17,17,5,18,19,3,238,1018,5,5.9,0.0,7.7,12,79,4,Van Buren County,Tennessee
2020-04-07,22,22,11,16,16,5,18,19,6,241,1015,10,10.5,0.0,6.5,14,89,4,Van Buren County,Tennessee
2020-04-08,26,26,14,20,22,4,22,23,8,269,1008,12,3.3,0.0,6.5,16,85,5,Van Buren County,Tennessee
2020-04-09,16,16,8,12,12,6,13,13,11,314,1009,18,7.1,0.0,11.6,7,72,4,Van Buren County,Tennessee
2020-04-10,11,11,1,3,3,6,7,7,10,334,1017,14,0.0,0.0,11.6,-3,59,3,Van Buren County,Tennessee
2020-04-11,18,18,-1,9,9,6,10,12,4,164,1018,7,0.0,0.0,11.6,0,59,4,Van Buren County,Tennessee
2020-04-12,13,13,6,8,8,4,10,11,11,149,1010,16,80.7,0.0,6.5,10,89,3,Van Buren County,Tennessee
2020-04-13,12,12,5,9,9,5,11,11,9,296,1011,14,91.3,0.0,9.1,8,88,3,Van Buren County,Tennessee
2020-04-14,13,13,0,5,5,6,8,10,7,237,1021,11,0.0,0.0,11.6,0,74,3,Van Buren County,Tennessee
2020-04-15,12,12,-3,4,4,6,6,8,6,224,1021,8,0.0,0.0,11.6,-5,57,3,Van Buren County,Tennessee
2020-04-16,16,16,-2,8,8,6,9,11,3,249,1025,5,0.0,0.0,11.6,-1,63,4,Van Buren County,Tennessee
2020-04-17,20,20,1,10,10,6,12,15,9,195,1019,14,0.2,0.0,11.6,5,68,4,Van Buren County,Tennessee
2020-04-18,16,16,5,9,9,5,11,11,6,106,1017,10,6.1,0.0,11.6,3,74,4,Van Buren County,Tennessee
2020-04-19,15,15,2,8,8,4,9,12,4,161,1011,6,1.2,0.0,9.1,5,79,3,Van Buren County,Tennessee
2020-04-20,19,19,9,13,13,5,14,15,7,325,1008,9,1.2,0.0,11.6,8,79,5,Van Buren County,Tennessee
2020-04-21,19,19,7,12,12,5,13,15,10,309,1013,15,2.3,0.0,9.1,7,75,4,Van Buren County,Tennessee
2020-04-22,19,19,3,11,11,6,13,15,5,161,1018,8,1.2,0.0,13.2,4,67,4,Van Buren County,Tennessee
2020-04-23,19,19,9,13,13,5,14,15,15,166,1006,20,9.4,0.0,9.7,12,91,4,Van Buren County,Tennessee
2020-04-24,18,18,11,13,13,4,14,15,5,318,1008,6,0.7,0.0,9.7,11,89,4,Van Buren County,Tennessee
2020-04-25,19,19,8,13,13,4,14,15,9,177,1009,15,4.8,0.0,9.7,11,91,4,Van Buren County,Tennessee
2020-04-26,10,10,6,5,5,5,8,9,13,291,1016,18,2.2,0.0,8.6,6,90,2,Van Buren County,Tennessee
2020-04-27,20,20,2,11,11,4,12,15,4,209,1023,6,0.2,0.0,13.7,4,71,4,Van Buren County,Tennessee
2020-04-28,24,24,6,16,16,6,18,19,7,199,1018,12,0.0,0.0,13.7,7,60,5,Van Buren County,Tennessee
2020-04-29,17,17,6,12,12,5,13,15,11,222,1008,17,30.7,0.0,9.8,11,86,3,Van Buren County,Tennessee
2020-04-30,13,13,6,8,8,3,9,11,8,292,1011,11,1.9,0.0,8.6,8,90,3,Van Buren County,Tennessee
2020-05-01,20,20,3,12,12,5,13,15,5,311,1017,8,0.2,0.0,13.3,6,76,4,Van Buren County,Tennessee
2020-05-02,25,25,7,17,17,6,18,21,5,220,1019,8,0.0,0.0,13.8,10,72,6,Van Buren County,Tennessee
2020-05-03,27,27,12,19,21,6,21,23,8,241,1015,12,2.8,0.0,13.3,14,76,5,Van Buren County,Tennessee
2020-05-04,25,25,14,20,20,6,21,22,5,99,1014,9,7.6,0.0,12.2,15,81,5,Van Buren County,Tennessee
2020-05-05,20,20,14,18,18,4,19,20,9,259,1010,15,12.7,0.0,9.8,16,94,4,Van Buren County,Tennessee
2020-05-06,12,12,5,7,7,6,9,10,9,318,1016,12,1.3,0.0,9.9,6,83,3,Van Buren County,Tennessee
2020-05-07,17,17,0,9,9,5,10,13,5,308,1020,8,0.0,0.0,13.9,3,72,4,Van Buren County,Tennessee
2020-05-08,13,13,3,6,6,4,8,11,8,215,1014,12,10.6,0.0,11.0,6,86,3,Van Buren County,Tennessee
2020-05-09,14,14,-3,6,6,5,8,9,6,344,1024,9,0.0,0.0,13.9,-2,63,3,Van Buren County,Tennessee
2020-05-10,19,19,0,10,10,6,12,14,6,238,1022,9,0.5,0.0,13.3,2,65,4,Van Buren County,Tennessee
2020-05-11,14,14,0,7,7,4,9,11,7,319,1024,10,0.3,0.0,14.0,1,72,4,Van Buren County,Tennessee
2020-05-12,13,13,1,8,8,5,8,11,3,213,1025,4,1.9,0.0,12.2,4,77,3,Van Buren County,Tennessee
