date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,-1,-1,-9,-12,-12,6,-6,-4,11,325,1014,14,0.0,0.0,8.6,-11,64,1,Waldo County,Maine
2020-03-02,3,3,-8,-5,-5,5,-2,-1,9,184,1016,14,0.4,0.0,7.1,-5,74,1,Waldo County,Maine
2020-03-03,10,10,2,3,3,3,5,7,5,217,1005,10,0.6,0.0,10.1,4,89,3,Waldo County,Maine
2020-03-04,6,6,1,0,0,5,4,5,15,272,994,22,2.1,0.0,7.1,0,76,2,Waldo County,Maine
2020-03-05,5,5,-1,-4,-4,6,1,3,13,303,1012,19,0.0,0.0,11.3,-6,62,2,Waldo County,Maine
2020-03-06,3,3,-3,-4,-4,6,0,1,8,91,1018,11,0.0,0.0,5.6,-5,72,1,Waldo County,Maine
2020-03-07,1,1,-8,-11,-11,6,-4,-3,18,233,1018,23,0.0,0.0,8.6,-11,57,1,Waldo County,Maine
2020-03-08,5,5,-5,-4,-4,6,0,2,9,289,1023,13,0.0,0.0,11.3,-7,59,1,Waldo County,Maine
2020-03-09,10,10,0,3,3,5,5,7,4,226,1022,7,0.0,0.0,8.7,0,73,2,Waldo County,Maine
2020-03-10,10,10,1,4,4,6,6,7,6,179,1014,10,1.0,0.0,7.3,3,84,2,Waldo County,Maine
2020-03-11,5,5,-1,-2,-2,5,2,2,10,327,1017,14,0.5,0.0,10.2,-4,63,1,Waldo County,Maine
2020-03-12,4,4,-4,-4,-4,6,0,1,6,118,1024,8,0.0,0.0,11.6,-7,60,2,Waldo County,Maine
2020-03-13,9,9,0,0,0,4,4,5,14,161,1014,24,18.9,0.0,5.9,2,86,2,Waldo County,Maine
2020-03-14,5,5,0,-3,-3,6,2,3,15,284,1016,21,0.0,0.0,10.2,-4,67,1,Waldo County,Maine
2020-03-15,1,1,-6,-8,-8,6,-3,-1,13,335,1031,16,0.0,0.0,11.6,-11,53,2,Waldo County,Maine
2020-03-16,1,1,-8,-8,-8,6,-4,-3,7,99,1037,9,0.0,0.0,11.6,-13,50,2,Waldo County,Maine
2020-03-17,5,5,-2,-3,-3,5,2,3,13,189,1023,19,8.4,0.0,6.0,-1,81,1,Waldo County,Maine
2020-03-18,5,5,-3,-1,-1,6,1,3,6,296,1029,10,0.0,0.0,11.6,-4,69,2,Waldo County,Maine
2020-03-19,4,4,1,0,0,4,3,4,9,160,1031,13,0.7,0.0,6.0,2,92,1,Waldo County,Maine
