date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,15,17,17,6,18,19,13,181,1016,21,0.5,0.0,5.9,15,84,4,Waller County,Texas
2020-03-02,24,24,16,19,19,4,20,20,10,197,1011,16,0.1,0.0,7.3,17,88,5,Waller County,Texas
2020-03-03,26,26,18,21,22,4,22,22,5,73,1009,8,0.3,0.0,8.7,18,84,5,Waller County,Texas
2020-03-04,24,24,14,19,19,4,20,21,8,149,1009,13,9.1,0.0,5.9,18,90,5,Waller County,Texas
2020-03-05,20,20,11,13,13,6,14,15,12,356,1022,17,0.0,0.0,10.2,9,74,3,Waller County,Texas
2020-03-06,19,19,11,13,13,6,14,15,9,41,1031,15,0.0,0.0,10.2,3,50,4,Waller County,Texas
2020-03-07,17,17,10,12,12,6,13,14,8,112,1029,14,0.0,0.0,11.6,4,57,4,Waller County,Texas
2020-03-08,20,20,10,14,14,6,15,16,11,142,1025,18,0.0,0.0,7.4,11,78,4,Waller County,Texas
2020-03-09,21,21,16,18,18,6,19,19,11,177,1023,18,1.0,0.0,7.4,16,86,4,Waller County,Texas
2020-03-10,25,25,16,20,20,4,21,21,4,193,1023,8,1.8,0.0,10.2,17,84,5,Waller County,Texas
2020-03-11,27,27,16,21,21,4,21,22,9,200,1019,14,0.4,0.0,11.6,17,82,6,Waller County,Texas
2020-03-12,27,27,18,21,22,6,22,23,11,192,1013,16,0.0,0.0,10.2,18,83,6,Waller County,Texas
2020-03-13,24,24,18,21,21,5,22,21,9,157,1016,14,0.3,0.0,6.0,19,88,5,Waller County,Texas
2020-03-14,26,26,20,23,24,6,24,24,11,171,1020,16,0.2,0.0,10.2,20,84,5,Waller County,Texas
2020-03-15,28,28,19,22,23,3,23,24,6,122,1022,9,1.6,0.0,6.0,19,85,5,Waller County,Texas
2020-03-16,25,25,17,21,21,4,21,22,6,149,1021,9,1.5,0.0,7.4,18,85,5,Waller County,Texas
2020-03-17,27,27,18,22,23,4,23,24,8,147,1019,12,3.3,0.0,11.6,18,82,5,Waller County,Texas
2020-03-18,25,25,19,22,23,6,23,23,11,173,1017,17,0.6,0.0,6.0,19,87,5,Waller County,Texas
2020-03-19,27,27,21,23,25,6,25,24,12,172,1016,18,0.4,0.0,7.4,20,84,5,Waller County,Texas
2020-03-20,23,23,16,21,23,5,23,22,9,71,1021,13,7.3,0.0,6.0,19,90,5,Waller County,Texas
2020-03-21,18,18,11,13,13,5,14,15,9,49,1026,13,25.7,0.0,6.1,11,86,3,Waller County,Texas
2020-03-22,26,26,15,20,20,3,21,21,6,124,1019,9,2.6,0.0,6.1,18,91,5,Waller County,Texas
2020-03-23,28,28,19,22,23,5,23,24,10,190,1017,14,0.1,0.0,7.5,20,87,5,Waller County,Texas
2020-03-24,28,28,20,24,26,6,26,25,11,220,1013,16,0.3,0.0,7.5,20,82,5,Waller County,Texas
2020-03-25,30,30,18,23,25,4,25,25,6,196,1013,11,0.0,0.0,11.6,19,80,7,Waller County,Texas
2020-03-26,30,30,18,23,24,4,24,25,11,176,1011,17,0.0,0.0,11.6,20,83,6,Waller County,Texas
2020-03-27,29,29,20,24,26,6,26,26,13,180,1009,19,0.0,0.0,11.6,20,81,7,Waller County,Texas
2020-03-28,24,24,11,19,19,6,21,21,10,297,1011,15,1.1,0.0,6.1,17,82,5,Waller County,Texas
2020-03-29,26,26,13,19,19,6,19,20,6,65,1018,10,0.1,0.0,11.6,9,53,6,Waller County,Texas
2020-03-30,26,26,18,22,23,6,23,23,11,144,1015,17,0.6,0.0,7.5,16,69,5,Waller County,Texas
2020-03-31,22,22,14,18,18,5,18,17,11,348,1015,16,0.5,0.0,8.9,15,83,4,Waller County,Texas
2020-04-01,22,22,11,16,16,6,17,18,8,143,1016,13,0.0,0.0,10.2,11,72,5,Waller County,Texas
2020-04-02,24,24,15,19,19,6,20,21,10,152,1014,16,0.6,0.0,6.2,16,81,5,Waller County,Texas
2020-04-03,23,23,13,19,19,3,20,21,9,129,1013,15,11.3,0.0,6.2,18,91,5,Waller County,Texas
2020-04-04,16,16,9,11,11,4,13,13,10,121,1017,14,6.4,0.0,6.2,12,92,3,Waller County,Texas
2020-04-05,26,26,14,19,19,4,20,21,5,99,1017,8,0.1,0.0,10.2,15,83,5,Waller County,Texas
2020-04-06,26,26,17,21,22,4,22,22,6,145,1016,8,0.5,0.0,6.2,18,87,5,Waller County,Texas
2020-04-07,30,30,20,24,26,4,26,26,7,221,1014,11,0.3,0.0,11.6,21,85,6,Waller County,Texas
2020-04-08,31,31,21,25,28,4,28,27,8,229,1011,12,1.9,0.0,10.3,22,85,6,Waller County,Texas
2020-04-09,32,32,21,25,28,4,28,27,6,286,1010,11,3.4,0.0,11.6,21,84,7,Waller County,Texas
2020-04-10,23,23,17,20,20,5,21,21,9,75,1016,13,2.4,0.0,8.9,16,79,5,Waller County,Texas
2020-04-11,22,22,15,18,18,5,19,20,9,124,1011,15,4.8,0.0,6.2,17,85,4,Waller County,Texas
2020-04-12,28,28,19,23,25,6,25,25,14,234,1003,21,0.7,0.0,10.3,18,73,6,Waller County,Texas
2020-04-13,17,17,7,11,11,6,13,12,13,239,1018,19,0.0,0.0,11.6,6,65,4,Waller County,Texas
2020-04-14,19,19,7,11,11,6,13,14,11,134,1019,16,0.0,0.0,11.6,7,72,4,Waller County,Texas
2020-04-15,19,19,6,11,11,6,12,14,8,137,1021,12,0.0,0.0,11.6,6,65,4,Waller County,Texas
2020-04-16,23,23,9,15,15,6,16,17,9,137,1020,14,0.0,0.0,11.6,8,63,5,Waller County,Texas
2020-04-17,24,24,16,20,21,5,21,22,7,123,1017,11,5.3,0.0,6.5,18,89,5,Waller County,Texas
2020-04-18,22,22,12,16,16,5,18,18,8,73,1016,12,4.3,0.0,6.5,15,89,4,Waller County,Texas
2020-04-19,29,29,19,24,26,4,26,25,10,206,1007,15,1.1,0.0,6.5,19,80,5,Waller County,Texas
