date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,1,1,-8,-7,-7,5,-1,1,15,284,1004,26,0.1,0.1,8.6,-4,82,1,Walsh County,North Dakota
2020-03-02,1,1,-12,-11,-11,6,-5,-5,12,207,1003,21,0.0,0.0,7.1,-7,85,1,Walsh County,North Dakota
2020-03-03,-1,-1,-8,-9,-9,6,-3,-2,11,311,1002,17,0.0,0.0,7.1,-5,87,1,Walsh County,North Dakota
2020-03-04,1,1,-10,-8,-8,6,-4,-4,8,172,1007,15,0.5,0.0,5.6,-6,90,1,Walsh County,North Dakota
2020-03-05,-1,-1,-7,-8,-8,2,-2,-2,14,341,1019,21,2.6,0.5,7.1,-4,92,1,Walsh County,North Dakota
2020-03-06,1,1,-8,-9,-9,6,-4,-3,13,179,1026,21,0.0,0.0,11.2,-6,86,2,Walsh County,North Dakota
2020-03-07,1,1,-3,-4,-4,3,-1,-1,6,79,1013,10,0.0,0.0,7.3,-2,94,1,Walsh County,North Dakota
2020-03-08,1,1,-11,-9,-9,3,-3,-2,11,233,1011,16,0.3,0.3,5.9,-4,95,1,Walsh County,North Dakota
2020-03-09,-9,-9,-18,-19,-19,6,-13,-14,6,323,1026,10,0.0,0.0,10.2,-16,85,1,Walsh County,North Dakota
2020-03-10,-3,-3,-13,-12,-12,6,-8,-7,5,183,1023,9,0.0,0.0,11.6,-11,82,2,Walsh County,North Dakota
2020-03-11,2,2,-6,-5,-5,6,-1,1,8,195,1007,15,0.0,0.0,10.2,-2,93,1,Walsh County,North Dakota
2020-03-12,-2,-2,-7,-9,-9,6,-3,-2,15,306,1010,23,0.0,0.0,8.8,-6,82,1,Walsh County,North Dakota
2020-03-13,-11,-11,-14,-20,-20,6,-12,-12,13,314,1029,19,0.0,0.0,11.6,-14,84,2,Walsh County,North Dakota
2020-03-14,-10,-10,-16,-20,-20,4,-14,-14,7,33,1044,11,0.1,0.0,6.0,-15,94,1,Walsh County,North Dakota
2020-03-15,-4,-4,-14,-13,-13,2,-9,-8,6,146,1037,9,4.7,3.5,6.0,-9,96,1,Walsh County,North Dakota
2020-03-16,-6,-6,-11,-13,-13,5,-7,-9,12,291,1024,20,1.7,1.9,10.2,-9,83,1,Walsh County,North Dakota
2020-03-17,-3,-3,-11,-12,-12,5,-7,-7,8,215,1023,14,0.0,0.0,8.8,-9,85,1,Walsh County,North Dakota
2020-03-18,-7,-7,-11,-15,-15,2,-8,-8,11,10,1022,16,2.3,1.4,6.0,-9,95,1,Walsh County,North Dakota
2020-03-19,-11,-11,-13,-21,-21,4,-12,-12,17,355,1028,24,4.7,2.9,10.2,-13,90,1,Walsh County,North Dakota
2020-03-20,-12,-12,-20,-23,-23,6,-16,-16,8,210,1041,14,0.0,0.0,11.6,-18,89,2,Walsh County,North Dakota
2020-03-21,-5,-5,-19,-19,-19,4,-13,-13,7,146,1033,13,0.0,0.0,6.1,-14,92,1,Walsh County,North Dakota
2020-03-22,-2,-2,-11,-11,-11,5,-7,-6,6,224,1021,11,0.0,0.0,6.1,-8,93,1,Walsh County,North Dakota
2020-03-23,0,0,-8,-9,-9,6,-4,-3,8,182,1019,14,0.0,0.0,8.9,-6,90,1,Walsh County,North Dakota
2020-03-24,3,3,-4,-4,-4,5,0,1,10,191,1009,19,0.0,0.0,6.1,-1,94,1,Walsh County,North Dakota
2020-03-25,-4,-4,-9,-11,-11,6,-5,-5,10,356,1015,14,0.0,0.0,8.9,-7,90,1,Walsh County,North Dakota
