date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,8,13,13,6,13,15,5,179,1024,8,0.0,0.0,11.3,6,61,5,Walton County,Florida
2020-03-02,22,22,13,17,17,6,17,19,9,196,1017,14,0.3,0.0,10.1,12,76,4,Walton County,Florida
2020-03-03,25,25,18,21,21,4,21,22,8,222,1014,13,0.0,0.0,7.2,17,84,5,Walton County,Florida
2020-03-04,24,24,17,21,22,3,22,22,8,216,1013,12,9.6,0.0,5.7,20,93,5,Walton County,Florida
2020-03-05,26,26,15,19,19,5,20,22,10,259,1013,14,6.3,0.0,5.7,16,86,5,Walton County,Florida
2020-03-06,17,17,10,11,11,6,13,14,10,346,1024,14,0.0,0.0,11.4,5,63,4,Walton County,Florida
2020-03-07,16,16,4,8,8,6,10,11,7,31,1030,11,0.0,0.0,11.4,0,53,4,Walton County,Florida
2020-03-08,20,20,6,12,12,6,14,14,5,126,1032,9,0.0,0.0,11.5,3,56,4,Walton County,Florida
2020-03-09,22,22,11,15,15,6,16,18,7,157,1030,11,0.0,0.0,10.1,10,71,4,Walton County,Florida
2020-03-10,24,24,14,18,18,6,19,19,5,201,1026,7,0.0,0.0,8.7,13,76,4,Walton County,Florida
2020-03-11,25,25,16,19,19,4,20,21,6,216,1021,9,0.0,0.0,10.2,16,81,6,Walton County,Florida
2020-03-12,27,27,16,20,21,3,21,23,6,222,1017,9,0.0,0.0,10.2,16,80,6,Walton County,Florida
2020-03-13,27,27,16,21,21,3,21,23,5,238,1020,8,0.0,0.0,10.2,16,80,6,Walton County,Florida
2020-03-14,29,29,16,22,23,4,23,24,3,149,1024,5,0.0,0.0,11.6,15,70,6,Walton County,Florida
2020-03-15,29,29,17,23,24,6,24,24,3,348,1024,5,0.0,0.0,11.6,14,62,6,Walton County,Florida
2020-03-16,28,28,17,22,23,5,23,24,5,166,1022,8,0.0,0.0,11.6,15,69,6,Walton County,Florida
2020-03-17,27,27,18,22,22,6,22,24,3,201,1022,5,0.0,0.0,11.6,16,70,5,Walton County,Florida
2020-03-18,27,27,17,22,22,4,22,23,6,177,1023,9,0.1,0.0,10.2,17,77,5,Walton County,Florida
2020-03-19,29,29,18,23,24,3,24,25,7,183,1023,10,0.0,0.0,10.2,18,78,6,Walton County,Florida
2020-03-20,27,27,19,22,23,3,23,24,7,197,1024,10,0.3,0.0,7.4,19,84,5,Walton County,Florida
2020-03-21,27,27,18,22,22,3,22,24,3,217,1024,6,10.7,0.0,7.4,18,83,5,Walton County,Florida
2020-03-22,26,26,15,19,19,5,20,21,4,85,1023,7,1.1,0.0,8.8,16,82,5,Walton County,Florida
2020-03-23,27,27,18,22,23,3,23,24,7,211,1021,10,0.1,0.0,10.2,18,82,6,Walton County,Florida
2020-03-24,27,27,18,22,23,3,23,24,8,208,1016,12,0.1,0.0,10.2,18,79,5,Walton County,Florida
2020-03-25,29,29,20,24,26,5,26,26,6,266,1013,10,1.7,0.0,6.3,19,77,6,Walton County,Florida
2020-03-26,31,31,18,24,25,5,25,26,5,165,1015,7,0.0,0.0,11.6,17,71,7,Walton County,Florida
2020-03-27,29,29,19,23,24,3,24,25,6,206,1015,9,0.0,0.0,10.3,19,81,7,Walton County,Florida
2020-03-28,29,29,20,24,25,3,25,26,8,199,1016,12,0.0,0.0,10.3,20,81,7,Walton County,Florida
2020-03-29,30,30,21,25,26,4,26,27,6,215,1019,9,0.4,0.0,9.0,20,79,6,Walton County,Florida
2020-03-30,28,28,17,22,22,6,22,24,4,52,1019,7,0.4,0.0,11.6,12,56,6,Walton County,Florida
2020-03-31,28,28,19,23,24,4,24,24,12,256,1009,18,6.2,0.0,6.4,17,78,5,Walton County,Florida
2020-04-01,21,21,9,14,14,6,15,16,8,235,1015,11,0.0,0.0,11.6,6,58,5,Walton County,Florida
2020-04-02,23,23,9,15,15,6,17,18,4,22,1017,7,0.0,0.0,11.6,6,55,4,Walton County,Florida
2020-04-03,27,27,13,19,19,6,19,21,3,69,1016,5,0.0,0.0,11.6,7,50,6,Walton County,Florida
2020-04-04,28,28,15,21,21,6,21,23,4,132,1015,6,0.0,0.0,11.6,11,55,6,Walton County,Florida
2020-04-05,28,28,18,22,22,6,23,22,3,229,1017,5,0.2,0.0,7.7,13,63,5,Walton County,Florida
2020-04-06,28,28,16,21,22,6,22,24,4,183,1018,6,0.0,0.0,11.6,15,71,6,Walton County,Florida
2020-04-07,28,28,17,22,22,4,22,24,5,208,1017,7,0.0,0.0,10.3,17,78,5,Walton County,Florida
2020-04-08,30,30,21,24,26,4,26,26,8,255,1012,13,5.0,0.0,6.4,21,83,6,Walton County,Florida
2020-04-09,32,32,22,26,29,6,29,28,7,309,1009,10,0.6,0.0,9.0,20,76,6,Walton County,Florida
2020-04-10,20,20,13,17,17,5,17,18,9,9,1015,13,5.3,0.0,7.7,9,62,4,Walton County,Florida
2020-04-11,25,25,9,17,17,6,18,18,5,126,1017,9,0.0,0.0,11.6,4,47,5,Walton County,Florida
2020-04-12,27,27,16,22,23,6,23,24,12,181,1011,18,0.6,0.0,6.5,18,79,5,Walton County,Florida
2020-04-13,29,29,20,25,26,5,26,25,8,286,1013,13,9.0,0.0,11.6,15,65,7,Walton County,Florida
2020-04-14,29,29,14,21,22,6,22,23,5,142,1016,7,0.0,0.0,11.6,13,67,6,Walton County,Florida
2020-04-15,20,20,11,14,14,6,15,16,9,9,1017,13,0.8,0.0,10.3,5,54,5,Walton County,Florida
2020-04-16,22,22,9,15,15,6,17,17,9,53,1022,13,0.0,0.0,11.6,2,43,5,Walton County,Florida
2020-04-17,26,26,13,18,18,5,18,21,6,160,1021,10,0.0,0.0,6.5,12,68,5,Walton County,Florida
2020-04-18,28,28,19,22,23,2,23,24,4,298,1016,6,7.9,0.0,6.5,19,85,5,Walton County,Florida
2020-04-19,27,27,20,23,25,3,25,25,10,221,1010,16,3.2,0.0,10.3,20,83,6,Walton County,Florida
2020-04-20,27,27,16,21,22,5,22,22,6,324,1008,10,8.2,0.0,11.6,15,74,6,Walton County,Florida
2020-04-21,28,28,14,21,21,6,21,23,4,312,1015,6,0.0,0.0,11.6,11,59,6,Walton County,Florida
2020-04-22,27,27,15,21,21,6,21,23,6,126,1017,10,0.0,0.0,11.6,11,55,6,Walton County,Florida
2020-04-23,23,23,18,20,20,5,21,22,10,220,1009,18,22.3,0.0,7.8,17,79,5,Walton County,Florida
2020-04-24,28,28,18,23,24,5,24,24,4,332,1009,7,1.0,0.0,11.6,15,71,6,Walton County,Florida
2020-04-25,29,29,17,22,23,6,23,25,8,218,1012,11,0.0,0.0,11.6,15,65,7,Walton County,Florida
2020-04-26,24,24,16,20,20,6,21,21,8,323,1019,13,0.0,0.0,11.6,9,53,6,Walton County,Florida
2020-04-27,24,24,11,17,17,6,19,19,6,28,1023,10,0.0,0.0,11.6,7,54,5,Walton County,Florida
2020-04-28,28,28,14,20,21,6,21,23,6,169,1020,9,0.0,0.0,11.6,10,58,6,Walton County,Florida
2020-04-29,23,23,12,19,19,5,20,21,10,191,1012,16,35.8,0.0,6.6,18,85,5,Walton County,Florida
2020-04-30,24,24,13,17,17,6,18,19,8,297,1014,12,2.3,0.0,11.6,10,66,5,Walton County,Florida
2020-05-01,26,26,12,20,20,6,21,22,4,232,1019,6,0.0,0.0,11.6,9,56,6,Walton County,Florida
2020-05-02,29,29,14,21,22,6,22,24,4,162,1021,7,0.0,0.0,13.2,11,57,6,Walton County,Florida
2020-05-03,29,29,16,21,22,6,22,24,5,226,1018,7,0.0,0.0,13.7,14,65,6,Walton County,Florida
2020-05-04,30,30,16,23,23,4,23,25,5,246,1015,8,0.0,0.0,13.7,16,72,7,Walton County,Florida
2020-05-05,31,31,19,25,26,4,26,27,6,232,1013,9,0.2,0.0,10.9,18,75,6,Walton County,Florida
2020-05-06,27,27,18,22,23,6,23,23,9,222,1015,13,0.4,0.0,13.3,11,56,5,Walton County,Florida
2020-05-07,22,22,10,15,15,6,16,18,6,9,1021,9,0.0,0.0,13.7,4,49,5,Walton County,Florida
2020-05-08,25,25,12,19,19,6,20,22,9,200,1016,13,0.2,0.0,13.7,11,59,6,Walton County,Florida
2020-05-09,23,23,12,17,17,6,18,19,9,39,1020,13,0.2,0.0,12.1,7,55,5,Walton County,Florida
2020-05-10,26,26,12,18,18,6,19,21,6,38,1021,9,0.0,0.0,13.8,7,48,6,Walton County,Florida
2020-05-11,26,26,13,20,21,6,21,22,7,128,1021,12,0.0,0.0,13.8,8,49,6,Walton County,Florida
2020-05-12,27,27,13,19,19,6,20,22,6,71,1022,9,0.0,0.0,12.1,7,48,6,Walton County,Florida
2020-05-13,30,30,15,23,24,6,24,25,6,167,1021,9,0.0,0.0,13.8,13,61,7,Walton County,Florida
2020-05-14,30,30,18,24,25,6,25,26,7,148,1020,11,0.0,0.0,13.8,15,63,7,Walton County,Florida
2020-05-15,30,30,18,24,25,5,25,26,5,143,1018,8,0.0,0.0,13.8,17,71,7,Walton County,Florida
2020-05-16,32,32,19,23,24,5,24,26,5,157,1016,8,0.8,0.0,13.3,18,75,6,Walton County,Florida
2020-05-17,33,33,18,25,25,6,25,28,5,191,1016,8,0.0,0.0,13.9,17,66,7,Walton County,Florida
2020-05-18,26,26,21,23,25,5,25,25,9,212,1009,14,15.2,0.0,9.8,20,82,5,Walton County,Florida
2020-05-19,29,29,18,23,24,5,24,25,7,255,1010,10,0.0,0.0,13.3,17,72,5,Walton County,Florida
2020-05-20,24,24,19,22,22,5,23,22,5,270,1011,8,8.4,0.0,8.7,19,85,5,Walton County,Florida
2020-05-21,29,29,18,22,24,3,24,23,4,117,1014,7,23.5,0.0,8.7,20,86,5,Walton County,Florida
2020-05-22,32,32,21,26,29,3,29,29,6,199,1017,8,0.0,0.0,13.3,21,76,6,Walton County,Florida
2020-05-23,34,34,22,28,30,5,30,30,5,208,1017,7,1.7,0.0,13.9,19,68,8,Walton County,Florida
2020-05-24,33,33,21,27,28,6,28,29,5,105,1015,7,3.7,0.0,13.9,20,73,7,Walton County,Florida
2020-05-25,30,30,21,25,26,5,26,27,8,115,1013,12,2.1,0.0,12.2,19,72,7,Walton County,Florida
2020-05-26,28,28,20,23,24,5,24,24,7,87,1012,12,13.9,0.0,8.7,20,85,5,Walton County,Florida
2020-05-27,30,30,20,25,27,4,27,27,5,174,1012,8,5.4,0.0,9.9,21,82,6,Walton County,Florida
2020-05-28,33,33,22,26,28,4,28,29,6,222,1015,9,0.3,0.0,12.2,20,74,6,Walton County,Florida
2020-05-29,31,31,21,25,27,5,27,28,5,221,1016,8,3.6,0.0,12.2,20,77,6,Walton County,Florida
2020-05-30,32,32,21,26,28,6,28,29,4,236,1016,6,0.2,0.0,12.2,19,69,6,Walton County,Florida
2020-05-31,32,32,21,26,27,6,27,28,5,115,1017,8,0.2,0.0,14.0,16,59,7,Walton County,Florida
2020-06-01,32,32,21,26,28,6,28,29,6,78,1019,9,0.3,0.0,13.4,18,65,6,Walton County,Florida
2020-06-02,29,29,22,25,27,5,27,27,5,129,1019,8,8.4,0.0,9.9,21,80,6,Walton County,Florida
2020-06-03,28,28,19,23,25,5,25,25,4,158,1017,7,7.1,0.0,9.9,21,85,5,Walton County,Florida
2020-06-04,32,32,22,26,29,5,29,29,4,136,1014,6,2.6,0.0,13.4,20,72,7,Walton County,Florida
2020-06-05,33,33,21,26,28,5,28,29,5,189,1015,7,0.0,0.0,14.0,20,73,7,Walton County,Florida
2020-06-06,26,26,22,24,26,5,26,25,7,120,1013,11,10.5,0.0,8.8,21,87,6,Walton County,Florida
2020-06-07,29,29,22,25,28,4,28,27,13,124,1009,21,102.3,0.0,11.1,23,89,6,Walton County,Florida
2020-06-08,29,29,24,26,29,5,29,28,11,180,1010,17,30.5,0.0,8.8,23,84,6,Walton County,Florida
2020-06-09,30,30,19,25,28,5,28,27,7,189,1013,11,2.4,0.0,12.2,22,81,6,Walton County,Florida
2020-06-10,32,32,24,27,30,5,30,29,8,209,1015,11,0.5,0.0,11.1,23,80,6,Walton County,Florida
2020-06-11,32,32,21,26,27,5,27,27,7,128,1018,10,0.6,0.0,13.4,19,70,7,Walton County,Florida
2020-06-12,31,31,20,25,26,6,26,27,6,123,1017,10,0.0,0.0,14.1,17,62,7,Walton County,Florida
2020-06-13,31,31,22,25,28,5,28,28,7,63,1016,11,3.4,0.0,11.1,20,72,6,Walton County,Florida
2020-06-14,31,31,20,25,26,5,26,27,7,55,1018,11,3.0,0.0,14.1,17,63,7,Walton County,Florida
2020-06-15,32,32,21,26,27,6,27,28,6,10,1019,9,0.0,0.0,14.1,16,56,7,Walton County,Florida
2020-06-16,29,29,20,24,25,6,25,25,7,55,1019,10,0.1,0.0,14.1,16,64,7,Walton County,Florida
2020-06-17,30,30,18,23,24,6,24,25,4,156,1018,6,0.1,0.0,11.1,16,66,5,Walton County,Florida
2020-06-18,32,32,20,25,26,6,26,28,2,187,1017,3,0.8,0.0,14.1,16,60,7,Walton County,Florida
