date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,5,12,12,6,13,14,3,132,1026,5,0.0,0.0,10.2,0,48,4,Ware County,Georgia
2020-03-02,22,22,8,15,15,6,15,17,8,194,1020,13,0.3,0.0,8.7,8,64,4,Ware County,Georgia
2020-03-03,26,26,15,20,20,6,20,22,10,216,1014,15,3.8,0.0,7.3,15,77,5,Ware County,Georgia
2020-03-04,26,26,16,20,20,4,20,22,5,254,1014,8,20.1,0.0,5.9,19,93,5,Ware County,Georgia
2020-03-05,23,23,15,18,18,4,20,20,7,205,1014,11,13.6,0.0,5.9,17,95,5,Ware County,Georgia
2020-03-06,17,17,11,11,11,6,13,14,12,313,1020,18,0.0,0.0,11.6,5,64,4,Ware County,Georgia
2020-03-07,14,14,3,6,6,6,9,10,8,23,1029,12,0.0,0.0,11.6,-1,52,3,Ware County,Georgia
2020-03-08,19,19,5,11,11,6,12,13,6,87,1033,10,0.0,0.0,7.3,4,64,3,Ware County,Georgia
2020-03-09,22,22,9,15,15,5,16,18,7,134,1032,11,0.0,0.0,11.6,10,72,5,Ware County,Georgia
2020-03-10,24,24,14,18,18,5,19,20,5,201,1027,9,0.1,0.0,7.4,13,75,4,Ware County,Georgia
2020-03-11,26,26,14,20,20,6,21,22,5,255,1021,9,0.4,0.0,11.6,14,72,5,Ware County,Georgia
2020-03-12,27,27,15,20,21,4,21,22,5,253,1017,8,0.5,0.0,11.6,15,73,6,Ware County,Georgia
2020-03-13,28,28,15,21,22,5,22,23,5,272,1020,9,0.0,0.0,11.6,14,69,6,Ware County,Georgia
2020-03-14,29,29,17,22,23,6,23,24,3,67,1024,5,0.1,0.0,11.6,16,74,6,Ware County,Georgia
2020-03-15,28,28,18,22,23,6,23,25,5,336,1024,9,0.0,0.0,11.6,16,70,6,Ware County,Georgia
2020-03-16,22,22,17,19,19,6,19,19,8,88,1025,11,0.0,0.0,6.0,15,81,4,Ware County,Georgia
2020-03-17,25,25,17,20,20,5,21,22,4,222,1023,6,3.2,0.0,7.4,17,85,5,Ware County,Georgia
2020-03-18,27,27,17,21,22,3,22,24,5,128,1024,9,10.1,0.0,6.0,18,84,5,Ware County,Georgia
2020-03-19,30,30,18,24,25,4,25,25,5,164,1025,9,0.0,0.0,11.6,17,73,7,Ware County,Georgia
2020-03-20,30,30,18,24,25,5,25,26,6,217,1024,9,0.1,0.0,11.6,18,74,7,Ware County,Georgia
2020-03-21,29,29,18,23,24,4,24,25,6,285,1023,9,1.9,0.0,8.8,18,77,5,Ware County,Georgia
2020-03-22,27,27,17,21,21,5,21,23,6,88,1023,9,10.2,0.0,8.8,17,80,5,Ware County,Georgia
2020-03-23,29,29,18,22,23,6,23,25,6,242,1021,8,0.0,0.0,10.2,17,73,6,Ware County,Georgia
2020-03-24,29,29,18,23,24,4,24,25,9,222,1017,13,0.0,0.0,10.2,16,71,6,Ware County,Georgia
2020-03-25,29,29,20,25,26,6,26,26,10,281,1012,14,0.5,0.0,11.6,17,69,7,Ware County,Georgia
2020-03-26,28,28,17,23,24,5,24,24,7,115,1015,10,0.2,0.0,11.6,16,74,6,Ware County,Georgia
2020-03-27,31,31,19,25,26,4,26,27,6,231,1015,10,0.0,0.0,10.2,17,70,7,Ware County,Georgia
2020-03-28,32,32,18,25,26,4,26,27,7,224,1016,12,0.0,0.0,11.6,17,69,7,Ware County,Georgia
2020-03-29,32,32,18,25,26,4,26,27,7,247,1018,11,0.0,0.0,11.6,17,69,7,Ware County,Georgia
2020-03-30,29,29,19,24,25,5,25,26,5,342,1018,8,0.0,0.0,6.1,13,56,6,Ware County,Georgia
2020-03-31,29,29,16,21,21,5,21,23,9,226,1008,13,9.5,0.0,7.5,13,63,5,Ware County,Georgia
2020-04-01,19,19,10,13,13,6,14,15,9,329,1011,13,0.1,0.0,11.6,6,59,5,Ware County,Georgia
2020-04-02,22,22,10,15,15,6,16,18,4,253,1017,7,0.0,0.0,11.6,7,60,5,Ware County,Georgia
2020-04-03,25,25,12,18,18,6,18,21,2,143,1016,4,0.0,0.0,10.2,8,54,6,Ware County,Georgia
2020-04-04,27,27,15,21,22,6,22,23,5,338,1014,8,0.0,0.0,11.6,9,51,6,Ware County,Georgia
2020-04-05,25,25,17,20,21,6,21,22,5,139,1017,8,0.6,0.0,11.6,13,66,5,Ware County,Georgia
2020-04-06,28,28,15,22,23,5,23,24,3,78,1019,5,0.0,0.0,11.6,13,66,6,Ware County,Georgia
2020-04-07,29,29,17,22,22,6,22,24,6,258,1017,9,0.5,0.0,11.6,15,70,6,Ware County,Georgia
2020-04-08,29,29,18,22,24,5,24,24,8,262,1011,12,2.3,0.0,8.9,19,83,5,Ware County,Georgia
2020-04-09,31,31,22,26,28,6,28,28,10,289,1007,15,2.3,0.0,8.9,19,70,6,Ware County,Georgia
2020-04-10,20,20,13,18,18,5,19,18,7,330,1013,11,0.4,0.0,10.3,6,47,4,Ware County,Georgia
2020-04-11,26,26,10,18,18,6,19,20,4,125,1018,8,0.0,0.0,10.3,3,42,4,Ware County,Georgia
