date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,0,5,5,6,8,10,12,196,1020,19,0.0,0.0,8.6,2,66,2,Warren County,Kentucky
2020-03-02,17,17,10,11,11,4,13,14,13,221,1010,22,34.1,0.0,5.6,11,88,3,Warren County,Kentucky
2020-03-03,15,15,8,11,11,5,13,14,10,284,1008,17,13.3,0.0,8.6,9,81,3,Warren County,Kentucky
2020-03-04,16,16,6,9,9,6,10,12,7,253,1016,11,0.0,0.0,10.1,4,68,3,Warren County,Kentucky
2020-03-05,15,15,4,8,8,6,10,11,8,221,1018,14,0.0,0.0,10.1,4,70,3,Warren County,Kentucky
2020-03-06,7,7,1,0,0,5,4,4,13,320,1026,19,0.0,0.0,8.6,-1,68,1,Warren County,Kentucky
2020-03-07,10,10,-3,1,1,6,3,5,5,82,1034,7,0.0,0.0,11.4,-3,65,2,Warren County,Kentucky
2020-03-08,15,15,1,6,6,6,8,10,9,193,1030,15,0.0,0.0,7.2,1,64,2,Warren County,Kentucky
2020-03-09,16,16,8,10,10,5,12,13,14,192,1027,24,0.5,0.0,11.4,7,72,4,Warren County,Kentucky
2020-03-10,15,15,9,12,12,5,13,14,11,305,1021,16,7.2,0.0,5.7,11,87,3,Warren County,Kentucky
2020-03-11,16,16,6,10,10,6,10,12,3,223,1019,5,0.0,0.0,8.7,8,84,3,Warren County,Kentucky
2020-03-12,21,21,10,16,16,4,16,17,10,194,1011,17,10.3,0.0,5.8,14,87,4,Warren County,Kentucky
2020-03-13,12,12,8,9,9,5,11,10,10,351,1022,15,4.7,0.0,11.6,6,72,4,Warren County,Kentucky
2020-03-14,8,8,4,3,3,5,6,7,10,68,1027,15,27.6,0.0,6.0,2,77,2,Warren County,Kentucky
2020-03-15,9,9,3,2,2,6,5,6,9,34,1030,12,0.9,0.0,6.0,3,87,2,Warren County,Kentucky
2020-03-16,9,9,2,5,5,4,6,7,3,218,1026,5,1.5,0.0,7.4,4,88,2,Warren County,Kentucky
2020-03-17,13,13,7,8,8,4,9,9,4,40,1024,7,15.0,0.0,6.0,7,90,2,Warren County,Kentucky
2020-03-18,17,17,7,13,13,3,13,15,9,197,1021,15,28.9,0.0,6.0,12,95,3,Warren County,Kentucky
2020-03-19,22,22,14,18,18,4,19,19,12,197,1018,20,6.9,0.0,7.4,17,91,4,Warren County,Kentucky
2020-03-20,22,22,11,18,18,6,20,20,16,270,1019,24,1.3,0.0,6.0,15,83,5,Warren County,Kentucky
2020-03-21,11,11,3,4,4,6,7,8,8,233,1030,11,0.0,0.0,11.6,2,70,3,Warren County,Kentucky
2020-03-22,15,15,2,5,5,6,7,9,6,132,1026,9,0.1,0.0,10.3,4,78,3,Warren County,Kentucky
2020-03-23,15,15,8,10,10,5,11,12,6,331,1020,10,5.2,0.0,10.3,9,86,3,Warren County,Kentucky
2020-03-24,15,15,7,9,9,4,10,12,6,135,1015,10,12.3,0.0,6.3,9,93,3,Warren County,Kentucky
2020-03-25,17,17,5,9,9,4,10,12,5,105,1014,8,0.0,0.0,10.3,7,85,3,Warren County,Kentucky
2020-03-26,23,23,8,14,14,4,16,17,10,191,1012,17,0.0,0.0,11.6,12,81,5,Warren County,Kentucky
2020-03-27,23,23,17,20,20,6,21,21,8,216,1009,13,2.5,0.0,6.3,18,89,5,Warren County,Kentucky
2020-03-28,23,23,17,20,20,6,21,21,11,213,1009,19,4.0,0.0,6.3,18,88,5,Warren County,Kentucky
2020-03-29,18,18,13,15,15,6,16,16,14,251,1015,22,1.5,0.0,10.3,11,76,4,Warren County,Kentucky
2020-03-30,17,17,9,12,12,6,13,14,6,309,1021,11,0.0,0.0,11.6,7,69,4,Warren County,Kentucky
2020-03-31,11,11,5,7,7,5,9,9,7,259,1014,11,12.8,0.0,6.4,5,81,2,Warren County,Kentucky
2020-04-01,12,12,1,4,4,5,6,8,6,237,1017,9,0.0,0.0,9.0,3,78,2,Warren County,Kentucky
2020-04-02,15,15,4,9,9,6,9,11,3,87,1020,5,0.0,0.0,10.3,5,74,4,Warren County,Kentucky
2020-04-03,19,19,7,13,13,6,13,14,3,100,1018,5,0.0,0.0,10.3,7,71,3,Warren County,Kentucky
2020-04-04,20,20,12,15,15,6,15,17,5,201,1017,7,0.0,0.0,10.3,10,74,5,Warren County,Kentucky
2020-04-05,20,20,10,14,14,5,14,15,5,308,1019,8,0.1,0.0,11.6,11,84,5,Warren County,Kentucky
2020-04-06,22,22,12,17,17,5,17,18,2,244,1018,4,3.1,0.0,9.0,14,83,4,Warren County,Kentucky
2020-04-07,24,24,14,19,19,5,19,21,9,228,1012,14,5.7,0.0,7.7,16,87,5,Warren County,Kentucky
2020-04-08,26,26,17,21,22,6,22,23,9,259,1006,15,6.2,0.0,9.0,18,87,5,Warren County,Kentucky
2020-04-09,14,14,8,11,11,6,13,12,13,307,1010,19,0.0,0.0,11.6,6,67,4,Warren County,Kentucky
2020-04-10,11,11,0,3,3,6,6,7,8,322,1019,12,0.0,0.0,11.6,-2,60,3,Warren County,Kentucky
2020-04-11,16,16,3,8,8,6,9,11,6,176,1017,10,0.0,0.0,11.6,3,64,4,Warren County,Kentucky
2020-04-12,15,15,9,12,12,4,13,14,13,168,1007,20,19.0,0.0,6.5,12,87,3,Warren County,Kentucky
2020-04-13,10,10,4,7,7,5,9,8,11,296,1011,16,3.5,0.0,7.8,6,82,2,Warren County,Kentucky
2020-04-14,6,6,1,2,2,5,4,5,6,125,1023,9,1.3,0.0,6.5,-1,69,2,Warren County,Kentucky
2020-04-15,12,12,-1,4,4,6,5,8,7,239,1021,10,0.0,0.0,11.6,-2,60,3,Warren County,Kentucky
2020-04-16,13,13,-1,4,4,6,6,8,6,112,1026,10,0.0,0.0,11.6,-1,64,3,Warren County,Kentucky
2020-04-17,19,19,6,11,11,5,13,15,14,221,1017,21,3.6,0.0,10.3,6,70,3,Warren County,Kentucky
2020-04-18,13,13,1,5,5,5,7,8,6,113,1019,9,3.0,0.0,11.6,2,75,3,Warren County,Kentucky
2020-04-19,15,15,4,9,9,6,10,12,5,225,1011,8,0.0,0.0,9.1,5,75,3,Warren County,Kentucky
2020-04-20,18,18,6,11,11,6,12,14,6,301,1009,11,0.1,0.0,11.6,8,77,4,Warren County,Kentucky
2020-04-21,16,16,8,11,11,6,12,14,11,320,1014,16,1.9,0.0,10.4,8,77,4,Warren County,Kentucky
2020-04-22,18,18,6,11,11,6,12,14,7,174,1017,11,0.1,0.0,11.6,7,73,4,Warren County,Kentucky
2020-04-23,19,19,11,14,14,6,15,16,12,186,1003,19,6.1,0.0,6.6,13,92,4,Warren County,Kentucky
2020-04-24,20,20,12,14,14,5,15,16,6,223,1009,9,0.0,0.0,10.9,12,85,4,Warren County,Kentucky
2020-04-25,18,18,10,12,12,4,13,15,12,183,1007,19,8.8,0.0,9.8,12,90,4,Warren County,Kentucky
2020-04-26,10,10,2,5,5,5,9,9,14,312,1015,22,15.2,0.0,8.6,8,92,2,Warren County,Kentucky
2020-04-27,18,18,4,11,11,6,11,14,5,219,1022,9,0.0,0.0,13.8,6,72,4,Warren County,Kentucky
2020-04-28,20,20,11,15,15,6,16,17,9,202,1016,17,0.0,0.0,13.8,10,70,5,Warren County,Kentucky
2020-04-29,17,17,4,13,13,5,14,14,11,240,1005,19,9.6,0.0,11.0,12,89,3,Warren County,Kentucky
2020-04-30,12,12,8,8,8,6,10,11,10,296,1010,14,1.2,0.0,8.6,8,86,3,Warren County,Kentucky
2020-05-01,20,20,7,13,13,6,14,16,5,287,1017,7,0.0,0.0,13.9,9,76,5,Warren County,Kentucky
2020-05-02,25,25,12,18,18,6,19,21,10,219,1017,15,0.0,0.0,13.9,15,78,6,Warren County,Kentucky
2020-05-03,23,23,16,19,19,5,20,21,11,250,1014,16,2.6,0.0,9.8,18,91,5,Warren County,Kentucky
2020-05-04,22,22,12,17,17,5,18,18,7,84,1015,11,3.0,0.0,13.9,13,79,5,Warren County,Kentucky
2020-05-05,20,20,11,16,16,4,17,19,9,284,1009,14,4.4,0.0,8.7,15,91,4,Warren County,Kentucky
2020-05-06,14,14,7,8,8,6,10,11,10,336,1017,14,3.0,0.0,8.7,6,80,3,Warren County,Kentucky
2020-05-07,17,17,5,10,10,6,11,14,7,266,1019,12,0.5,0.0,12.2,7,77,3,Warren County,Kentucky
