date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-10,-8,-8,4,-3,-2,8,215,1020,14,1.1,0.8,10.1,-6,83,2,Warren County,Pennsylvania
2020-03-02,5,5,0,0,0,4,3,4,11,205,1009,20,9.6,0.0,5.8,2,92,1,Warren County,Pennsylvania
2020-03-03,9,9,2,2,2,3,5,6,8,192,1003,14,4.8,0.0,5.8,4,96,2,Warren County,Pennsylvania
2020-03-04,4,4,-2,-4,-4,4,0,1,11,263,1010,15,3.4,2.7,7.3,-1,89,1,Warren County,Pennsylvania
2020-03-05,6,6,-4,-1,-1,6,1,3,5,197,1019,7,0.2,0.0,11.6,-4,75,2,Warren County,Pennsylvania
2020-03-06,3,3,-2,-4,-4,3,0,1,10,314,1013,13,1.0,0.4,5.9,-2,89,1,Warren County,Pennsylvania
2020-03-07,2,2,-5,-6,-6,5,-2,-1,8,312,1030,10,0.4,0.1,10.2,-6,75,1,Warren County,Pennsylvania
2020-03-08,11,11,-4,1,1,6,4,6,9,222,1029,14,0.0,0.0,10.2,-3,64,2,Warren County,Pennsylvania
2020-03-09,14,14,3,6,6,6,8,10,11,218,1024,18,0.0,0.0,8.8,4,74,2,Warren County,Pennsylvania
2020-03-10,11,11,1,4,4,5,7,9,12,261,1017,17,3.2,0.0,5.9,5,87,2,Warren County,Pennsylvania
2020-03-11,7,7,-2,1,1,4,2,4,3,174,1020,4,0.1,0.0,5.9,-1,81,1,Warren County,Pennsylvania
2020-03-12,11,11,1,4,4,5,6,8,7,183,1014,11,0.0,0.0,5.9,4,86,2,Warren County,Pennsylvania
2020-03-13,9,9,0,2,2,5,6,6,15,273,1013,21,9.5,0.0,8.8,2,75,2,Warren County,Pennsylvania
2020-03-14,5,5,-2,-3,-3,5,0,2,7,308,1030,10,0.4,0.1,8.8,-5,69,1,Warren County,Pennsylvania
2020-03-15,6,6,-3,-1,-1,6,2,2,7,24,1035,10,0.0,0.0,11.6,-5,70,2,Warren County,Pennsylvania
2020-03-16,9,9,-4,-2,-2,6,1,4,8,165,1029,12,1.0,0.0,10.2,-6,59,1,Warren County,Pennsylvania
2020-03-17,6,6,-3,0,0,2,3,4,7,279,1022,11,1.3,0.0,6.0,1,90,1,Warren County,Pennsylvania
2020-03-18,9,9,-3,1,1,5,3,6,7,147,1027,9,7.7,0.0,8.8,-1,78,2,Warren County,Pennsylvania
2020-03-19,14,14,6,8,8,5,10,11,6,122,1019,9,7.5,0.0,6.0,8,93,3,Warren County,Pennsylvania
2020-03-20,18,18,2,11,11,5,13,15,16,259,1013,22,13.2,0.0,6.1,9,86,3,Warren County,Pennsylvania
2020-03-21,4,4,-4,-5,-5,6,-1,0,9,9,1032,11,0.0,0.0,10.2,-9,58,2,Warren County,Pennsylvania
2020-03-22,6,6,-5,-3,-3,6,1,2,8,118,1034,11,0.0,0.0,11.6,-10,48,2,Warren County,Pennsylvania
2020-03-23,5,5,1,-1,-1,4,3,4,9,182,1021,14,14.1,0.0,6.1,2,97,1,Warren County,Pennsylvania
2020-03-24,6,6,-1,0,0,4,2,3,5,156,1022,7,0.1,0.0,6.1,1,93,1,Warren County,Pennsylvania
2020-03-25,7,7,1,2,2,3,4,5,7,146,1016,10,0.1,0.0,6.1,2,92,2,Warren County,Pennsylvania
2020-03-26,15,15,0,6,6,3,8,10,7,232,1013,11,4.6,0.0,8.9,4,85,3,Warren County,Pennsylvania
2020-03-27,13,13,5,8,8,5,10,10,4,134,1015,6,3.6,0.0,10.2,3,76,3,Warren County,Pennsylvania
2020-03-28,13,13,7,7,7,5,9,9,7,137,1011,12,7.9,0.0,6.2,8,94,2,Warren County,Pennsylvania
2020-03-29,21,21,10,14,14,5,15,17,13,221,1007,20,9.0,0.0,6.2,11,82,4,Warren County,Pennsylvania
2020-03-30,5,5,-4,1,1,4,5,5,11,264,1013,14,5.7,0.0,6.2,4,92,1,Warren County,Pennsylvania
2020-03-31,8,8,3,3,3,4,5,6,4,95,1015,5,1.2,0.3,6.2,3,89,2,Warren County,Pennsylvania
2020-04-01,8,8,0,2,2,5,5,6,8,119,1014,10,0.5,0.0,11.6,0,75,3,Warren County,Pennsylvania
2020-04-02,4,4,-1,-2,-2,5,2,3,10,329,1017,13,1.0,0.3,6.4,0,85,1,Warren County,Pennsylvania
2020-04-03,8,8,0,0,0,5,3,5,8,344,1017,12,0.0,0.0,6.5,1,86,2,Warren County,Pennsylvania
2020-04-04,14,14,1,6,6,5,6,9,2,227,1018,3,0.0,0.0,6.5,4,84,2,Warren County,Pennsylvania
2020-04-05,12,12,6,8,8,6,9,10,4,311,1019,6,0.5,0.0,6.5,5,83,3,Warren County,Pennsylvania
2020-04-06,16,16,-1,8,8,6,9,11,3,207,1020,5,0.0,0.0,11.6,-2,58,4,Warren County,Pennsylvania
2020-04-07,13,13,2,7,7,5,7,10,4,192,1011,7,3.9,0.0,9.1,2,70,2,Warren County,Pennsylvania
2020-04-08,16,16,5,10,10,3,11,13,7,304,1002,10,0.3,0.0,9.1,7,83,3,Warren County,Pennsylvania
2020-04-09,8,8,-1,2,2,4,6,6,14,295,997,18,5.0,0.8,6.5,2,80,2,Warren County,Pennsylvania
2020-04-10,1,1,-2,-7,-7,1,-1,0,16,297,1005,20,8.4,4.0,6.5,-3,87,1,Warren County,Pennsylvania
2020-04-11,8,8,-5,-1,-1,6,3,4,6,279,1016,9,0.0,0.0,11.6,-3,76,2,Warren County,Pennsylvania
2020-04-12,16,16,-1,7,7,6,9,12,9,187,1013,14,0.0,0.0,7.8,4,73,3,Warren County,Pennsylvania
2020-04-13,15,15,1,7,7,4,10,12,15,247,1001,23,38.8,0.0,6.6,8,87,3,Warren County,Pennsylvania
2020-04-14,6,6,-2,-2,-2,5,2,4,8,260,1019,10,1.3,0.7,6.6,-5,67,1,Warren County,Pennsylvania
2020-04-15,5,5,-4,-4,-4,4,0,2,7,270,1017,9,2.4,1.2,6.6,-4,76,1,Warren County,Pennsylvania
2020-04-16,2,2,-7,-7,-7,5,-3,0,8,282,1023,12,3.2,2.6,6.8,-6,79,1,Warren County,Pennsylvania
2020-04-17,3,3,-5,-3,-3,4,-1,1,4,139,1020,6,7.8,6.5,6.8,-3,87,1,Warren County,Pennsylvania
2020-04-18,5,5,-1,-2,-2,4,2,3,8,298,1013,11,0.9,0.4,6.9,0,92,1,Warren County,Pennsylvania
2020-04-19,11,11,-1,1,1,6,5,8,11,234,1009,16,2.1,0.0,8.0,3,89,2,Warren County,Pennsylvania
2020-04-20,11,11,-4,2,2,5,5,7,4,198,1008,7,1.0,0.9,11.6,-3,68,3,Warren County,Pennsylvania
2020-04-21,6,6,-3,-3,-3,3,2,3,15,287,1004,21,7.7,1.9,6.9,-1,81,1,Warren County,Pennsylvania
2020-04-22,5,5,-5,-5,-5,5,-1,2,10,293,1016,14,0.6,0.3,10.4,-8,59,2,Warren County,Pennsylvania
2020-04-23,14,14,-2,5,5,4,6,9,4,156,1013,6,4.1,0.2,6.9,3,84,2,Warren County,Pennsylvania
2020-04-24,13,13,5,8,8,2,10,10,5,30,1009,8,2.9,0.0,6.9,6,92,3,Warren County,Pennsylvania
2020-04-25,15,15,0,7,7,3,8,11,5,121,1015,7,5.6,0.0,6.9,6,85,3,Warren County,Pennsylvania
2020-04-26,8,8,4,3,3,4,6,7,11,50,1010,14,33.5,0.0,7.0,6,96,2,Warren County,Pennsylvania
2020-04-27,11,11,4,5,5,4,8,8,9,229,1019,11,2.7,0.0,7.0,3,82,2,Warren County,Pennsylvania
2020-04-28,12,12,3,5,5,5,7,9,7,181,1018,10,0.0,0.0,8.1,4,80,2,Warren County,Pennsylvania
2020-04-29,16,16,5,8,8,5,10,12,14,154,1010,22,3.5,0.0,9.3,9,87,3,Warren County,Pennsylvania
