date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-7,-6,-6,6,-2,-2,6,276,1027,8,0.3,0.0,10.1,-4,83,1,Wasco County,Oregon
2020-03-02,2,2,-6,-3,-3,3,1,1,9,279,1025,13,3.7,1.7,5.6,1,91,1,Wasco County,Oregon
2020-03-03,5,5,-1,1,1,4,4,3,8,274,1022,12,1.8,0.3,8.6,3,91,1,Wasco County,Oregon
2020-03-04,3,3,-5,-1,-1,5,2,2,6,276,1022,8,0.3,0.2,10.1,-1,74,1,Wasco County,Oregon
2020-03-05,9,9,3,5,5,6,7,7,5,246,1017,7,0.0,0.0,11.2,0,63,3,Wasco County,Oregon
2020-03-06,4,4,-2,0,0,3,2,1,3,275,1014,6,4.5,3.1,5.8,0,89,1,Wasco County,Oregon
2020-03-07,0,0,-5,-5,-5,3,-2,-2,5,268,1011,8,2.0,1.6,7.3,-5,85,1,Wasco County,Oregon
2020-03-08,2,2,-3,-2,-2,6,-1,0,3,276,1017,4,0.0,0.0,7.3,-5,74,1,Wasco County,Oregon
2020-03-09,4,4,-3,0,0,6,1,2,3,293,1022,4,0.1,0.0,11.6,-4,68,2,Wasco County,Oregon
2020-03-10,6,6,-1,2,2,6,4,5,4,279,1023,6,0.0,0.0,11.6,-3,61,2,Wasco County,Oregon
2020-03-11,6,6,-8,-2,-2,5,1,2,8,272,1022,11,0.5,0.1,7.3,0,81,1,Wasco County,Oregon
2020-03-12,6,6,1,2,2,6,3,3,3,278,1023,4,0.0,0.0,11.6,-4,65,2,Wasco County,Oregon
2020-03-13,3,3,-5,-1,-1,4,1,1,3,94,1008,4,2.9,2.0,5.9,-6,65,1,Wasco County,Oregon
2020-03-14,-7,-7,-15,-13,-13,4,-8,-9,7,92,1014,12,19.0,15.5,8.8,-9,92,1,Wasco County,Oregon
2020-03-15,-6,-6,-12,-13,-13,4,-8,-7,9,92,1021,13,2.6,1.8,7.4,-9,88,1,Wasco County,Oregon
2020-03-16,0,0,-6,-6,-6,5,-3,-2,7,86,1022,11,0.2,0.0,10.2,-4,87,2,Wasco County,Oregon
2020-03-17,5,5,-2,1,1,5,2,3,2,83,1012,4,0.0,0.0,10.2,-1,79,1,Wasco County,Oregon
2020-03-18,3,3,-3,1,1,5,2,2,1,74,1012,2,0.1,0.0,10.2,0,86,1,Wasco County,Oregon
2020-03-19,6,6,-1,3,3,6,4,5,2,97,1016,3,0.5,0.0,8.8,2,82,1,Wasco County,Oregon
2020-03-20,10,10,0,6,6,6,7,8,2,318,1023,3,0.2,0.0,10.2,3,76,2,Wasco County,Oregon
2020-03-21,9,9,5,5,5,6,6,7,4,296,1022,5,0.0,0.0,11.6,0,65,3,Wasco County,Oregon
2020-03-22,10,10,2,6,6,6,7,8,3,275,1017,5,0.0,0.0,8.8,-1,60,2,Wasco County,Oregon
2020-03-23,-1,-1,-4,-6,-6,3,-1,-2,8,263,1012,14,10.0,8.3,8.9,-3,91,1,Wasco County,Oregon
2020-03-24,0,0,-5,-6,-6,3,-3,-1,5,267,1015,9,8.1,6.9,6.3,-4,89,1,Wasco County,Oregon
2020-03-25,0,0,-9,-6,-6,4,-3,-2,6,286,1017,9,3.5,2.7,7.7,-4,86,1,Wasco County,Oregon
2020-03-26,1,1,-8,-5,-5,5,-1,-1,7,278,1018,10,1.1,0.3,6.4,-3,82,1,Wasco County,Oregon
2020-03-27,1,1,-6,-5,-5,2,-2,-1,6,278,1017,10,5.1,3.5,6.4,-2,88,1,Wasco County,Oregon
2020-03-28,2,2,-2,-1,-1,1,2,1,4,240,1017,7,12.0,9.9,6.4,1,95,1,Wasco County,Oregon
