date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,10,11,11,6,13,13,14,192,1011,23,2.1,0.0,7.3,10,81,3,Washington County,Arkansas
2020-03-02,18,18,10,14,14,5,14,16,7,205,1008,10,2.5,0.0,5.8,12,88,4,Washington County,Arkansas
2020-03-03,16,16,6,10,10,4,10,12,4,285,1012,6,0.0,0.0,11.6,5,71,3,Washington County,Arkansas
2020-03-04,14,14,8,10,10,6,10,12,4,41,1017,7,0.0,0.0,8.7,2,58,3,Washington County,Arkansas
2020-03-05,16,16,5,9,9,6,10,11,8,303,1023,12,0.0,0.0,11.6,0,54,4,Washington County,Arkansas
2020-03-06,12,12,1,4,4,6,6,7,7,11,1033,11,0.0,0.0,11.6,-3,52,3,Washington County,Arkansas
2020-03-07,15,15,3,6,6,6,9,10,9,170,1030,14,0.0,0.0,11.6,0,56,3,Washington County,Arkansas
2020-03-08,17,17,7,9,9,6,11,12,15,183,1024,22,0.0,0.0,11.6,3,56,4,Washington County,Arkansas
2020-03-09,15,15,8,10,10,5,13,14,17,191,1018,24,10.3,0.0,5.9,10,85,3,Washington County,Arkansas
2020-03-10,18,18,2,8,8,4,9,10,5,120,1024,8,0.3,0.0,10.2,5,76,3,Washington County,Arkansas
2020-03-11,21,21,12,14,14,5,15,16,7,162,1015,13,7.7,0.0,7.4,12,84,4,Washington County,Arkansas
2020-03-12,24,24,14,18,18,6,20,20,12,234,1008,18,0.5,0.0,8.8,14,82,5,Washington County,Arkansas
2020-03-13,9,9,6,5,5,5,8,8,14,83,1023,19,7.5,0.0,8.8,3,71,2,Washington County,Arkansas
2020-03-14,10,10,6,6,6,4,8,9,8,110,1024,12,103.4,0.0,6.0,7,96,2,Washington County,Arkansas
2020-03-15,13,13,5,5,5,6,7,8,8,75,1030,11,0.0,0.0,6.0,5,85,2,Washington County,Arkansas
2020-03-16,12,12,5,7,7,5,8,9,3,170,1025,5,7.3,0.0,6.0,7,92,2,Washington County,Arkansas
2020-03-17,16,16,8,10,10,4,11,12,6,110,1023,8,1.3,0.0,7.4,9,87,3,Washington County,Arkansas
2020-03-18,20,20,11,15,15,5,16,17,11,193,1015,17,18.3,0.0,6.0,14,92,4,Washington County,Arkansas
2020-03-19,22,22,17,19,19,4,19,19,15,207,1012,24,51.6,0.0,6.0,17,89,4,Washington County,Arkansas
2020-03-20,11,11,5,8,8,6,11,10,12,237,1023,18,0.1,0.0,7.4,7,78,3,Washington County,Arkansas
2020-03-21,13,13,-1,4,4,6,6,7,6,155,1031,9,0.0,0.0,11.6,0,69,3,Washington County,Arkansas
2020-03-22,14,14,5,6,6,5,8,9,9,165,1022,12,9.2,0.0,6.1,6,86,2,Washington County,Arkansas
2020-03-23,18,18,8,11,11,4,12,13,6,113,1019,8,0.1,0.0,11.6,9,83,4,Washington County,Arkansas
2020-03-24,20,20,11,14,14,4,15,15,7,248,1011,12,23.0,0.0,8.8,12,89,4,Washington County,Arkansas
2020-03-25,20,20,8,14,14,4,14,15,8,183,1012,12,0.0,0.0,11.6,11,81,5,Washington County,Arkansas
2020-03-26,26,26,16,20,20,6,21,21,12,208,1007,20,0.0,0.0,11.6,17,81,6,Washington County,Arkansas
2020-03-27,23,23,18,21,21,6,22,22,13,203,1005,20,1.0,0.0,6.1,19,86,5,Washington County,Arkansas
2020-03-28,20,20,13,18,18,5,18,19,15,225,1006,24,9.9,0.0,8.9,12,71,4,Washington County,Arkansas
2020-03-29,18,18,5,10,10,6,11,13,9,265,1019,13,0.0,0.0,10.2,4,61,4,Washington County,Arkansas
2020-03-30,18,18,9,13,13,5,13,15,6,146,1020,9,5.7,0.0,10.2,5,63,5,Washington County,Arkansas
2020-03-31,16,16,8,10,10,4,11,12,9,131,1016,13,22.1,0.0,6.2,8,81,3,Washington County,Arkansas
2020-04-01,19,19,8,13,13,6,13,15,6,176,1016,9,0.0,0.0,8.9,7,68,3,Washington County,Arkansas
2020-04-02,20,20,11,14,14,6,15,16,13,169,1014,20,2.8,0.0,8.9,10,73,4,Washington County,Arkansas
2020-04-03,15,15,3,10,10,5,12,13,8,293,1016,12,10.1,0.0,6.4,11,94,3,Washington County,Arkansas
2020-04-04,12,12,2,5,5,4,7,8,6,41,1020,8,0.5,0.0,6.4,6,91,2,Washington County,Arkansas
2020-04-05,18,18,10,13,13,3,13,14,5,190,1018,7,0.2,0.0,6.4,11,89,3,Washington County,Arkansas
2020-04-06,21,21,11,16,16,4,16,17,9,196,1016,14,0.1,0.0,6.4,14,86,4,Washington County,Arkansas
2020-04-07,25,25,16,20,20,6,21,21,10,208,1010,16,0.4,0.0,10.3,17,86,5,Washington County,Arkansas
2020-04-08,28,28,16,21,22,4,22,23,7,226,1007,12,0.4,0.0,11.6,17,76,6,Washington County,Arkansas
2020-04-09,17,17,8,11,11,6,13,14,11,252,1016,16,0.5,0.0,11.6,6,66,4,Washington County,Arkansas
2020-04-10,16,16,1,7,7,6,9,9,6,151,1021,10,0.0,0.0,11.6,-2,50,3,Washington County,Arkansas
2020-04-11,18,18,7,10,10,5,12,13,14,181,1011,21,4.6,0.0,7.8,6,69,3,Washington County,Arkansas
2020-04-12,23,23,15,18,18,5,19,19,15,170,1000,24,29.6,0.0,6.5,14,87,4,Washington County,Arkansas
2020-04-13,8,8,-2,-1,-1,5,3,4,13,237,1021,16,2.6,0.0,7.8,-4,60,1,Washington County,Arkansas
2020-04-14,9,9,0,2,2,4,5,5,5,61,1025,7,2.0,1.5,7.8,-2,68,2,Washington County,Arkansas
2020-04-15,13,13,0,5,5,6,7,8,6,263,1022,9,0.0,0.0,11.6,-1,62,3,Washington County,Arkansas
2020-04-16,17,17,5,9,9,6,11,12,12,182,1019,20,0.0,0.0,10.3,2,56,3,Washington County,Arkansas
2020-04-17,13,13,3,7,7,4,10,10,12,193,1017,19,0.9,0.0,6.6,6,78,3,Washington County,Arkansas
2020-04-18,17,17,-1,7,7,5,8,10,6,183,1018,10,0.0,0.0,11.6,0,64,4,Washington County,Arkansas
2020-04-19,16,16,10,12,12,5,13,14,5,204,1008,9,11.6,0.0,6.6,12,93,3,Washington County,Arkansas
2020-04-20,21,21,8,14,14,4,14,16,5,232,1011,8,4.2,0.0,10.3,10,80,4,Washington County,Arkansas
2020-04-21,23,23,11,16,16,6,17,18,3,234,1015,6,1.1,0.0,10.4,10,68,4,Washington County,Arkansas
2020-04-22,18,18,14,16,16,5,16,17,16,166,1008,27,14.2,0.0,6.6,13,80,4,Washington County,Arkansas
2020-04-23,20,20,12,15,15,5,16,16,11,316,1003,16,4.6,0.0,9.1,13,85,4,Washington County,Arkansas
