date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,9,14,14,6,14,16,5,177,1025,8,0.0,0.0,10.1,6,62,4,Washington County,Florida
2020-03-02,23,23,11,16,16,6,17,19,10,196,1018,16,0.9,0.0,8.6,11,71,4,Washington County,Florida
2020-03-03,25,25,17,20,21,4,21,22,9,223,1014,15,0.7,0.0,7.2,17,84,5,Washington County,Florida
2020-03-04,25,25,17,22,23,5,23,24,10,221,1013,17,23.7,0.0,5.7,20,90,5,Washington County,Florida
2020-03-05,25,25,16,20,22,4,22,23,11,252,1013,18,15.6,0.0,5.7,17,85,5,Washington County,Florida
2020-03-06,16,16,10,11,11,5,13,14,12,343,1024,17,0.0,0.0,11.4,5,63,4,Washington County,Florida
2020-03-07,16,16,4,8,8,6,10,11,9,33,1030,13,0.0,0.0,11.4,0,53,4,Washington County,Florida
2020-03-08,20,20,7,12,12,6,13,14,7,118,1032,11,0.0,0.0,11.5,3,54,4,Washington County,Florida
2020-03-09,21,21,11,15,15,6,16,17,8,150,1031,13,0.3,0.0,8.8,10,71,4,Washington County,Florida
2020-03-10,23,23,15,18,18,6,18,19,5,200,1027,9,0.0,0.0,11.6,14,77,5,Washington County,Florida
2020-03-11,25,25,16,19,19,3,20,21,7,223,1021,10,0.6,0.0,8.8,16,81,5,Washington County,Florida
2020-03-12,26,26,16,21,22,3,22,23,6,229,1017,10,0.0,0.0,10.2,16,78,6,Washington County,Florida
2020-03-13,27,27,16,21,23,4,23,23,5,248,1020,9,0.0,0.0,11.6,16,77,6,Washington County,Florida
2020-03-14,29,29,17,22,23,6,23,24,3,137,1024,6,0.0,0.0,11.6,15,70,6,Washington County,Florida
2020-03-15,28,28,17,22,22,6,22,24,3,235,1024,5,0.0,0.0,11.6,14,63,6,Washington County,Florida
2020-03-16,28,28,17,22,23,6,23,24,5,160,1023,8,0.0,0.0,11.6,15,68,6,Washington County,Florida
2020-03-17,27,27,18,22,23,6,23,24,4,213,1022,6,0.0,0.0,11.6,16,68,6,Washington County,Florida
2020-03-18,28,28,17,22,23,6,23,24,7,182,1023,10,0.0,0.0,10.2,17,73,5,Washington County,Florida
2020-03-19,29,29,18,23,24,4,24,25,8,179,1024,12,0.0,0.0,11.6,17,76,7,Washington County,Florida
2020-03-20,27,27,18,22,23,3,23,24,7,202,1024,10,0.0,0.0,7.4,19,83,5,Washington County,Florida
2020-03-21,29,29,18,22,23,3,23,24,4,305,1024,7,9.4,0.0,8.8,18,83,5,Washington County,Florida
2020-03-22,25,25,16,20,20,5,21,22,5,146,1023,7,1.2,0.0,6.1,16,80,5,Washington County,Florida
2020-03-23,27,27,18,22,22,4,22,24,7,217,1022,10,0.0,0.0,11.6,18,80,6,Washington County,Florida
2020-03-24,28,28,18,22,23,3,23,24,9,212,1017,13,0.0,0.0,10.2,18,78,6,Washington County,Florida
2020-03-25,28,28,20,24,25,5,25,25,8,278,1013,12,1.7,0.0,8.8,19,78,6,Washington County,Florida
2020-03-26,30,30,18,24,25,6,25,26,5,145,1015,8,0.0,0.0,11.6,17,69,7,Washington County,Florida
2020-03-27,30,30,19,24,25,4,25,26,7,213,1015,11,0.0,0.0,10.2,19,79,7,Washington County,Florida
2020-03-28,29,29,19,24,26,3,26,26,9,203,1016,13,0.0,0.0,10.3,19,80,7,Washington County,Florida
