date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,6,6,0,-2,-2,6,2,3,9,353,1022,14,0.0,0.0,10.1,-6,56,1,Washington County,Idaho
2020-03-02,5,5,-1,0,0,6,2,2,3,173,1023,5,0.0,0.0,11.2,-6,57,2,Washington County,Idaho
2020-03-03,9,9,3,5,5,6,6,5,2,147,1021,4,0.1,0.0,11.2,0,70,3,Washington County,Idaho
2020-03-04,10,10,3,5,5,6,6,6,2,180,1021,4,0.0,0.0,11.2,-1,64,3,Washington County,Idaho
2020-03-05,12,12,3,5,5,6,7,7,3,96,1021,6,0.0,0.0,11.3,0,59,3,Washington County,Idaho
2020-03-06,14,14,5,9,9,6,9,10,4,178,1013,7,0.0,0.0,11.3,2,61,3,Washington County,Idaho
2020-03-07,12,12,5,8,8,6,10,10,9,213,1007,16,1.0,0.0,5.7,1,60,2,Washington County,Idaho
2020-03-08,7,7,1,2,2,6,4,4,3,143,1015,5,0.1,0.0,7.2,-2,65,1,Washington County,Idaho
2020-03-09,7,7,3,4,4,4,6,5,4,237,1020,7,0.6,0.0,11.4,-1,64,2,Washington County,Idaho
2020-03-10,8,8,2,4,4,6,5,5,3,131,1025,5,0.0,0.0,11.4,-3,58,2,Washington County,Idaho
2020-03-11,10,10,3,5,5,6,6,6,5,202,1018,9,0.0,0.0,11.4,-1,59,3,Washington County,Idaho
2020-03-12,9,9,1,3,3,6,5,5,5,259,1022,9,0.0,0.0,11.5,-4,53,2,Washington County,Idaho
2020-03-13,9,9,1,3,3,6,5,5,5,124,1010,8,0.0,0.0,10.1,-4,52,1,Washington County,Idaho
2020-03-14,7,7,4,4,4,4,6,6,7,151,1007,10,8.2,0.0,5.8,-1,64,2,Washington County,Idaho
2020-03-15,5,5,-3,1,1,2,4,3,6,120,1015,8,10.7,0.0,6.0,2,81,1,Washington County,Idaho
2020-03-16,12,12,5,6,6,6,8,8,6,180,1017,10,0.2,0.0,11.6,0,61,3,Washington County,Idaho
2020-03-17,12,12,6,7,7,5,9,8,5,287,1009,8,1.1,0.0,10.2,3,68,2,Washington County,Idaho
2020-03-18,11,11,4,6,6,6,7,8,3,225,1010,4,0.0,0.0,11.6,0,65,3,Washington County,Idaho
2020-03-19,12,12,2,6,6,6,6,7,2,186,1015,4,0.0,0.0,11.6,0,66,3,Washington County,Idaho
2020-03-20,12,12,4,7,7,6,8,8,3,190,1022,6,0.0,0.0,11.6,1,64,3,Washington County,Idaho
2020-03-21,12,12,5,7,7,6,8,8,4,162,1021,6,0.0,0.0,11.6,0,58,3,Washington County,Idaho
2020-03-22,11,11,4,6,6,6,7,7,4,109,1018,8,0.0,0.0,11.6,-3,49,3,Washington County,Idaho
2020-03-23,10,10,6,7,7,5,8,8,4,175,1010,7,2.1,0.0,6.3,-1,55,2,Washington County,Idaho
2020-03-24,7,7,3,3,3,6,5,4,4,280,1015,7,1.1,0.0,9.0,-2,64,1,Washington County,Idaho
2020-03-25,6,6,1,2,2,5,4,4,5,268,1014,8,2.4,0.0,7.6,-3,62,1,Washington County,Idaho
2020-03-26,7,7,0,1,1,6,3,3,4,179,1016,6,0.0,0.0,11.6,-5,56,2,Washington County,Idaho
2020-03-27,9,9,2,3,3,6,5,5,4,318,1015,5,0.0,0.0,11.6,-3,56,3,Washington County,Idaho
2020-03-28,10,10,2,5,5,6,6,6,4,144,1018,7,0.0,0.0,11.6,-1,62,3,Washington County,Idaho
2020-03-29,8,8,0,5,5,6,6,6,5,134,1015,7,1.9,0.0,6.4,2,71,2,Washington County,Idaho
2020-03-30,7,7,-1,3,3,5,6,6,9,165,1015,15,10.7,0.0,7.7,4,82,2,Washington County,Idaho
2020-03-31,10,10,4,4,4,5,7,7,9,253,1015,12,2.3,0.0,9.0,1,70,2,Washington County,Idaho
