date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,18,18,11,13,13,6,14,15,15,187,1007,24,0.3,0.0,5.8,9,73,3,Washington County,Oklahoma
2020-03-02,13,13,6,7,7,6,10,9,11,22,1009,16,0.1,0.0,11.6,4,71,3,Washington County,Oklahoma
2020-03-03,17,17,7,10,10,6,11,12,5,315,1012,8,0.0,0.0,11.6,2,55,3,Washington County,Oklahoma
2020-03-04,17,17,8,11,11,6,12,13,7,34,1017,11,0.0,0.0,5.9,0,47,3,Washington County,Oklahoma
2020-03-05,17,17,6,9,9,6,11,12,11,342,1024,17,0.0,0.0,11.6,-1,45,4,Washington County,Oklahoma
2020-03-06,14,14,4,6,6,6,8,8,7,68,1033,12,0.0,0.0,11.6,-4,44,3,Washington County,Oklahoma
2020-03-07,17,17,5,9,9,6,11,12,13,180,1027,21,0.0,0.0,7.3,1,52,3,Washington County,Oklahoma
2020-03-08,17,17,8,10,10,6,12,13,20,189,1020,29,1.7,0.0,11.6,6,65,4,Washington County,Oklahoma
2020-03-09,21,21,14,15,15,5,17,17,19,206,1015,28,16.0,0.0,5.9,11,80,4,Washington County,Oklahoma
2020-03-10,16,16,3,8,8,6,9,9,6,119,1024,9,0.0,0.0,11.6,4,70,3,Washington County,Oklahoma
2020-03-11,21,21,12,15,15,5,16,16,8,49,1014,13,10.6,0.0,8.8,11,73,4,Washington County,Oklahoma
2020-03-12,23,23,14,17,17,6,19,20,14,300,1008,21,0.0,0.0,10.2,11,67,5,Washington County,Oklahoma
2020-03-13,11,11,8,6,6,5,9,9,15,66,1023,22,0.3,0.0,8.8,0,52,2,Washington County,Oklahoma
2020-03-14,9,9,2,4,4,4,7,8,12,44,1024,17,12.7,0.0,6.0,6,88,2,Washington County,Oklahoma
2020-03-15,10,10,4,3,3,6,6,6,12,44,1031,15,0.1,0.0,6.0,3,79,2,Washington County,Oklahoma
2020-03-16,14,14,7,8,8,5,9,10,7,155,1023,9,3.0,0.0,6.0,7,85,2,Washington County,Oklahoma
2020-03-17,17,17,8,10,10,5,12,12,10,90,1022,13,4.5,0.0,6.0,8,80,3,Washington County,Oklahoma
2020-03-18,25,25,11,17,17,5,19,19,9,200,1013,14,33.9,0.0,8.8,15,84,4,Washington County,Oklahoma
2020-03-19,24,24,19,21,21,5,21,22,20,215,1008,34,12.2,0.0,7.4,13,66,5,Washington County,Oklahoma
2020-03-20,9,9,4,5,5,6,9,7,18,132,1026,25,0.0,0.0,11.6,2,61,3,Washington County,Oklahoma
2020-03-21,11,11,-1,3,3,6,5,6,7,89,1031,10,0.0,0.0,11.6,-3,57,3,Washington County,Oklahoma
2020-03-22,14,14,7,7,7,4,9,9,11,161,1020,14,26.2,0.0,6.1,8,89,2,Washington County,Oklahoma
2020-03-23,19,19,8,12,12,4,13,14,7,118,1018,10,0.0,0.0,8.8,10,83,3,Washington County,Oklahoma
2020-03-24,20,20,11,14,14,5,15,17,9,149,1011,14,17.9,0.0,7.5,12,81,4,Washington County,Oklahoma
2020-03-25,25,25,9,16,16,5,17,17,11,188,1010,17,0.0,0.0,11.6,12,77,5,Washington County,Oklahoma
2020-03-26,28,28,17,21,22,6,22,23,9,237,1004,17,0.0,0.0,11.6,14,68,6,Washington County,Oklahoma
2020-03-27,29,29,21,24,26,5,26,25,11,214,1002,16,0.8,0.0,10.2,18,76,7,Washington County,Oklahoma
2020-03-28,20,20,11,17,17,6,18,19,20,241,1004,30,1.7,0.0,11.6,9,61,5,Washington County,Oklahoma
2020-03-29,20,20,7,12,12,6,13,15,9,263,1018,15,0.0,0.0,11.6,4,54,4,Washington County,Oklahoma
2020-03-30,20,20,11,15,15,5,16,16,9,142,1019,13,5.6,0.0,7.5,7,64,4,Washington County,Oklahoma
2020-03-31,18,18,10,13,13,5,14,15,6,316,1017,9,14.6,0.0,7.5,9,73,3,Washington County,Oklahoma
2020-04-01,20,20,10,14,14,6,15,16,12,176,1013,19,0.0,0.0,11.6,9,69,5,Washington County,Oklahoma
2020-04-02,19,19,12,15,15,6,16,16,17,177,1010,25,1.6,0.0,6.2,12,78,4,Washington County,Oklahoma
2020-04-03,3,3,1,0,0,5,5,3,15,120,1020,21,9.1,0.0,6.2,2,85,1,Washington County,Oklahoma
2020-04-04,11,11,-1,2,2,6,5,6,10,50,1021,13,0.0,0.0,8.9,1,73,2,Washington County,Oklahoma
2020-04-05,20,20,8,13,13,6,14,14,6,174,1017,9,0.0,0.0,8.9,9,78,3,Washington County,Oklahoma
2020-04-06,21,21,12,15,15,6,16,17,14,198,1013,22,0.2,0.0,6.2,14,89,4,Washington County,Oklahoma
2020-04-07,28,28,17,21,21,6,21,22,12,206,1008,17,0.0,0.0,10.3,17,79,5,Washington County,Oklahoma
2020-04-08,29,29,16,22,23,6,23,23,6,194,1007,10,0.0,0.0,11.6,14,65,6,Washington County,Oklahoma
2020-04-09,18,18,10,13,13,6,14,15,11,139,1017,16,0.0,0.0,11.6,5,57,4,Washington County,Oklahoma
2020-04-10,15,15,2,7,7,6,9,9,8,120,1020,12,0.0,0.0,11.6,-1,51,3,Washington County,Oklahoma
2020-04-11,20,20,9,13,13,6,14,16,16,193,1007,24,2.4,0.0,9.1,10,76,4,Washington County,Oklahoma
2020-04-12,25,25,11,17,17,5,18,20,17,251,1000,27,36.9,0.0,6.5,11,78,5,Washington County,Oklahoma
2020-04-13,9,9,-1,0,0,6,4,5,12,6,1024,16,0.1,0.0,7.8,-6,48,1,Washington County,Oklahoma
2020-04-14,10,10,3,5,5,6,6,7,4,205,1026,7,0.1,0.0,9.1,-3,53,2,Washington County,Oklahoma
2020-04-15,16,16,2,7,7,6,10,10,11,233,1020,17,0.0,0.0,11.6,1,60,4,Washington County,Oklahoma
2020-04-16,19,19,5,10,10,6,12,13,15,182,1016,23,0.2,0.0,9.2,6,67,3,Washington County,Oklahoma
2020-04-17,12,12,6,6,6,5,9,8,12,122,1019,17,7.1,0.0,9.2,5,79,2,Washington County,Oklahoma
2020-04-18,17,17,1,7,7,6,9,10,8,177,1016,13,0.8,0.0,11.6,4,71,4,Washington County,Oklahoma
2020-04-19,18,18,11,14,14,5,14,15,8,62,1008,12,6.1,0.0,8.0,12,86,3,Washington County,Oklahoma
2020-04-20,22,22,10,16,16,5,18,18,7,256,1010,11,5.6,0.0,9.2,11,74,4,Washington County,Oklahoma
2020-04-21,23,23,11,17,17,6,18,18,6,111,1014,10,0.0,0.0,11.6,10,64,5,Washington County,Oklahoma
2020-04-22,20,20,13,15,15,4,16,17,13,150,1005,24,45.6,0.0,6.8,14,88,4,Washington County,Oklahoma
2020-04-23,25,25,13,18,18,5,19,20,10,317,1004,15,2.6,0.0,11.6,13,72,5,Washington County,Oklahoma
2020-04-24,21,21,11,15,15,5,16,18,11,170,1005,19,15.5,0.0,6.9,13,81,4,Washington County,Oklahoma
2020-04-25,20,20,11,14,14,6,16,16,15,336,1015,21,0.1,0.0,11.6,10,72,5,Washington County,Oklahoma
2020-04-26,23,23,10,16,16,6,16,18,6,243,1020,10,0.0,0.0,11.6,8,62,5,Washington County,Oklahoma
2020-04-27,19,19,11,15,15,5,16,17,14,182,1015,24,2.9,0.0,6.9,12,76,4,Washington County,Oklahoma
2020-04-28,24,24,16,20,20,5,20,22,12,203,1009,21,24.7,0.0,6.9,17,88,5,Washington County,Oklahoma
2020-04-29,19,19,10,13,13,6,15,15,17,336,1015,26,0.3,0.0,9.3,9,69,4,Washington County,Oklahoma
2020-04-30,23,23,10,16,16,6,18,18,7,292,1017,12,0.0,0.0,11.6,10,65,5,Washington County,Oklahoma
2020-05-01,26,26,14,19,19,6,20,21,16,189,1010,25,0.0,0.0,11.6,14,72,5,Washington County,Oklahoma
2020-05-02,26,26,17,22,23,5,23,22,12,183,1010,19,1.4,0.0,6.9,18,82,5,Washington County,Oklahoma
2020-05-03,21,21,18,20,20,5,21,20,10,48,1012,14,4.0,0.0,6.9,19,92,4,Washington County,Oklahoma
2020-05-04,24,24,17,20,20,5,21,22,13,172,1008,23,21.1,0.0,6.9,19,91,5,Washington County,Oklahoma
2020-05-05,21,21,11,15,15,6,16,17,11,331,1018,16,0.0,0.0,10.4,10,69,4,Washington County,Oklahoma
2020-05-06,19,19,10,14,14,6,14,16,7,130,1023,12,0.0,0.0,11.6,9,68,5,Washington County,Oklahoma
2020-05-07,22,22,9,14,14,6,15,17,9,156,1017,14,1.6,0.0,10.4,11,81,4,Washington County,Oklahoma
2020-05-08,15,15,9,11,11,5,13,14,17,12,1019,24,28.8,0.0,10.4,9,77,3,Washington County,Oklahoma
2020-05-09,18,18,5,11,11,6,12,13,5,175,1024,7,0.0,0.0,11.6,5,65,4,Washington County,Oklahoma
2020-05-10,16,16,8,10,10,6,12,12,9,7,1026,14,0.0,0.0,11.6,5,65,4,Washington County,Oklahoma
2020-05-11,8,8,6,5,5,5,7,7,8,65,1027,13,8.0,0.0,7.0,5,84,2,Washington County,Oklahoma
2020-05-12,13,13,6,8,8,4,10,10,10,109,1021,14,55.1,0.0,7.0,9,94,3,Washington County,Oklahoma
2020-05-13,23,23,9,15,15,6,16,16,13,167,1014,19,4.3,0.0,7.0,14,91,4,Washington County,Oklahoma
2020-05-14,24,24,15,20,20,5,22,22,20,189,1009,30,2.6,0.0,8.2,20,90,5,Washington County,Oklahoma
2020-05-15,26,26,20,22,23,4,23,22,13,168,1008,24,26.3,0.0,8.2,20,91,5,Washington County,Oklahoma
2020-05-16,25,25,20,22,23,5,23,23,7,242,1009,11,10.8,0.0,9.3,19,86,5,Washington County,Oklahoma
2020-05-17,26,26,18,22,23,5,23,23,8,79,1014,13,2.6,0.0,11.6,18,85,5,Washington County,Oklahoma
2020-05-18,21,21,12,15,15,6,16,17,10,228,1014,15,0.0,0.0,11.6,13,81,5,Washington County,Oklahoma
2020-05-19,20,20,10,15,15,6,15,16,8,30,1013,12,0.0,0.0,9.3,13,84,4,Washington County,Oklahoma
2020-05-20,22,22,12,17,17,6,18,18,7,91,1013,12,0.2,0.0,8.2,14,85,4,Washington County,Oklahoma
2020-05-21,21,21,14,18,18,4,18,18,9,146,1011,17,14.0,0.0,7.1,16,92,4,Washington County,Oklahoma
2020-05-22,25,25,17,20,20,5,22,22,10,155,1009,14,6.4,0.0,7.1,20,91,5,Washington County,Oklahoma
2020-05-23,28,28,17,23,24,5,24,24,10,174,1010,15,0.7,0.0,10.5,20,84,6,Washington County,Oklahoma
2020-05-24,25,25,21,22,25,5,25,24,13,185,1009,22,6.0,0.0,9.4,20,85,5,Washington County,Oklahoma
2020-05-25,21,21,17,19,19,4,19,19,10,154,1009,15,28.6,0.0,7.1,18,94,4,Washington County,Oklahoma
2020-05-26,21,21,16,18,18,5,18,19,9,273,1010,12,33.4,0.0,8.2,16,88,4,Washington County,Oklahoma
2020-05-27,23,23,14,19,19,4,20,20,5,121,1011,9,16.2,0.0,7.1,16,86,4,Washington County,Oklahoma
2020-05-28,21,21,12,17,17,6,18,19,10,343,1013,16,3.3,0.0,7.1,17,92,4,Washington County,Oklahoma
2020-05-29,24,24,15,19,19,6,20,20,8,24,1021,12,0.0,0.0,11.6,15,77,6,Washington County,Oklahoma
2020-05-30,25,25,15,20,20,6,21,21,6,138,1021,9,0.0,0.0,11.6,16,77,6,Washington County,Oklahoma
2020-05-31,26,26,15,21,22,6,22,22,9,151,1021,14,0.0,0.0,11.6,16,77,6,Washington County,Oklahoma
2020-06-01,27,27,17,22,23,6,23,23,9,189,1020,14,0.0,0.0,11.6,18,82,6,Washington County,Oklahoma
2020-06-02,28,28,18,23,24,6,24,24,9,197,1016,15,0.2,0.0,11.6,20,84,6,Washington County,Oklahoma
2020-06-03,31,31,20,25,28,6,28,26,10,209,1011,16,0.7,0.0,11.6,22,84,7,Washington County,Oklahoma
2020-06-04,33,33,21,26,30,5,30,28,10,220,1008,16,6.6,0.0,10.5,23,82,6,Washington County,Oklahoma
2020-06-05,32,32,21,27,30,6,30,28,6,225,1011,9,0.0,0.0,11.6,21,74,7,Washington County,Oklahoma
2020-06-06,33,33,24,28,33,4,33,29,6,145,1012,9,0.2,0.0,11.6,24,81,7,Washington County,Oklahoma
2020-06-07,31,31,22,27,30,6,30,27,8,163,1010,13,0.2,0.0,11.6,22,78,7,Washington County,Oklahoma
2020-06-08,31,31,21,26,29,6,29,28,8,105,1006,13,0.0,0.0,11.6,21,77,7,Washington County,Oklahoma
2020-06-09,31,31,20,24,27,6,27,27,14,200,1000,21,0.1,0.0,10.5,18,75,6,Washington County,Oklahoma
2020-06-10,24,24,15,19,19,6,21,20,18,321,1012,24,0.0,0.0,10.5,13,65,5,Washington County,Oklahoma
2020-06-11,28,28,15,21,22,6,22,23,6,203,1023,9,0.0,0.0,11.6,14,64,6,Washington County,Oklahoma
2020-06-12,30,30,18,23,24,6,24,25,9,211,1023,15,0.4,0.0,11.6,17,67,6,Washington County,Oklahoma
2020-06-13,30,30,18,24,26,6,26,26,7,196,1019,12,0.5,0.0,11.6,18,70,7,Washington County,Oklahoma
2020-06-14,30,30,19,25,27,6,27,26,8,201,1018,14,0.0,0.0,11.6,18,70,7,Washington County,Oklahoma
2020-06-15,30,30,20,25,27,6,27,26,7,188,1020,12,0.0,0.0,11.6,19,73,7,Washington County,Oklahoma
2020-06-16,29,29,20,24,26,5,26,26,9,167,1019,15,7.8,0.0,9.4,20,77,6,Washington County,Oklahoma
2020-06-17,30,30,19,24,26,6,26,26,12,178,1015,19,3.5,0.0,9.4,20,80,6,Washington County,Oklahoma
2020-06-18,30,30,20,25,27,6,27,26,13,179,1013,20,0.0,0.0,11.6,20,76,7,Washington County,Oklahoma
2020-06-19,27,27,20,23,24,4,24,24,9,210,1014,16,35.6,0.0,8.3,19,84,5,Washington County,Oklahoma
