date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,9,9,-7,1,1,6,3,5,3,227,1025,6,0.0,0.0,8.7,-7,57,1,Watauga County,North Carolina
2020-03-02,9,9,1,3,3,4,4,6,5,184,1017,7,0.8,0.0,8.7,1,83,2,Watauga County,North Carolina
2020-03-03,12,12,4,7,7,4,8,10,6,219,1010,9,8.3,0.0,5.9,7,93,2,Watauga County,North Carolina
2020-03-04,12,12,2,5,5,6,7,9,6,253,1016,10,0.2,0.0,11.6,-1,63,3,Watauga County,North Carolina
2020-03-05,8,8,3,4,4,4,5,6,4,145,1018,5,1.1,0.3,7.3,2,81,2,Watauga County,North Carolina
2020-03-06,2,2,-3,-5,-5,2,0,1,14,303,1018,19,8.7,4.7,5.9,-1,88,1,Watauga County,North Carolina
2020-03-07,4,4,-5,-5,-5,5,-1,0,10,319,1031,15,2.6,1.3,11.6,-6,73,1,Watauga County,North Carolina
2020-03-08,13,13,-1,5,5,6,6,8,3,171,1034,5,0.0,0.0,10.2,-5,52,2,Watauga County,North Carolina
2020-03-09,13,13,1,7,7,5,8,10,4,172,1032,7,0.0,0.0,11.6,-1,59,3,Watauga County,North Carolina
2020-03-10,14,14,7,9,9,3,10,11,5,212,1024,7,4.8,0.0,5.9,8,92,3,Watauga County,North Carolina
2020-03-11,17,17,8,12,12,5,13,14,4,250,1018,6,2.9,0.0,7.4,8,83,3,Watauga County,North Carolina
2020-03-12,16,16,6,11,11,6,11,13,5,172,1014,8,1.0,0.0,10.2,7,77,3,Watauga County,North Carolina
2020-03-13,14,14,8,11,11,6,12,13,9,297,1018,13,3.5,0.0,7.4,9,81,3,Watauga County,North Carolina
2020-03-14,8,8,-3,4,4,4,5,7,4,149,1028,6,2.7,0.0,7.4,2,74,2,Watauga County,North Carolina
2020-03-15,11,11,4,8,8,3,8,10,2,89,1026,4,3.1,0.0,6.0,8,94,2,Watauga County,North Carolina
2020-03-16,9,9,2,3,3,4,5,6,4,150,1028,6,1.6,0.0,6.0,3,90,2,Watauga County,North Carolina
2020-03-17,12,12,5,9,9,3,9,10,3,289,1024,5,11.7,0.0,6.0,8,97,3,Watauga County,North Carolina
2020-03-18,11,11,5,8,8,2,9,10,5,146,1026,6,0.5,0.0,6.0,9,95,2,Watauga County,North Carolina
2020-03-19,21,21,11,15,15,4,15,18,5,185,1023,8,2.5,0.0,6.0,13,88,4,Watauga County,North Carolina
2020-03-20,21,21,12,15,15,3,16,17,8,258,1021,12,15.5,0.0,7.4,12,85,4,Watauga County,North Carolina
2020-03-21,16,16,8,12,12,5,13,14,5,286,1024,7,12.0,0.0,6.1,9,85,3,Watauga County,North Carolina
2020-03-22,8,8,4,4,4,5,6,7,5,137,1028,7,1.1,0.0,6.1,4,87,2,Watauga County,North Carolina
2020-03-23,10,10,3,5,5,3,7,8,4,201,1022,5,29.3,0.0,6.1,7,98,2,Watauga County,North Carolina
2020-03-24,10,10,6,7,7,3,8,9,5,155,1017,7,11.6,0.0,6.1,7,95,2,Watauga County,North Carolina
2020-03-25,12,12,5,8,8,5,9,10,6,320,1011,8,12.3,0.0,6.1,7,89,3,Watauga County,North Carolina
2020-03-26,15,15,4,9,9,3,10,12,5,176,1016,7,0.0,0.0,11.6,7,87,4,Watauga County,North Carolina
2020-03-27,21,21,9,15,15,5,16,18,4,245,1013,8,1.5,0.0,7.5,12,83,4,Watauga County,North Carolina
2020-03-28,24,24,15,19,19,5,21,21,3,169,1013,4,0.0,0.0,11.6,15,83,6,Watauga County,North Carolina
2020-03-29,21,21,12,16,16,5,17,19,8,256,1014,12,0.6,0.0,7.5,10,72,4,Watauga County,North Carolina
2020-03-30,15,15,8,9,9,6,12,13,12,294,1018,18,0.0,0.0,11.6,4,62,4,Watauga County,North Carolina
2020-03-31,7,7,-2,3,3,4,4,5,4,118,1011,5,28.1,12.4,6.2,3,88,2,Watauga County,North Carolina
2020-04-01,6,6,1,-1,-1,4,3,4,10,319,1013,14,2.7,2.9,6.2,1,85,1,Watauga County,North Carolina
2020-04-02,10,10,1,1,1,6,4,6,9,313,1018,13,0.2,0.0,7.5,1,79,2,Watauga County,North Carolina
2020-04-03,15,15,1,6,6,5,8,10,7,314,1017,12,0.0,0.0,11.6,1,69,4,Watauga County,North Carolina
2020-04-04,17,17,6,11,11,6,12,14,5,329,1016,8,0.0,0.0,11.6,4,67,4,Watauga County,North Carolina
2020-04-05,17,17,6,11,11,5,12,14,3,258,1018,5,8.6,0.0,8.9,7,77,3,Watauga County,North Carolina
2020-04-06,18,18,8,13,13,5,14,16,5,282,1018,9,3.2,0.0,8.9,9,78,4,Watauga County,North Carolina
2020-04-07,21,21,10,15,15,6,16,18,6,275,1014,10,0.3,0.0,11.6,10,76,4,Watauga County,North Carolina
2020-04-08,20,20,12,15,15,5,16,17,9,286,1007,13,0.3,0.0,8.9,12,83,4,Watauga County,North Carolina
2020-04-09,14,14,5,9,9,6,11,12,16,300,1004,22,6.5,0.0,8.9,5,72,3,Watauga County,North Carolina
2020-04-10,6,6,-2,-3,-3,4,2,3,15,310,1013,20,0.9,0.2,10.3,-4,67,1,Watauga County,North Carolina
2020-04-11,15,15,-1,6,6,6,7,10,4,221,1019,7,0.0,0.0,11.6,-2,59,4,Watauga County,North Carolina
