date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-1,-3,-3,5,1,1,10,293,1008,19,0.0,0.0,8.7,0,89,1,Watonwan County,Minnesota
2020-03-02,1,1,-6,-7,-7,6,-2,-3,9,243,1011,15,0.0,0.0,8.7,-5,83,1,Watonwan County,Minnesota
2020-03-03,3,3,0,-4,-4,5,1,1,12,283,1005,20,0.1,0.0,10.1,-2,83,2,Watonwan County,Minnesota
2020-03-04,5,5,-4,-2,-2,5,1,1,8,226,1014,14,0.2,0.1,11.6,-2,85,2,Watonwan County,Minnesota
2020-03-05,2,2,-5,-4,-4,5,1,1,20,301,1016,29,4.6,0.0,5.8,-2,79,1,Watonwan County,Minnesota
2020-03-06,5,5,-4,-5,-5,6,-1,-1,9,133,1032,14,0.0,0.0,11.6,-5,72,2,Watonwan County,Minnesota
2020-03-07,12,12,2,3,3,6,7,7,17,196,1019,29,0.0,0.0,10.2,0,60,2,Watonwan County,Minnesota
2020-03-08,17,17,8,9,9,6,12,12,16,199,1009,27,0.0,0.0,11.6,5,63,4,Watonwan County,Minnesota
2020-03-09,2,2,-2,-5,-5,6,1,0,14,338,1018,17,0.0,0.0,5.9,-3,77,1,Watonwan County,Minnesota
2020-03-10,5,5,-4,-2,-2,5,0,1,5,141,1024,7,4.6,0.0,8.8,-4,73,1,Watonwan County,Minnesota
2020-03-11,11,11,0,2,2,3,5,5,7,182,1014,12,0.0,1.3,10.2,1,81,1,Watonwan County,Minnesota
2020-03-12,7,7,1,1,1,6,5,7,14,321,1007,21,0.4,0.0,8.8,1,75,2,Watonwan County,Minnesota
2020-03-13,3,3,-1,-4,-4,6,1,1,12,317,1026,16,0.0,0.0,8.8,-8,52,1,Watonwan County,Minnesota
2020-03-14,2,2,-4,-6,-6,6,-1,-1,8,57,1036,10,0.0,0.0,8.8,-8,60,1,Watonwan County,Minnesota
2020-03-15,5,5,-3,-3,-3,6,0,1,8,151,1036,11,0.0,0.0,8.8,-5,67,1,Watonwan County,Minnesota
2020-03-16,4,4,-1,-3,-3,5,1,2,9,268,1025,12,0.4,0.3,6.0,-1,82,1,Watonwan County,Minnesota
2020-03-17,8,8,-2,0,0,6,3,3,6,254,1025,9,0.0,0.0,10.2,-5,58,1,Watonwan County,Minnesota
2020-03-18,8,8,4,3,3,5,5,6,7,143,1017,10,0.1,0.0,6.0,3,86,2,Watonwan County,Minnesota
2020-03-19,6,6,0,1,1,2,4,5,12,30,1013,17,16.4,0.0,6.0,4,96,2,Watonwan County,Minnesota
2020-03-20,-2,-2,-8,-11,-11,4,-4,-5,16,337,1033,19,0.5,0.0,11.6,-12,55,2,Watonwan County,Minnesota
2020-03-21,3,3,-3,-5,-5,6,-1,0,10,164,1033,13,0.0,0.0,8.8,-7,64,1,Watonwan County,Minnesota
2020-03-22,7,7,-1,-3,-3,6,2,3,14,170,1022,20,0.0,0.0,7.5,-1,78,1,Watonwan County,Minnesota
2020-03-23,9,9,2,3,3,5,5,5,6,225,1020,9,0.9,0.0,6.1,2,84,1,Watonwan County,Minnesota
2020-03-24,10,10,4,4,4,6,7,7,13,174,1014,18,0.0,0.0,6.1,4,83,2,Watonwan County,Minnesota
2020-03-25,9,9,-2,3,3,4,6,6,10,347,1010,14,3.7,0.0,6.1,4,89,2,Watonwan County,Minnesota
2020-03-26,8,8,0,2,2,5,4,4,5,20,1012,7,0.5,0.0,6.2,1,83,1,Watonwan County,Minnesota
2020-03-27,13,13,3,6,6,5,8,9,8,93,1010,11,0.5,0.0,8.9,4,78,2,Watonwan County,Minnesota
2020-03-28,8,8,4,3,3,5,7,7,18,62,1001,25,7.7,0.0,6.2,5,89,2,Watonwan County,Minnesota
2020-03-29,7,7,3,0,0,6,5,5,19,318,1008,28,2.0,0.0,7.5,2,81,1,Watonwan County,Minnesota
2020-03-30,13,13,1,5,5,6,7,7,5,104,1023,9,0.0,0.0,11.6,0,67,3,Watonwan County,Minnesota
2020-03-31,13,13,2,5,5,6,8,8,8,113,1019,13,0.0,0.0,11.6,1,66,2,Watonwan County,Minnesota
2020-04-01,15,15,4,6,6,6,9,9,14,151,1013,19,0.7,0.0,10.3,4,71,2,Watonwan County,Minnesota
2020-04-02,13,13,9,8,8,5,11,11,13,158,1012,18,3.8,0.0,6.5,7,84,3,Watonwan County,Minnesota
2020-04-03,0,0,-5,-9,-9,4,-2,-2,15,318,1023,18,2.0,0.3,7.7,-6,75,1,Watonwan County,Minnesota
2020-04-04,7,7,-5,-2,-2,6,1,2,6,68,1025,9,0.0,0.0,11.6,-10,44,2,Watonwan County,Minnesota
2020-04-05,13,13,1,3,3,6,7,7,11,175,1019,17,0.0,0.0,11.6,-1,59,3,Watonwan County,Minnesota
2020-04-06,15,15,7,8,8,6,10,11,11,169,1011,15,0.0,0.0,6.5,8,84,3,Watonwan County,Minnesota
2020-04-07,20,20,12,15,15,5,15,17,10,334,1005,15,0.1,0.0,10.3,9,70,4,Watonwan County,Minnesota
2020-04-08,12,12,6,8,8,6,10,10,13,326,1010,17,2.3,0.0,7.8,2,57,3,Watonwan County,Minnesota
2020-04-09,4,4,1,-2,-2,5,3,3,17,325,1016,22,0.3,0.0,9.1,-6,50,1,Watonwan County,Minnesota
2020-04-10,9,9,-1,1,1,6,4,5,8,236,1018,11,0.0,0.0,9.1,-6,51,1,Watonwan County,Minnesota
2020-04-11,13,13,3,6,6,6,8,9,7,64,1008,11,0.0,0.0,7.8,0,60,2,Watonwan County,Minnesota
2020-04-12,0,0,-3,-7,-7,1,0,-1,19,125,1012,26,15.4,0.0,6.6,-2,88,1,Watonwan County,Minnesota
2020-04-13,0,0,-8,-9,-9,5,-3,-3,12,262,1018,20,0.3,0.1,11.6,-8,75,1,Watonwan County,Minnesota
2020-04-14,-1,-1,-9,-10,-10,5,-5,-4,8,267,1022,14,0.7,0.3,8.0,-9,76,1,Watonwan County,Minnesota
2020-04-15,-1,-1,-11,-9,-9,6,-6,-5,4,280,1022,8,0.0,0.0,11.6,-10,72,2,Watonwan County,Minnesota
2020-04-16,2,2,-7,-6,-6,6,-2,-1,7,217,1025,12,0.0,0.0,9.2,-6,76,1,Watonwan County,Minnesota
2020-04-17,7,7,-2,-1,-1,6,2,3,8,278,1019,13,0.0,0.0,11.6,-3,70,2,Watonwan County,Minnesota
2020-04-18,17,17,1,5,5,6,9,10,14,253,1007,21,0.0,0.0,11.6,2,67,4,Watonwan County,Minnesota
2020-04-19,10,10,3,5,5,6,7,6,7,216,1012,10,0.0,0.0,9.3,-2,55,2,Watonwan County,Minnesota
2020-04-20,17,17,4,8,8,6,11,12,16,277,1006,22,0.0,0.0,9.3,2,62,3,Watonwan County,Minnesota
2020-04-21,11,11,1,4,4,6,6,6,6,295,1015,9,0.0,0.0,11.6,-1,60,3,Watonwan County,Minnesota
2020-04-22,24,24,6,14,14,6,16,18,9,295,1005,14,0.0,0.0,11.6,6,61,4,Watonwan County,Minnesota
2020-04-23,17,17,8,11,11,5,13,13,8,95,1005,11,1.5,0.0,8.1,9,78,3,Watonwan County,Minnesota
2020-04-24,15,15,10,11,11,5,12,12,7,59,1011,9,0.7,0.0,7.0,8,74,3,Watonwan County,Minnesota
2020-04-25,18,18,9,13,13,5,13,15,3,122,1015,5,2.5,0.0,8.1,6,62,3,Watonwan County,Minnesota
2020-04-26,20,20,9,14,14,6,14,15,6,206,1017,8,2.8,0.0,11.6,6,60,5,Watonwan County,Minnesota
2020-04-27,21,21,12,15,15,6,16,17,9,321,1012,14,0.5,0.0,11.6,6,53,5,Watonwan County,Minnesota
2020-04-28,17,17,9,12,12,6,13,14,14,303,1006,19,3.3,0.0,7.0,7,69,3,Watonwan County,Minnesota
2020-04-29,16,16,6,9,9,6,11,12,16,237,1013,20,0.0,0.0,9.3,6,72,3,Watonwan County,Minnesota
2020-04-30,19,19,7,12,12,6,13,14,7,228,1015,11,0.0,0.0,11.6,2,51,4,Watonwan County,Minnesota
2020-05-01,22,22,12,15,15,6,17,18,13,180,1007,21,0.0,0.0,10.5,9,58,4,Watonwan County,Minnesota
2020-05-02,21,21,14,17,17,6,17,18,10,302,1013,15,0.0,0.0,11.6,7,54,5,Watonwan County,Minnesota
2020-05-03,20,20,12,15,15,6,16,16,8,233,1016,12,0.0,0.0,11.6,5,53,5,Watonwan County,Minnesota
2020-05-04,15,15,7,8,8,5,11,12,12,120,1017,15,1.9,0.0,8.2,4,65,3,Watonwan County,Minnesota
2020-05-05,9,9,2,5,5,4,8,7,11,133,1016,14,13.1,0.0,7.1,5,81,2,Watonwan County,Minnesota
2020-05-06,16,16,6,9,9,6,11,12,10,317,1022,14,1.5,0.0,8.2,5,71,3,Watonwan County,Minnesota
2020-05-07,15,15,8,10,10,6,11,12,7,131,1018,11,0.3,0.0,9.4,3,60,3,Watonwan County,Minnesota
2020-05-08,9,9,2,2,2,6,6,6,12,342,1024,17,0.0,0.0,14.3,-5,45,3,Watonwan County,Minnesota
2020-05-09,16,16,3,6,6,6,8,10,11,237,1018,15,1.5,0.0,13.4,1,62,3,Watonwan County,Minnesota
2020-05-10,8,8,2,1,1,5,5,6,17,331,1024,22,2.2,0.3,9.2,0,70,2,Watonwan County,Minnesota
2020-05-11,11,11,2,3,3,6,6,7,11,315,1026,15,0.0,0.0,14.5,-2,58,3,Watonwan County,Minnesota
2020-05-12,13,13,2,6,6,6,7,8,5,63,1024,8,0.0,0.0,14.5,-4,47,3,Watonwan County,Minnesota
2020-05-13,14,14,8,9,9,6,11,12,12,162,1015,17,0.1,0.0,9.3,5,69,3,Watonwan County,Minnesota
2020-05-14,20,20,11,15,15,4,15,16,5,148,1007,7,0.4,0.0,10.3,12,81,4,Watonwan County,Minnesota
2020-05-15,19,19,9,13,13,6,14,14,7,59,1015,11,0.0,0.0,14.5,6,63,3,Watonwan County,Minnesota
2020-05-16,16,16,7,12,12,4,13,14,7,71,1012,9,3.6,0.0,9.3,11,84,3,Watonwan County,Minnesota
2020-05-17,22,22,10,16,16,4,17,17,7,166,1017,10,1.3,0.0,14.5,10,75,4,Watonwan County,Minnesota
2020-05-18,16,16,9,9,9,6,12,12,14,47,1017,19,0.0,0.0,9.3,9,82,3,Watonwan County,Minnesota
2020-05-19,17,17,10,12,12,6,14,14,9,75,1018,12,0.2,0.0,9.3,11,84,3,Watonwan County,Minnesota
2020-05-20,18,18,13,15,15,5,16,16,10,129,1018,13,0.1,0.0,9.4,13,85,4,Watonwan County,Minnesota
2020-05-21,20,20,13,16,16,6,16,17,11,150,1016,15,0.1,0.0,9.4,13,80,4,Watonwan County,Minnesota
2020-05-22,22,22,12,16,16,6,17,18,8,146,1014,12,0.1,0.0,10.4,13,79,4,Watonwan County,Minnesota
2020-05-23,19,19,15,16,16,5,16,17,6,163,1010,9,2.3,0.0,9.4,15,89,4,Watonwan County,Minnesota
2020-05-24,27,27,14,20,20,5,21,21,7,166,1009,11,1.7,0.0,9.4,16,82,5,Watonwan County,Minnesota
2020-05-25,24,24,16,19,19,5,19,20,8,338,1011,12,3.8,0.0,10.4,16,81,5,Watonwan County,Minnesota
2020-05-26,22,22,16,18,18,5,19,20,7,349,1010,10,9.4,0.0,9.4,17,89,4,Watonwan County,Minnesota
2020-05-27,25,25,16,20,20,5,21,21,6,133,1012,9,1.2,0.0,13.5,15,76,6,Watonwan County,Minnesota
2020-05-28,23,23,16,19,19,6,19,20,11,333,1015,16,0.0,0.0,14.5,12,68,6,Watonwan County,Minnesota
2020-05-29,17,17,11,12,12,6,14,13,11,335,1021,15,0.0,0.0,11.5,9,72,3,Watonwan County,Minnesota
2020-05-30,19,19,10,14,14,6,15,16,6,121,1025,9,0.0,0.0,13.5,8,68,4,Watonwan County,Minnesota
2020-05-31,18,18,10,14,14,6,15,16,11,170,1023,16,0.0,0.0,13.5,10,71,5,Watonwan County,Minnesota
2020-06-01,29,29,17,23,24,6,24,24,15,212,1011,22,2.3,0.0,12.5,18,77,5,Watonwan County,Minnesota
2020-06-02,32,32,22,27,30,5,30,28,9,243,1009,13,4.7,0.0,14.5,20,76,6,Watonwan County,Minnesota
2020-06-03,27,27,18,22,23,5,23,23,6,323,1011,9,2.8,0.0,14.5,15,67,6,Watonwan County,Minnesota
2020-06-04,27,27,18,23,24,5,24,24,5,199,1007,7,4.7,0.0,12.5,16,70,5,Watonwan County,Minnesota
2020-06-05,26,26,18,21,22,5,22,22,8,7,1012,11,7.2,0.0,13.5,16,74,6,Watonwan County,Minnesota
2020-06-06,23,23,16,19,19,6,20,21,10,104,1017,15,3.6,0.0,13.5,13,68,6,Watonwan County,Minnesota
2020-06-07,30,30,19,24,26,6,26,24,18,167,1010,26,0.0,0.0,11.5,20,81,5,Watonwan County,Minnesota
