date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,0,0,-2,-3,-3,4,0,-1,6,175,1014,8,6.1,5.2,5.6,-2,85,1,Weber County,Utah
2020-03-02,3,3,-4,-4,-4,6,-2,-1,4,243,1023,6,0.0,0.0,11.2,-8,63,2,Weber County,Utah
2020-03-03,2,2,-6,-4,-4,6,-1,-1,4,217,1024,7,0.0,0.0,8.7,-6,66,1,Weber County,Utah
2020-03-04,6,6,0,0,0,6,3,3,5,181,1024,10,0.0,0.0,11.6,-3,70,2,Weber County,Utah
2020-03-05,12,12,3,4,4,6,6,8,6,144,1026,11,0.0,0.0,11.6,-1,59,3,Weber County,Utah
2020-03-06,15,15,5,7,7,6,9,10,9,148,1021,16,0.0,0.0,8.7,-2,48,2,Weber County,Utah
2020-03-07,11,11,6,5,5,6,8,9,14,182,1010,28,0.2,0.0,10.2,-2,49,2,Weber County,Utah
2020-03-08,5,5,2,3,3,5,5,4,4,222,1013,7,7.9,0.0,7.3,0,76,1,Weber County,Utah
2020-03-09,7,7,3,2,2,6,5,5,6,206,1018,11,0.5,0.0,8.8,-1,66,2,Weber County,Utah
2020-03-10,9,9,3,4,4,5,5,6,4,240,1023,6,0.9,0.0,11.6,1,75,3,Weber County,Utah
2020-03-11,12,12,3,5,5,6,7,8,6,198,1018,9,0.1,0.0,10.2,0,60,2,Weber County,Utah
2020-03-12,9,9,3,5,5,6,6,7,4,220,1016,6,0.0,0.0,11.6,-2,59,3,Weber County,Utah
2020-03-13,6,6,0,0,0,6,3,4,5,122,1011,9,0.0,0.0,11.6,-5,59,2,Weber County,Utah
2020-03-14,6,6,-1,0,0,4,4,4,13,168,1012,23,1.7,0.0,6.0,0,71,1,Weber County,Utah
2020-03-15,9,9,4,4,4,6,7,7,11,188,1014,18,3.7,0.0,6.0,0,62,2,Weber County,Utah
2020-03-16,14,14,5,7,7,6,9,10,6,165,1015,10,0.6,0.0,10.2,-1,55,2,Weber County,Utah
2020-03-17,12,12,4,6,6,6,8,9,6,190,1008,9,0.1,0.0,11.6,-2,52,3,Weber County,Utah
2020-03-18,4,4,2,2,2,4,4,3,5,118,1008,7,14.6,8.6,6.0,0,77,1,Weber County,Utah
2020-03-19,4,4,-4,1,1,5,2,2,3,159,1012,5,2.8,0.0,6.0,-1,80,1,Weber County,Utah
2020-03-20,2,2,-5,-2,-2,5,1,1,5,212,1022,7,1.9,0.1,7.4,-3,74,1,Weber County,Utah
2020-03-21,6,6,2,2,2,6,4,5,5,202,1021,8,0.0,0.0,11.6,-4,57,2,Weber County,Utah
2020-03-22,10,10,3,5,5,6,7,7,5,222,1019,7,0.5,0.0,11.6,-3,56,3,Weber County,Utah
2020-03-23,9,9,3,3,3,6,5,7,7,198,1013,13,1.6,0.0,8.8,-3,53,2,Weber County,Utah
