date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,8,8,3,3,3,5,5,5,8,50,1011,12,0.4,0.3,7.1,-4,58,2,Weld County,Colorado
2020-03-02,7,7,-3,0,0,4,1,2,3,140,1013,5,0.7,0.6,11.2,-3,75,2,Weld County,Colorado
2020-03-03,13,13,-1,4,4,6,6,6,5,274,1015,9,0.0,0.0,11.2,-8,40,3,Weld County,Colorado
2020-03-04,16,16,0,6,6,6,8,9,7,273,1018,11,0.0,0.0,11.3,-9,37,3,Weld County,Colorado
2020-03-05,10,10,-2,2,2,6,4,5,7,139,1027,11,0.0,0.0,11.3,-6,49,2,Weld County,Colorado
2020-03-06,16,16,1,8,8,6,9,10,3,220,1024,5,0.0,0.0,11.3,-7,38,3,Weld County,Colorado
2020-03-07,20,20,6,11,11,6,12,14,6,235,1013,10,0.0,0.0,11.4,-5,31,4,Weld County,Colorado
2020-03-08,18,18,8,11,11,5,12,13,8,262,1008,12,2.8,0.0,11.4,-1,44,4,Weld County,Colorado
2020-03-09,13,13,4,7,7,5,8,9,5,174,1016,7,0.4,0.0,11.6,1,61,3,Weld County,Colorado
2020-03-10,15,15,5,9,9,6,10,11,6,234,1018,9,0.0,0.0,10.2,-2,47,4,Weld County,Colorado
2020-03-11,18,18,4,10,10,6,10,12,4,112,1013,6,0.0,0.0,11.6,-3,41,4,Weld County,Colorado
2020-03-12,14,14,3,6,6,6,8,8,9,77,1012,13,0.0,0.0,11.6,-2,49,3,Weld County,Colorado
2020-03-13,5,5,-3,-3,-3,5,2,3,17,129,1016,22,1.9,0.0,7.4,-3,71,1,Weld County,Colorado
2020-03-14,10,10,-3,0,0,6,3,4,8,93,1019,10,0.0,0.0,11.6,-2,73,2,Weld County,Colorado
2020-03-15,12,12,-1,4,4,6,5,6,4,172,1021,6,0.0,0.0,11.6,-1,66,3,Weld County,Colorado
2020-03-16,12,12,4,6,6,6,8,9,7,91,1018,10,0.0,0.0,11.6,-1,58,3,Weld County,Colorado
2020-03-17,14,14,2,6,6,6,7,8,4,277,1014,5,0.0,0.0,10.2,0,63,2,Weld County,Colorado
2020-03-18,18,18,5,11,11,6,12,13,7,167,1006,10,1.9,0.0,11.6,-1,46,4,Weld County,Colorado
2020-03-19,7,7,-3,0,0,4,4,5,18,12,1009,23,5.6,1.0,6.0,2,81,1,Weld County,Colorado
2020-03-20,-1,-1,-7,-8,-8,5,-4,-4,7,135,1030,9,0.3,0.3,6.1,-6,84,1,Weld County,Colorado
2020-03-21,9,9,-5,0,0,6,1,3,4,157,1022,6,0.0,0.0,10.2,-4,68,1,Weld County,Colorado
2020-03-22,12,12,0,4,4,6,6,7,5,268,1016,7,0.1,0.0,8.9,-3,60,2,Weld County,Colorado
2020-03-23,14,14,1,6,6,6,7,8,4,218,1014,6,0.0,0.0,11.6,-4,48,3,Weld County,Colorado
2020-03-24,16,16,4,9,9,6,9,11,5,229,1011,8,0.0,0.0,11.6,-3,44,4,Weld County,Colorado
2020-03-25,17,17,6,11,11,6,11,13,11,267,1006,16,0.0,0.0,11.6,-4,39,4,Weld County,Colorado
2020-03-26,18,18,4,9,9,6,11,11,10,227,1003,14,0.0,0.0,11.6,-1,54,4,Weld County,Colorado
2020-03-27,5,5,2,0,0,4,4,4,11,183,1004,14,6.9,5.7,6.3,1,82,1,Weld County,Colorado
2020-03-28,10,10,2,1,1,6,5,7,19,322,1011,26,2.3,0.0,10.3,-8,39,2,Weld County,Colorado
2020-03-29,12,12,0,5,5,6,6,8,6,161,1017,10,0.0,0.0,11.6,-8,36,3,Weld County,Colorado
2020-03-30,15,15,3,7,7,6,9,10,7,82,1015,10,0.0,0.0,10.3,-5,39,2,Weld County,Colorado
2020-03-31,18,18,4,11,11,6,12,13,5,229,1013,8,0.0,0.0,11.6,-4,38,4,Weld County,Colorado
2020-04-01,20,20,7,11,11,6,12,14,8,185,1004,13,0.2,0.0,11.6,-1,40,4,Weld County,Colorado
2020-04-02,3,3,-5,-5,-5,5,0,-1,12,28,1014,14,0.9,0.8,9.0,-5,72,1,Weld County,Colorado
