date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,21,21,15,18,18,6,19,19,12,181,1016,21,1.0,0.0,5.9,15,84,4,Wharton County,Texas
2020-03-02,24,24,17,20,20,5,21,21,9,189,1011,15,0.1,0.0,5.9,18,87,5,Wharton County,Texas
2020-03-03,25,25,18,21,21,4,22,22,6,77,1009,10,0.6,0.0,8.7,19,87,5,Wharton County,Texas
2020-03-04,27,27,20,23,24,4,24,24,8,235,1008,12,6.9,0.0,5.9,18,83,5,Wharton County,Texas
2020-03-05,20,20,13,14,14,6,15,15,13,234,1021,18,0.0,0.0,8.8,10,72,4,Wharton County,Texas
2020-03-06,20,20,12,14,14,6,14,16,8,52,1030,14,0.0,0.0,11.6,5,54,5,Wharton County,Texas
2020-03-07,17,17,10,12,12,6,13,14,8,103,1029,13,0.0,0.0,11.6,7,67,4,Wharton County,Texas
2020-03-08,20,20,10,15,15,5,15,17,10,135,1025,17,0.3,0.0,5.9,12,82,4,Wharton County,Texas
2020-03-09,23,23,15,19,19,6,20,20,11,177,1023,17,0.4,0.0,5.9,16,84,5,Wharton County,Texas
2020-03-10,25,25,17,20,20,3,21,22,5,187,1023,9,16.0,0.0,7.4,18,86,5,Wharton County,Texas
2020-03-11,26,26,17,20,21,4,21,22,8,191,1019,12,0.0,0.0,11.6,17,85,6,Wharton County,Texas
2020-03-12,26,26,18,21,22,4,22,23,10,186,1014,15,0.0,0.0,11.6,18,87,6,Wharton County,Texas
2020-03-13,24,24,18,21,21,3,22,22,9,157,1016,13,0.4,0.0,6.0,19,90,5,Wharton County,Texas
2020-03-14,26,26,21,23,25,6,25,24,10,165,1019,15,0.5,0.0,6.0,20,87,5,Wharton County,Texas
2020-03-15,27,27,19,22,23,4,23,24,7,117,1022,11,4.3,0.0,7.4,20,87,5,Wharton County,Texas
2020-03-16,24,24,17,20,20,3,21,22,8,134,1020,11,2.1,0.0,6.0,18,89,5,Wharton County,Texas
2020-03-17,27,27,18,22,23,4,23,24,9,132,1018,13,3.1,0.0,8.8,19,85,5,Wharton County,Texas
2020-03-18,26,26,19,22,23,4,23,23,11,173,1017,17,0.3,0.0,6.0,20,88,5,Wharton County,Texas
2020-03-19,27,27,21,23,26,5,26,24,12,168,1016,17,0.2,0.0,7.4,21,86,5,Wharton County,Texas
2020-03-20,27,27,18,23,25,5,25,24,8,161,1020,13,17.3,0.0,6.0,20,88,5,Wharton County,Texas
2020-03-21,17,17,13,13,13,5,14,15,11,52,1024,16,9.0,0.0,6.1,13,90,3,Wharton County,Texas
2020-03-22,27,27,17,21,22,4,22,23,8,128,1019,13,4.7,0.0,6.1,19,91,5,Wharton County,Texas
2020-03-23,27,27,19,22,24,3,24,24,9,186,1017,14,0.5,0.0,6.1,20,88,5,Wharton County,Texas
2020-03-24,28,28,21,24,26,5,26,25,12,212,1013,18,0.2,0.0,7.5,21,85,6,Wharton County,Texas
2020-03-25,30,30,19,24,25,3,25,26,6,172,1013,10,0.0,0.0,11.6,20,83,7,Wharton County,Texas
2020-03-26,29,29,19,23,25,4,25,25,10,174,1011,15,0.0,0.0,11.6,20,85,7,Wharton County,Texas
2020-03-27,28,28,21,24,26,6,26,26,12,176,1009,18,0.0,0.0,11.6,21,84,7,Wharton County,Texas
2020-03-28,26,26,17,21,23,5,23,23,9,263,1011,14,3.3,0.0,6.1,18,82,5,Wharton County,Texas
2020-03-29,24,24,14,19,19,6,19,20,8,73,1018,14,0.1,0.0,8.9,10,56,5,Wharton County,Texas
2020-03-30,27,27,18,22,24,6,24,24,11,155,1015,16,0.6,0.0,7.5,18,78,5,Wharton County,Texas
2020-03-31,21,21,15,19,19,5,20,19,11,352,1014,15,0.1,0.0,10.2,16,83,4,Wharton County,Texas
2020-04-01,23,23,12,16,16,6,17,18,8,120,1016,13,0.0,0.0,11.6,12,76,5,Wharton County,Texas
2020-04-02,25,25,15,20,20,4,21,22,11,147,1013,16,0.3,0.0,6.2,17,84,5,Wharton County,Texas
2020-04-03,25,25,19,21,22,3,22,22,9,117,1013,15,28.4,0.0,6.2,20,91,5,Wharton County,Texas
2020-04-04,16,16,10,13,13,4,15,14,11,8,1016,17,24.6,0.0,6.2,14,95,3,Wharton County,Texas
2020-04-05,22,22,15,18,18,4,19,19,7,86,1017,11,2.1,0.0,7.5,16,88,4,Wharton County,Texas
2020-04-06,26,26,17,21,23,5,23,23,7,114,1015,11,2.8,0.0,6.2,19,90,5,Wharton County,Texas
