date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,4,4,-3,-1,-1,4,0,2,3,252,1026,5,4.5,2.2,7.0,-3,86,1,Whatcom County,Washington
2020-03-02,4,4,-4,-1,-1,3,1,2,4,191,1020,7,32.7,1.9,5.5,1,98,1,Whatcom County,Washington
2020-03-03,5,5,-6,-1,-1,5,2,4,7,197,1017,10,6.6,0.0,5.6,2,96,1,Whatcom County,Washington
2020-03-04,4,4,0,-1,-1,5,1,2,6,223,1021,8,12.7,8.0,8.6,-1,85,1,Whatcom County,Washington
2020-03-05,8,8,-4,-1,-1,4,1,4,5,166,1016,8,27.5,0.0,5.6,-2,78,1,Whatcom County,Washington
2020-03-06,3,3,-4,0,0,1,0,2,2,266,1015,3,22.8,28.8,5.8,0,96,1,Whatcom County,Washington
2020-03-07,3,3,-3,-1,-1,4,0,1,2,259,1012,3,6.4,5.3,5.8,-1,92,1,Whatcom County,Washington
2020-03-08,3,3,-9,-4,-4,3,-3,0,2,266,1019,4,13.0,10.1,7.3,-4,92,1,Whatcom County,Washington
2020-03-09,5,5,-9,-5,-5,6,-3,1,3,271,1024,5,0.0,0.0,11.6,-10,64,2,Whatcom County,Washington
2020-03-10,5,5,-6,-2,-2,4,1,3,5,180,1021,6,5.6,0.1,5.9,-3,78,1,Whatcom County,Washington
2020-03-11,3,3,-4,0,0,4,2,2,4,251,1021,6,8.4,4.2,5.9,-1,88,1,Whatcom County,Washington
2020-03-12,4,4,-5,0,0,5,0,3,2,270,1026,3,1.0,0.3,7.3,-2,83,1,Whatcom County,Washington
2020-03-13,3,3,-6,-5,-5,6,-1,1,6,42,1014,9,0.0,0.0,5.9,-6,71,1,Whatcom County,Washington
2020-03-14,0,0,-8,-11,-11,6,-5,-4,9,52,1022,10,0.0,0.0,11.6,-14,52,2,Whatcom County,Washington
2020-03-15,6,6,-9,-5,-5,6,-2,1,7,34,1028,10,0.0,0.0,11.6,-11,53,2,Whatcom County,Washington
2020-03-16,11,11,-1,3,3,6,5,7,4,225,1024,7,0.0,0.0,11.6,-4,58,3,Whatcom County,Washington
2020-03-17,10,10,1,4,4,6,5,7,3,336,1013,5,0.0,0.0,10.2,-1,68,3,Whatcom County,Washington
2020-03-18,11,11,-1,2,2,6,4,6,3,308,1014,6,0.0,0.0,11.6,-2,70,3,Whatcom County,Washington
2020-03-19,10,10,2,4,4,6,5,7,3,323,1019,4,0.0,0.0,11.6,1,76,3,Whatcom County,Washington
2020-03-20,11,11,0,5,5,6,5,8,3,285,1025,4,0.1,0.0,11.6,1,75,2,Whatcom County,Washington
2020-03-21,12,12,3,6,6,5,7,8,3,297,1024,4,0.0,0.0,11.6,2,76,3,Whatcom County,Washington
2020-03-22,10,10,-1,4,4,6,5,7,3,219,1016,5,1.1,0.0,6.1,3,83,2,Whatcom County,Washington
2020-03-23,4,4,1,1,1,3,2,2,3,244,1009,4,29.8,20.9,6.1,2,95,1,Whatcom County,Washington
2020-03-24,3,3,-6,-1,-1,3,-1,1,2,257,1014,2,22.6,13.3,6.1,-1,97,1,Whatcom County,Washington
2020-03-25,6,6,-3,1,1,4,3,4,3,302,1017,4,3.1,1.0,9.0,-2,87,1,Whatcom County,Washington
2020-03-26,4,4,-7,-3,-3,4,-1,2,4,229,1015,6,8.2,4.0,6.4,-2,92,1,Whatcom County,Washington
2020-03-27,5,5,-4,-1,-1,4,0,2,3,219,1015,4,7.5,2.6,6.4,0,96,1,Whatcom County,Washington
2020-03-28,5,5,-4,0,0,4,2,4,4,153,1013,7,17.9,0.0,6.4,2,97,1,Whatcom County,Washington
2020-03-29,4,4,-3,2,2,3,4,4,4,220,1009,5,40.7,0.0,6.4,4,98,1,Whatcom County,Washington
2020-03-30,3,3,0,0,0,3,2,2,5,223,1008,7,55.1,27.7,6.4,1,96,1,Whatcom County,Washington
2020-03-31,5,5,-8,-1,-1,4,0,2,2,266,1016,3,11.0,5.0,7.7,-1,91,1,Whatcom County,Washington
2020-04-01,4,4,-4,-2,-2,4,0,2,3,230,1021,5,4.1,1.9,6.5,-3,85,1,Whatcom County,Washington
2020-04-02,3,3,-3,-1,-1,5,0,2,3,261,1022,5,2.2,0.6,7.8,-2,87,1,Whatcom County,Washington
2020-04-03,2,2,-2,-2,-2,3,0,1,4,236,1017,6,13.3,10.1,6.5,-1,94,1,Whatcom County,Washington
2020-04-04,6,6,-3,-1,-1,6,1,3,3,37,1010,5,0.0,0.7,10.3,-2,83,1,Whatcom County,Washington
2020-04-05,7,7,-6,-1,-1,6,0,4,3,239,1005,5,0.5,0.0,9.1,-3,81,1,Whatcom County,Washington
2020-04-06,9,9,-3,1,1,6,2,6,3,259,1011,5,0.0,0.0,11.6,-2,74,3,Whatcom County,Washington
2020-04-07,9,9,-4,1,1,6,2,5,3,274,1021,5,0.4,0.0,6.6,-2,79,1,Whatcom County,Washington
2020-04-08,13,13,-1,5,5,6,6,9,3,295,1025,5,0.0,0.0,10.4,-1,67,2,Whatcom County,Washington
2020-04-09,16,16,0,10,10,6,11,13,3,271,1018,4,0.0,0.0,11.6,1,62,4,Whatcom County,Washington
2020-04-10,15,15,5,9,9,6,9,12,3,266,1016,4,0.1,0.0,11.6,4,71,4,Whatcom County,Washington
2020-04-11,11,11,-2,4,4,6,6,7,5,14,1022,8,3.5,0.0,10.4,-3,62,2,Whatcom County,Washington
2020-04-12,11,11,-5,2,2,6,4,7,5,236,1027,8,0.0,0.0,11.6,-10,41,3,Whatcom County,Washington
2020-04-13,10,10,-3,4,4,6,5,8,4,286,1028,6,0.0,0.0,11.6,-5,49,3,Whatcom County,Washington
2020-04-14,13,13,2,7,7,6,8,10,3,272,1025,5,0.0,0.0,11.6,-2,58,3,Whatcom County,Washington
2020-04-15,15,15,4,8,8,6,9,12,5,18,1025,7,0.0,0.0,11.6,-1,58,4,Whatcom County,Washington
2020-04-16,16,16,4,8,8,6,9,12,3,278,1024,6,0.0,0.0,11.6,-1,55,4,Whatcom County,Washington
2020-04-17,15,15,5,8,8,6,9,12,3,275,1014,5,0.2,0.0,8.1,2,61,3,Whatcom County,Washington
2020-04-18,11,11,2,7,7,5,7,9,2,262,1013,4,1.8,0.0,7.0,5,87,2,Whatcom County,Washington
2020-04-19,10,10,2,7,7,3,7,9,2,278,1017,3,2.7,0.0,8.1,6,92,2,Whatcom County,Washington
2020-04-20,13,13,1,6,6,5,7,10,2,267,1017,4,1.4,0.0,8.2,4,84,3,Whatcom County,Washington
2020-04-21,9,9,0,4,4,5,5,7,3,250,1021,4,0.4,0.0,7.0,4,90,2,Whatcom County,Washington
2020-04-22,8,8,5,6,6,4,6,7,2,272,1019,2,13.0,0.0,7.0,6,96,2,Whatcom County,Washington
2020-04-23,8,8,-1,4,4,4,5,6,3,215,1021,5,9.4,0.0,8.8,4,96,2,Whatcom County,Washington
2020-04-24,14,14,2,6,6,6,6,10,2,265,1021,4,0.7,0.0,12.3,3,78,3,Whatcom County,Washington
2020-04-25,9,9,0,3,3,4,5,7,5,202,1015,8,19.5,0.0,9.1,3,91,2,Whatcom County,Washington
2020-04-26,14,14,-1,7,7,6,7,11,3,215,1016,4,2.4,0.0,11.3,4,78,3,Whatcom County,Washington
2020-04-27,10,10,5,5,5,4,7,8,4,246,1015,6,25.3,0.0,9.2,5,92,2,Whatcom County,Washington
2020-04-28,14,14,1,5,5,5,6,9,3,226,1024,5,1.1,0.0,12.4,2,79,2,Whatcom County,Washington
2020-04-29,16,16,1,8,8,5,9,13,4,196,1014,6,7.2,0.0,10.3,7,83,3,Whatcom County,Washington
2020-04-30,9,9,3,6,6,5,6,7,2,198,1016,3,21.1,0.0,9.2,5,92,2,Whatcom County,Washington
2020-05-01,15,15,2,7,7,6,8,11,3,222,1017,4,0.0,0.0,14.5,2,69,4,Whatcom County,Washington
2020-05-02,13,13,-2,5,5,4,6,9,4,166,1012,7,26.5,0.0,9.3,3,83,2,Whatcom County,Washington
2020-05-03,9,9,-2,2,2,4,3,6,3,248,1021,5,12.0,0.0,9.3,1,88,2,Whatcom County,Washington
2020-05-04,15,15,-4,6,6,5,7,12,3,154,1023,5,0.5,0.0,12.4,0,64,3,Whatcom County,Washington
2020-05-05,16,16,4,9,9,5,9,12,3,185,1020,4,14.8,0.0,9.3,6,81,3,Whatcom County,Washington
2020-05-06,9,9,3,4,4,4,6,7,4,233,1024,7,33.1,0.0,9.3,4,90,2,Whatcom County,Washington
2020-05-07,18,18,2,9,9,6,9,13,3,336,1029,6,0.0,0.0,14.5,2,65,4,Whatcom County,Washington
2020-05-08,23,23,5,15,15,6,17,19,5,28,1024,8,0.0,0.0,14.5,3,48,5,Whatcom County,Washington
2020-05-09,25,25,11,17,17,6,19,21,4,139,1019,7,0.0,0.0,14.5,6,52,6,Whatcom County,Washington
2020-05-10,26,26,10,18,19,6,19,22,4,141,1013,7,0.0,0.0,14.5,6,50,6,Whatcom County,Washington
2020-05-11,18,18,8,13,13,5,13,16,3,50,1007,5,9.2,0.0,11.5,10,81,4,Whatcom County,Washington
2020-05-12,10,10,4,8,8,4,9,10,2,210,1005,4,45.2,0.0,9.4,8,97,2,Whatcom County,Washington
2020-05-13,10,10,1,6,6,5,6,8,2,197,1009,3,14.2,0.0,9.5,5,94,2,Whatcom County,Washington
2020-05-14,9,9,-5,5,5,4,5,8,2,249,1014,3,7.0,0.0,9.5,6,96,2,Whatcom County,Washington
2020-05-15,11,11,4,8,8,5,8,10,2,275,1017,4,1.4,0.0,12.5,5,85,3,Whatcom County,Washington
2020-05-16,16,16,3,9,9,4,10,14,2,247,1009,4,2.9,0.0,10.5,6,78,3,Whatcom County,Washington
2020-05-17,12,12,5,9,9,4,9,11,2,233,1005,4,17.8,0.0,9.5,8,93,3,Whatcom County,Washington
2020-05-18,18,18,4,10,10,6,11,14,4,288,1008,6,0.6,0.0,12.5,5,73,3,Whatcom County,Washington
2020-05-19,13,13,3,8,8,5,8,12,3,273,1014,5,0.4,0.0,11.5,5,78,3,Whatcom County,Washington
2020-05-20,10,10,1,6,6,4,6,8,3,227,1013,5,3.8,0.0,9.6,6,95,2,Whatcom County,Washington
2020-05-21,9,9,-2,2,2,3,3,6,4,238,1013,6,6.0,0.0,9.6,2,92,2,Whatcom County,Washington
2020-05-22,7,7,-1,2,2,5,3,6,3,241,1016,5,9.4,0.0,9.6,2,93,2,Whatcom County,Washington
2020-05-23,11,11,-1,6,6,6,7,10,2,270,1020,3,1.3,0.0,9.6,4,86,2,Whatcom County,Washington
2020-05-24,16,16,2,10,10,6,10,13,2,276,1020,4,0.0,0.0,13.5,5,75,4,Whatcom County,Washington
2020-05-25,11,11,-1,7,7,3,7,10,2,229,1016,3,23.6,0.0,9.6,8,98,2,Whatcom County,Washington
2020-05-26,16,16,1,9,9,4,9,13,3,269,1018,5,2.2,0.0,10.6,6,80,3,Whatcom County,Washington
2020-05-27,21,21,1,12,12,6,13,17,3,290,1021,5,0.0,0.0,14.5,1,47,5,Whatcom County,Washington
2020-05-28,24,24,10,18,18,6,19,21,3,283,1017,5,0.0,0.0,15.9,7,48,6,Whatcom County,Washington
2020-05-29,25,25,14,19,19,6,20,22,3,277,1013,4,1.9,0.0,15.9,11,62,6,Whatcom County,Washington
2020-05-30,17,17,5,12,12,4,12,15,3,288,1008,5,26.9,0.0,11.9,11,94,3,Whatcom County,Washington
2020-05-31,12,12,5,7,7,5,9,10,4,241,1015,5,7.8,0.0,13.8,3,80,2,Whatcom County,Washington
2020-06-01,15,15,0,7,7,6,7,12,3,262,1019,5,0.0,0.0,16.0,2,69,4,Whatcom County,Washington
2020-06-02,14,14,-5,5,5,5,6,10,3,257,1021,4,4.3,0.0,14.7,3,78,3,Whatcom County,Washington
2020-06-03,14,14,1,7,7,4,7,11,3,268,1020,5,0.9,0.0,12.0,4,84,3,Whatcom County,Washington
2020-06-04,12,12,0,6,6,5,7,10,3,250,1017,4,4.8,0.0,12.9,4,84,2,Whatcom County,Washington
2020-06-05,18,18,4,10,10,6,10,15,3,276,1007,5,3.3,0.0,15.6,5,75,4,Whatcom County,Washington
2020-06-06,12,12,1,6,6,4,7,9,3,272,1006,4,7.9,0.0,12.0,5,90,2,Whatcom County,Washington
2020-06-07,11,11,2,6,6,4,7,9,4,257,1011,6,4.6,0.0,12.0,4,84,2,Whatcom County,Washington
2020-06-08,12,12,0,4,4,5,6,9,5,243,1019,8,9.0,0.0,12.9,3,84,2,Whatcom County,Washington
2020-06-09,10,10,0,4,4,4,6,8,3,127,1019,5,26.2,0.0,12.0,6,96,2,Whatcom County,Washington
2020-06-10,17,17,7,13,13,4,13,15,3,188,1019,4,5.4,0.0,12.1,10,87,4,Whatcom County,Washington
2020-06-11,15,15,0,9,9,4,10,12,2,233,1017,3,5.9,0.0,12.1,9,92,3,Whatcom County,Washington
2020-06-12,13,13,3,8,8,5,8,10,2,241,1014,4,15.8,0.0,12.1,7,90,3,Whatcom County,Washington
2020-06-13,12,12,2,7,7,4,8,9,2,256,1012,4,11.0,0.0,12.1,5,92,2,Whatcom County,Washington
2020-06-14,9,9,0,4,4,4,5,7,3,219,1013,5,5.9,0.0,13.0,4,94,2,Whatcom County,Washington
2020-06-15,9,9,1,5,5,4,6,8,2,136,1011,4,29.0,0.0,12.1,5,96,2,Whatcom County,Washington
2020-06-16,12,12,0,6,6,5,7,10,2,282,1017,4,2.3,0.0,12.1,5,87,2,Whatcom County,Washington
2020-06-17,18,18,1,10,10,5,10,15,3,276,1023,5,0.0,0.0,16.1,5,73,4,Whatcom County,Washington
2020-06-18,22,22,3,12,12,5,13,18,3,277,1021,5,0.0,0.0,16.1,7,72,5,Whatcom County,Washington
2020-06-19,22,22,8,15,15,6,16,19,3,272,1014,5,1.0,0.0,15.6,9,70,4,Whatcom County,Washington
2020-06-20,14,14,7,11,11,4,11,13,3,164,1012,4,18.7,0.0,12.1,10,96,3,Whatcom County,Washington
2020-06-21,15,15,7,11,11,4,11,13,3,260,1018,4,3.0,0.0,13.9,9,90,3,Whatcom County,Washington
2020-06-22,23,23,9,15,15,5,15,19,3,280,1021,5,0.0,0.0,16.1,9,71,5,Whatcom County,Washington
