date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,10,10,-3,-1,-1,6,4,5,14,194,1015,24,0.6,0.0,10.1,1,79,1,White County,Indiana
2020-03-02,8,8,2,4,4,5,7,6,8,329,1008,13,3.2,0.0,8.6,4,83,2,White County,Indiana
2020-03-03,11,11,2,3,3,6,6,7,11,265,1005,16,0.1,0.0,11.2,0,67,3,White County,Indiana
2020-03-04,8,8,3,2,2,6,5,6,10,308,1014,15,0.1,0.0,11.3,-1,66,2,White County,Indiana
2020-03-05,10,10,1,2,2,6,5,7,12,222,1016,18,0.0,0.0,11.3,-1,64,3,White County,Indiana
2020-03-06,2,2,-2,-6,-6,4,1,1,18,336,1024,24,0.1,0.0,5.7,-3,75,1,White County,Indiana
2020-03-07,9,9,-2,0,0,6,3,4,7,192,1033,12,0.0,0.0,11.4,-5,61,2,White County,Indiana
2020-03-08,14,14,2,4,4,6,7,8,15,204,1026,25,0.0,0.0,10.1,0,59,3,White County,Indiana
2020-03-09,14,14,9,9,9,6,12,12,20,201,1019,31,2.3,0.0,7.2,8,77,3,White County,Indiana
2020-03-10,10,10,3,6,6,5,8,8,11,342,1020,15,6.8,0.0,7.2,5,80,2,White County,Indiana
2020-03-11,13,13,3,6,6,6,7,8,4,244,1018,6,0.0,0.0,8.7,3,75,2,White County,Indiana
2020-03-12,16,16,5,9,9,5,10,11,8,177,1009,12,7.9,0.0,7.2,8,85,3,White County,Indiana
2020-03-13,8,8,2,1,1,6,5,5,14,293,1022,19,1.7,0.0,10.1,-3,58,1,White County,Indiana
2020-03-14,3,3,1,-1,-1,3,2,2,7,85,1032,10,4.3,3.2,5.8,-1,78,1,White County,Indiana
2020-03-15,7,7,-2,-1,-1,5,3,3,8,56,1035,12,0.0,0.0,11.6,-1,78,2,White County,Indiana
2020-03-16,5,5,2,1,1,6,4,4,6,211,1027,9,0.2,0.0,6.0,1,83,1,White County,Indiana
2020-03-17,10,10,1,3,3,6,5,6,6,311,1025,9,0.0,0.0,11.6,-1,68,3,White County,Indiana
2020-03-18,7,7,0,3,3,4,5,6,7,107,1022,12,5.2,0.0,6.0,4,89,2,White County,Indiana
2020-03-19,16,16,5,8,8,2,10,11,11,156,1014,19,10.8,0.0,6.2,10,94,3,White County,Indiana
2020-03-20,14,14,-1,5,5,6,9,8,16,342,1019,23,1.6,0.0,6.3,5,78,2,White County,Indiana
2020-03-21,5,5,-3,-3,-3,6,1,2,8,44,1034,11,0.0,0.0,11.6,-7,58,2,White County,Indiana
2020-03-22,4,4,-4,-4,-4,5,0,1,8,121,1030,11,4.3,0.8,7.6,-3,78,1,White County,Indiana
2020-03-23,6,6,1,1,1,3,3,4,4,331,1022,6,0.0,0.0,6.3,1,90,1,White County,Indiana
2020-03-24,11,11,0,3,3,6,5,7,6,110,1019,10,0.2,0.0,6.3,2,81,2,White County,Indiana
2020-03-25,16,16,2,7,7,6,8,10,6,198,1014,10,0.0,0.0,11.6,4,76,3,White County,Indiana
2020-03-26,17,17,8,10,10,5,11,12,8,154,1010,13,2.1,0.0,6.3,9,85,3,White County,Indiana
2020-03-27,12,12,3,7,7,4,9,11,10,97,1010,16,11.3,0.0,6.3,9,91,3,White County,Indiana
2020-03-28,21,21,13,17,17,4,18,19,11,225,1004,19,19.2,0.0,7.7,16,91,4,White County,Indiana
2020-03-29,10,10,9,8,8,6,11,10,20,245,1006,30,0.4,0.0,6.4,7,73,3,White County,Indiana
2020-03-30,10,10,4,3,3,6,7,8,12,310,1020,17,0.0,0.0,10.3,2,71,3,White County,Indiana
2020-03-31,7,7,1,1,1,6,4,5,9,16,1017,12,0.1,0.0,6.4,1,77,2,White County,Indiana
2020-04-01,10,10,3,4,4,6,6,7,7,232,1018,10,0.0,0.0,6.4,2,76,2,White County,Indiana
2020-04-02,15,15,4,9,9,6,9,11,2,50,1021,4,0.0,0.0,11.6,2,65,4,White County,Indiana
2020-04-03,19,19,9,13,13,6,14,15,5,166,1018,8,0.0,0.0,10.3,6,60,4,White County,Indiana
2020-04-04,9,9,5,7,7,6,9,9,7,339,1018,11,1.9,0.0,6.5,6,83,2,White County,Indiana
2020-04-05,15,15,2,6,6,6,8,10,6,45,1021,9,0.0,0.0,10.3,2,67,3,White County,Indiana
2020-04-06,17,17,5,11,11,6,12,13,7,188,1018,11,0.0,0.0,9.0,8,79,3,White County,Indiana
2020-04-07,23,23,14,18,18,5,19,19,11,229,1008,18,8.8,0.0,7.8,15,83,4,White County,Indiana
2020-04-08,23,23,13,18,18,5,19,18,8,192,1005,12,12.1,0.0,10.3,12,77,5,White County,Indiana
2020-04-09,9,9,3,2,2,5,7,7,18,296,1008,24,5.5,0.3,9.1,-1,61,2,White County,Indiana
2020-04-10,9,9,0,0,0,6,4,5,12,294,1016,18,0.0,0.0,11.6,-3,58,3,White County,Indiana
2020-04-11,15,15,5,7,7,6,9,11,10,200,1014,15,1.1,0.0,10.3,3,64,4,White County,Indiana
2020-04-12,16,16,10,11,11,6,12,13,11,188,1004,17,0.2,0.0,6.6,10,84,3,White County,Indiana
2020-04-13,7,7,2,2,2,5,6,5,16,297,1009,21,0.2,0.0,10.3,0,67,2,White County,Indiana
2020-04-14,6,6,0,-1,-1,6,3,3,10,275,1022,14,0.0,0.0,7.8,-7,52,1,White County,Indiana
2020-04-15,5,5,-1,-2,-2,5,2,3,10,299,1019,14,1.6,0.4,6.6,-4,67,1,White County,Indiana
2020-04-16,8,8,-1,0,0,6,3,4,7,280,1026,10,0.0,0.0,10.4,-6,51,1,White County,Indiana
2020-04-17,2,2,0,-3,-3,5,1,1,9,157,1017,13,9.3,0.0,6.6,0,94,1,White County,Indiana
2020-04-18,12,12,-1,3,3,5,6,8,12,238,1016,17,0.0,0.0,11.6,1,72,3,White County,Indiana
2020-04-19,12,12,6,6,6,5,9,10,10,197,1010,16,1.0,0.0,9.1,4,73,2,White County,Indiana
2020-04-20,16,16,3,8,8,6,9,11,9,232,1007,14,1.1,0.0,11.6,2,63,4,White County,Indiana
2020-04-21,9,9,3,3,3,6,7,6,13,304,1012,18,0.0,0.0,11.6,-2,56,3,White County,Indiana
2020-04-22,17,17,3,10,10,6,11,12,7,201,1014,11,0.1,0.0,11.6,4,64,4,White County,Indiana
2020-04-23,12,12,10,10,10,4,11,12,7,101,1006,11,8.6,0.0,6.9,10,92,3,White County,Indiana
2020-04-24,17,17,8,11,11,4,12,13,5,36,1010,7,0.1,0.0,6.9,9,82,3,White County,Indiana
2020-04-25,17,17,9,11,11,5,13,15,14,90,1010,19,10.2,0.0,6.9,9,82,3,White County,Indiana
2020-04-26,14,14,6,7,7,5,10,11,15,236,1016,21,4.9,0.0,9.3,3,67,3,White County,Indiana
2020-04-27,17,17,6,10,10,5,11,13,10,210,1019,14,0.5,0.0,9.3,5,66,3,White County,Indiana
2020-04-28,21,21,12,16,16,5,17,18,13,208,1010,19,7.8,0.0,7.0,13,84,4,White County,Indiana
2020-04-29,15,15,8,12,12,5,13,14,12,244,1000,16,10.5,0.0,7.0,11,87,3,White County,Indiana
2020-04-30,9,9,1,4,4,5,7,8,15,326,1005,21,1.6,0.0,7.0,5,85,2,White County,Indiana
2020-05-01,18,18,4,9,9,6,11,13,6,299,1016,11,0.0,0.0,11.6,4,66,4,White County,Indiana
2020-05-02,24,24,13,18,18,6,19,20,12,239,1013,18,1.4,0.0,8.2,13,74,4,White County,Indiana
2020-05-03,20,20,12,16,16,5,16,17,8,225,1013,12,0.5,0.0,11.6,10,67,5,White County,Indiana
2020-05-04,16,16,7,10,10,6,12,12,9,54,1018,13,0.0,0.0,9.3,5,65,3,White County,Indiana
2020-05-05,8,8,-1,4,4,4,7,6,11,70,1014,15,6.0,0.0,7.0,5,89,2,White County,Indiana
2020-05-06,14,14,4,7,7,6,9,10,9,232,1018,12,0.0,0.0,11.6,1,61,4,White County,Indiana
2020-05-07,17,17,7,11,11,6,12,14,11,279,1016,16,0.1,0.0,11.6,5,66,4,White County,Indiana
2020-05-08,9,9,2,4,4,6,7,8,12,240,1015,17,0.3,0.0,10.5,0,61,3,White County,Indiana
2020-05-09,12,12,0,3,3,6,6,8,8,277,1023,11,0.0,0.0,11.6,-3,53,3,White County,Indiana
2020-05-10,12,12,3,4,4,5,8,10,17,260,1017,24,1.4,0.1,7.1,3,71,3,White County,Indiana
2020-05-11,9,9,2,3,3,6,6,7,9,311,1023,12,0.1,0.0,8.2,1,74,2,White County,Indiana
2020-05-12,13,13,3,7,7,6,8,10,6,263,1024,9,0.1,0.0,9.4,2,67,3,White County,Indiana
2020-05-13,14,14,6,9,9,6,10,12,8,143,1023,12,0.0,0.0,11.6,5,72,4,White County,Indiana
2020-05-14,24,24,11,18,18,5,19,20,16,215,1014,24,6.2,0.0,8.3,15,85,5,White County,Indiana
2020-05-15,23,23,15,19,19,5,20,21,11,219,1012,17,14.6,0.0,7.1,16,80,5,White County,Indiana
2020-05-16,25,25,14,19,19,5,21,22,9,193,1011,14,7.6,0.0,11.3,16,82,5,White County,Indiana
2020-05-17,19,19,12,16,16,5,17,16,11,353,1013,14,21.1,0.0,12.4,13,82,4,White County,Indiana
2020-05-18,20,20,15,17,17,5,17,18,5,198,1006,7,2.9,0.0,12.4,14,83,4,White County,Indiana
2020-05-19,19,19,14,15,15,4,16,17,12,72,1010,17,1.9,0.0,9.2,14,91,4,White County,Indiana
2020-05-20,16,16,12,12,12,6,13,14,13,88,1019,18,0.0,0.0,9.2,11,84,3,White County,Indiana
2020-05-21,18,18,11,14,14,6,15,16,10,96,1019,14,0.1,0.0,9.2,12,85,4,White County,Indiana
2020-05-22,23,23,12,18,18,4,19,19,4,182,1016,6,0.4,0.0,11.4,14,79,4,White County,Indiana
2020-05-23,27,27,15,21,22,6,22,23,9,171,1014,15,3.9,0.0,11.4,17,81,5,White County,Indiana
2020-05-24,28,28,18,23,24,6,24,25,8,215,1014,13,1.1,0.0,13.5,19,80,6,White County,Indiana
2020-05-25,29,29,19,24,25,6,25,26,8,204,1014,12,0.4,0.0,13.5,19,77,7,White County,Indiana
2020-05-26,28,28,20,24,25,5,25,26,8,172,1015,12,5.3,0.0,11.4,19,78,6,White County,Indiana
2020-05-27,27,27,19,22,23,5,23,24,7,183,1014,11,4.5,0.0,10.3,19,82,5,White County,Indiana
2020-05-28,25,25,19,21,22,4,22,22,8,220,1011,12,3.7,0.0,9.3,18,85,5,White County,Indiana
2020-05-29,22,22,15,18,18,5,19,19,8,319,1014,13,1.7,0.0,11.4,14,80,4,White County,Indiana
2020-05-30,20,20,14,16,16,6,16,18,7,342,1021,11,0.1,0.0,13.5,11,70,4,White County,Indiana
2020-05-31,19,19,10,14,14,6,15,15,6,51,1026,9,0.0,0.0,14.5,7,64,5,White County,Indiana
