date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,16,16,0,7,7,6,8,10,4,271,1025,7,0.0,0.0,11.6,0,58,4,Wilkes County,Georgia
2020-03-02,17,17,5,10,10,5,11,12,6,194,1019,10,11.5,0.0,7.3,7,77,3,Wilkes County,Georgia
2020-03-03,20,20,14,16,16,4,16,16,8,215,1012,14,30.4,0.0,7.3,15,94,4,Wilkes County,Georgia
2020-03-04,16,16,7,13,13,4,14,14,5,267,1016,8,11.9,0.0,5.9,13,93,3,Wilkes County,Georgia
2020-03-05,9,9,9,7,7,3,10,9,9,66,1017,14,59.0,0.0,5.9,9,96,2,Wilkes County,Georgia
2020-03-06,12,12,4,5,5,4,8,10,11,300,1020,17,0.0,0.0,11.6,2,70,3,Wilkes County,Georgia
2020-03-07,13,13,-1,4,4,6,6,8,4,27,1030,7,0.0,0.0,11.6,-2,61,3,Wilkes County,Georgia
2020-03-08,14,14,2,7,7,6,8,10,4,135,1035,6,0.0,0.0,7.3,0,60,2,Wilkes County,Georgia
2020-03-09,18,18,5,12,12,6,12,14,5,172,1033,7,0.3,0.0,8.8,7,74,3,Wilkes County,Georgia
2020-03-10,15,15,13,13,13,4,14,14,5,227,1027,10,1.9,0.0,5.9,13,94,3,Wilkes County,Georgia
2020-03-11,21,21,12,16,16,3,16,18,6,256,1019,9,0.0,0.0,10.2,13,86,4,Wilkes County,Georgia
2020-03-12,22,22,14,18,18,6,19,20,5,247,1016,9,3.1,0.0,7.4,15,84,4,Wilkes County,Georgia
2020-03-13,24,24,16,20,20,6,20,21,7,276,1019,11,0.3,0.0,10.2,15,79,5,Wilkes County,Georgia
2020-03-14,18,18,10,15,15,6,15,16,5,87,1026,9,0.1,0.0,6.0,10,74,4,Wilkes County,Georgia
2020-03-15,20,20,13,16,16,5,16,18,4,199,1024,7,4.2,0.0,7.4,14,91,4,Wilkes County,Georgia
2020-03-16,12,12,9,9,9,5,11,10,6,76,1027,9,2.2,0.0,6.0,9,88,3,Wilkes County,Georgia
2020-03-17,22,22,11,15,15,4,16,17,3,260,1024,5,0.0,0.0,7.4,13,88,4,Wilkes County,Georgia
2020-03-18,23,23,12,17,17,3,18,19,4,110,1025,7,6.1,0.0,6.0,15,87,4,Wilkes County,Georgia
2020-03-19,27,27,17,22,23,6,23,23,6,204,1024,10,3.2,0.0,10.2,17,83,5,Wilkes County,Georgia
2020-03-20,27,27,16,21,22,6,22,23,8,231,1023,13,0.2,0.0,11.6,16,77,6,Wilkes County,Georgia
2020-03-21,25,25,15,20,20,6,21,22,7,284,1022,11,0.4,0.0,10.2,14,74,6,Wilkes County,Georgia
2020-03-22,15,15,11,12,12,5,13,15,7,58,1026,11,0.5,0.0,6.1,10,84,3,Wilkes County,Georgia
2020-03-23,18,18,11,14,14,2,14,15,5,194,1022,8,11.8,0.0,6.1,13,96,4,Wilkes County,Georgia
2020-03-24,18,18,13,15,15,3,16,16,4,80,1016,6,16.6,0.0,6.1,15,98,4,Wilkes County,Georgia
2020-03-25,24,24,16,20,20,5,21,21,8,296,1011,12,24.5,0.0,10.2,15,79,6,Wilkes County,Georgia
2020-03-26,22,22,13,17,17,5,18,18,5,143,1017,9,0.0,0.0,10.2,12,78,5,Wilkes County,Georgia
2020-03-27,28,28,15,21,22,3,22,23,6,231,1014,10,0.0,0.0,10.2,17,80,6,Wilkes County,Georgia
2020-03-28,29,29,18,23,24,4,24,24,8,242,1014,12,0.0,0.0,10.2,18,78,6,Wilkes County,Georgia
2020-03-29,27,27,18,21,22,6,22,23,8,251,1017,14,0.4,0.0,6.1,16,75,5,Wilkes County,Georgia
2020-03-30,23,23,14,18,18,6,18,19,5,300,1019,10,0.0,0.0,11.6,8,53,5,Wilkes County,Georgia
2020-03-31,16,16,10,13,13,5,13,14,7,160,1008,10,14.6,0.0,7.5,8,75,3,Wilkes County,Georgia
2020-04-01,17,17,6,11,11,6,12,13,5,235,1012,8,0.2,0.0,11.6,5,66,4,Wilkes County,Georgia
