date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,15,15,3,6,6,6,9,11,15,202,1016,24,1.5,0.0,5.6,5,77,3,Williamson County,Illinois
2020-03-02,14,14,11,11,11,4,12,13,8,306,1008,13,11.2,0.0,5.6,11,90,3,Williamson County,Illinois
2020-03-03,15,15,7,9,9,5,11,11,9,285,1009,13,11.1,0.0,11.3,5,71,4,Williamson County,Illinois
2020-03-04,13,13,7,7,7,6,9,11,8,312,1016,13,0.0,0.0,8.6,3,64,3,Williamson County,Illinois
2020-03-05,16,16,4,9,9,6,10,10,9,255,1019,14,0.0,0.0,10.1,2,63,3,Williamson County,Illinois
2020-03-06,9,9,1,0,0,6,4,5,13,328,1028,19,0.0,0.0,11.4,-2,62,3,Williamson County,Illinois
2020-03-07,11,11,0,3,3,6,5,6,6,153,1033,9,0.0,0.0,11.4,-2,63,3,Williamson County,Illinois
2020-03-08,15,15,4,6,6,6,9,11,12,193,1027,19,0.0,0.0,10.1,2,63,3,Williamson County,Illinois
2020-03-09,15,15,11,11,11,6,13,14,17,193,1022,28,4.0,0.0,5.7,11,83,3,Williamson County,Illinois
2020-03-10,10,10,5,9,9,6,10,9,10,328,1022,14,1.2,0.0,5.7,7,83,2,Williamson County,Illinois
2020-03-11,15,15,5,8,8,4,9,10,4,233,1018,7,0.7,0.0,5.7,7,86,3,Williamson County,Illinois
2020-03-12,18,18,8,13,13,4,13,14,11,184,1009,18,3.0,0.0,7.4,12,91,3,Williamson County,Illinois
2020-03-13,10,10,4,5,5,6,8,7,10,11,1024,14,2.0,0.0,8.8,1,66,2,Williamson County,Illinois
2020-03-14,6,6,-1,1,1,5,5,4,10,52,1029,15,12.9,0.0,6.0,1,80,1,Williamson County,Illinois
2020-03-15,8,8,2,1,1,5,4,5,8,37,1032,12,0.0,0.0,6.0,1,81,2,Williamson County,Illinois
2020-03-16,8,8,2,4,4,6,5,6,3,150,1027,5,0.0,0.0,7.4,3,83,2,Williamson County,Illinois
2020-03-17,13,13,5,7,7,4,8,10,6,41,1025,9,1.4,0.0,11.6,5,80,3,Williamson County,Illinois
2020-03-18,17,17,7,10,10,5,12,12,8,176,1019,14,5.5,0.0,6.0,10,93,3,Williamson County,Illinois
2020-03-19,20,20,15,18,18,4,18,18,14,200,1015,23,12.2,0.0,6.0,17,92,4,Williamson County,Illinois
2020-03-20,17,17,6,12,12,6,13,14,15,324,1020,22,5.4,0.0,6.3,10,80,3,Williamson County,Illinois
2020-03-21,9,9,2,2,2,6,5,5,8,17,1032,11,0.0,0.0,11.6,-2,65,3,Williamson County,Illinois
2020-03-22,6,6,-1,1,1,5,4,5,7,111,1027,10,1.5,0.0,8.9,1,81,1,Williamson County,Illinois
2020-03-23,14,14,3,7,7,6,8,9,5,242,1021,8,0.0,0.0,11.6,5,80,3,Williamson County,Illinois
2020-03-24,11,11,4,6,6,4,8,9,7,93,1016,11,20.9,0.0,6.3,7,89,2,Williamson County,Illinois
2020-03-25,17,17,5,10,10,4,11,12,6,143,1014,10,0.4,0.0,11.6,8,83,4,Williamson County,Illinois
2020-03-26,24,24,9,16,16,6,17,18,11,198,1009,17,0.2,0.0,9.0,14,85,4,Williamson County,Illinois
2020-03-27,24,24,18,21,21,3,21,21,8,197,1007,12,6.1,0.0,6.3,19,91,5,Williamson County,Illinois
2020-03-28,22,22,19,21,21,5,22,21,15,207,1006,24,13.6,0.0,6.3,18,87,5,Williamson County,Illinois
2020-03-29,18,18,9,13,13,6,14,14,13,256,1014,20,12.5,0.0,11.6,8,68,4,Williamson County,Illinois
2020-03-30,18,18,8,12,12,6,13,14,5,318,1021,9,0.0,0.0,10.3,6,63,3,Williamson County,Illinois
2020-03-31,13,13,7,8,8,5,10,10,6,121,1015,10,2.7,0.0,6.4,5,74,3,Williamson County,Illinois
2020-04-01,14,14,2,7,7,6,8,9,4,12,1018,7,0.0,0.0,11.6,3,73,3,Williamson County,Illinois
2020-04-02,18,18,6,10,10,6,11,13,7,155,1020,11,0.0,0.0,10.3,6,73,3,Williamson County,Illinois
2020-04-03,17,17,10,12,12,5,13,14,6,163,1017,10,0.5,0.0,7.7,9,78,3,Williamson County,Illinois
2020-04-04,10,10,7,7,7,5,9,9,8,335,1019,11,0.0,0.0,6.4,6,85,2,Williamson County,Illinois
2020-04-05,16,16,6,10,10,3,10,11,3,106,1020,5,0.0,0.0,9.0,8,87,3,Williamson County,Illinois
2020-04-06,22,22,9,15,15,4,15,17,5,181,1017,9,0.0,0.0,11.6,12,84,4,Williamson County,Illinois
2020-04-07,25,25,15,19,19,4,20,21,10,219,1011,16,0.2,0.0,9.0,17,86,5,Williamson County,Illinois
2020-04-08,28,28,17,22,22,5,22,23,9,249,1005,15,9.7,0.0,11.6,17,79,6,Williamson County,Illinois
2020-04-09,15,15,7,9,9,5,11,12,13,301,1013,19,15.0,0.0,11.6,4,63,4,Williamson County,Illinois
2020-04-10,12,12,0,3,3,6,6,7,8,209,1020,12,0.0,0.0,11.6,-3,54,3,Williamson County,Illinois
2020-04-11,14,14,4,7,7,6,9,10,10,182,1015,16,0.3,0.0,7.8,3,66,3,Williamson County,Illinois
2020-04-12,16,16,10,13,13,4,14,14,9,157,1004,14,4.7,0.0,6.5,12,93,3,Williamson County,Illinois
2020-04-13,9,9,2,3,3,5,7,6,13,320,1014,18,1.6,0.3,9.1,1,67,2,Williamson County,Illinois
2020-04-14,9,9,2,3,3,6,5,6,5,223,1024,7,0.1,0.0,9.1,-5,51,2,Williamson County,Illinois
2020-04-15,13,13,1,4,4,6,7,9,11,275,1021,16,0.4,0.0,9.1,-1,60,2,Williamson County,Illinois
2020-04-16,14,14,0,5,5,6,7,9,8,141,1025,13,0.0,0.0,10.3,0,61,2,Williamson County,Illinois
2020-04-17,12,12,3,5,5,5,8,10,11,255,1016,19,7.4,0.0,6.6,5,84,2,Williamson County,Illinois
2020-04-18,14,14,1,5,5,6,7,9,6,180,1019,10,0.0,0.0,11.6,1,67,3,Williamson County,Illinois
2020-04-19,14,14,6,9,9,5,10,12,5,190,1010,8,0.5,0.0,9.1,6,79,3,Williamson County,Illinois
2020-04-20,19,19,6,11,11,6,12,14,6,303,1009,11,1.8,0.0,11.6,7,73,4,Williamson County,Illinois
2020-04-21,16,16,9,11,11,6,12,13,8,332,1015,13,1.8,0.0,11.6,6,71,4,Williamson County,Illinois
2020-04-22,19,19,7,11,11,6,12,15,9,185,1015,14,1.1,0.0,9.1,7,73,3,Williamson County,Illinois
2020-04-23,17,17,12,12,12,3,13,15,10,229,1002,15,6.2,0.0,6.7,13,95,3,Williamson County,Illinois
2020-04-24,21,21,9,14,14,4,15,17,5,171,1009,8,1.1,0.0,9.1,11,82,4,Williamson County,Illinois
2020-04-25,17,17,9,11,11,5,13,15,14,191,1006,24,13.2,0.0,6.7,12,92,3,Williamson County,Illinois
2020-04-26,17,17,8,9,9,4,11,13,13,339,1019,18,1.2,0.0,9.1,7,74,3,Williamson County,Illinois
2020-04-27,16,16,5,10,10,5,11,13,8,202,1022,13,0.2,0.0,9.1,8,75,3,Williamson County,Illinois
2020-04-28,21,21,12,17,17,4,17,18,14,205,1013,21,1.2,0.0,6.7,14,81,4,Williamson County,Illinois
2020-04-29,16,16,10,13,13,4,14,14,15,287,1005,20,18.3,0.0,6.7,11,85,3,Williamson County,Illinois
2020-04-30,17,17,8,11,11,6,12,13,11,319,1012,16,0.0,0.0,13.5,8,76,4,Williamson County,Illinois
2020-05-01,21,21,8,15,15,6,15,17,6,209,1016,10,0.1,0.0,13.9,10,73,5,Williamson County,Illinois
2020-05-02,26,26,14,20,21,6,21,22,11,217,1015,17,1.5,0.0,13.9,17,80,6,Williamson County,Illinois
2020-05-03,21,21,13,18,18,5,18,19,7,133,1013,12,10.1,0.0,8.7,16,89,4,Williamson County,Illinois
2020-05-04,21,21,10,15,15,5,16,17,7,95,1015,12,2.1,0.0,13.3,11,76,5,Williamson County,Illinois
2020-05-05,17,17,12,14,14,5,15,15,8,309,1010,12,6.3,0.0,8.7,13,88,4,Williamson County,Illinois
2020-05-06,15,15,7,9,9,5,10,11,10,340,1019,15,2.9,0.0,11.0,7,79,3,Williamson County,Illinois
2020-05-07,19,19,7,12,12,6,13,15,7,253,1019,11,0.4,0.0,12.2,8,72,3,Williamson County,Illinois
2020-05-08,13,13,6,9,9,4,11,12,12,238,1015,18,17.6,0.0,8.8,8,83,3,Williamson County,Illinois
2020-05-09,15,15,3,8,8,6,9,11,4,307,1024,6,0.0,0.0,13.4,3,65,4,Williamson County,Illinois
2020-05-10,15,15,7,8,8,6,10,13,12,287,1022,18,0.3,0.0,14.1,5,69,3,Williamson County,Illinois
2020-05-11,14,14,3,7,7,6,9,10,7,312,1025,11,0.2,0.0,13.4,4,72,3,Williamson County,Illinois
2020-05-12,12,12,7,8,8,4,9,10,4,188,1025,5,1.2,0.0,9.9,6,81,2,Williamson County,Illinois
2020-05-13,15,15,8,10,10,4,12,12,7,123,1021,11,3.0,0.0,8.8,11,96,3,Williamson County,Illinois
2020-05-14,25,25,15,20,20,6,21,22,13,197,1016,21,0.4,0.0,12.2,17,83,5,Williamson County,Illinois
2020-05-15,24,24,18,20,20,5,20,21,11,210,1013,18,2.3,0.0,8.8,19,91,5,Williamson County,Illinois
2020-05-16,26,26,17,22,23,4,23,23,10,206,1011,16,12.1,0.0,10.2,20,90,5,Williamson County,Illinois
2020-05-17,23,23,18,20,20,5,21,21,8,236,1014,12,8.2,0.0,11.3,18,88,5,Williamson County,Illinois
2020-05-18,18,18,13,14,14,4,15,15,7,282,1008,11,0.8,0.0,11.3,13,89,4,Williamson County,Illinois
2020-05-19,17,17,12,14,14,5,15,15,7,332,1009,10,6.1,0.0,9.1,13,92,4,Williamson County,Illinois
2020-05-20,19,19,11,15,15,4,15,17,7,55,1014,10,0.7,0.0,9.1,14,89,4,Williamson County,Illinois
2020-05-21,21,21,11,15,15,4,16,17,6,54,1016,9,0.9,0.0,9.1,13,87,4,Williamson County,Illinois
2020-05-22,25,25,14,20,20,4,20,21,4,144,1015,6,0.6,0.0,13.4,16,84,6,Williamson County,Illinois
2020-05-23,29,29,19,23,25,4,25,26,9,209,1013,16,10.0,0.0,12.4,20,85,6,Williamson County,Illinois
2020-05-24,27,27,19,23,24,4,24,24,8,194,1014,13,5.9,0.0,11.3,20,86,5,Williamson County,Illinois
2020-05-25,29,29,19,23,25,5,25,26,7,166,1014,13,6.0,0.0,11.3,20,84,6,Williamson County,Illinois
2020-05-26,25,25,19,22,23,6,23,23,10,162,1014,16,3.2,0.0,11.3,20,88,5,Williamson County,Illinois
2020-05-27,23,23,19,20,20,4,21,21,8,141,1012,12,15.5,0.0,9.2,19,94,5,Williamson County,Illinois
2020-05-28,24,24,18,21,22,4,22,22,7,188,1012,13,8.2,0.0,12.4,19,90,5,Williamson County,Illinois
2020-05-29,24,24,16,19,19,4,20,21,8,331,1016,13,0.2,0.0,12.4,16,82,6,Williamson County,Illinois
2020-05-30,22,22,13,17,17,6,18,19,7,118,1021,11,0.0,0.0,14.5,13,79,5,Williamson County,Illinois
2020-05-31,22,22,13,18,18,6,18,20,5,72,1024,8,0.2,0.0,12.4,14,77,4,Williamson County,Illinois
2020-06-01,24,24,13,18,18,6,19,20,7,160,1023,11,0.0,0.0,14.5,13,73,5,Williamson County,Illinois
2020-06-02,27,27,16,21,22,6,22,23,8,217,1018,14,0.0,0.0,14.5,16,73,6,Williamson County,Illinois
2020-06-03,30,30,19,24,26,6,26,26,9,226,1013,14,1.9,0.0,14.5,20,79,7,Williamson County,Illinois
2020-06-04,29,29,20,25,27,4,27,26,6,238,1009,10,4.1,0.0,11.3,21,84,6,Williamson County,Illinois
2020-06-05,30,30,19,25,27,5,27,27,4,170,1012,6,0.4,0.0,14.5,21,79,7,Williamson County,Illinois
2020-06-06,31,31,20,26,28,6,28,27,4,77,1014,6,0.1,0.0,14.5,21,76,7,Williamson County,Illinois
2020-06-07,30,30,20,25,26,6,26,26,8,89,1014,12,0.1,0.0,14.5,20,78,7,Williamson County,Illinois
2020-06-08,29,29,18,23,25,6,25,25,11,99,1010,18,2.0,0.0,13.5,20,80,6,Williamson County,Illinois
2020-06-09,27,27,23,24,27,5,27,24,20,189,1003,32,10.1,0.0,9.3,22,88,5,Williamson County,Illinois
2020-06-10,24,24,16,22,22,6,23,22,15,236,1007,22,0.4,0.0,11.4,17,73,5,Williamson County,Illinois
2020-06-11,26,26,15,20,21,5,21,22,6,325,1022,10,0.0,0.0,14.5,15,73,6,Williamson County,Illinois
2020-06-12,29,29,17,23,23,6,23,25,3,320,1024,6,0.6,0.0,14.5,16,67,7,Williamson County,Illinois
