date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,3,3,-2,-4,-4,6,1,2,10,260,1008,18,0.0,0.0,7.1,0,94,1,Winona County,Minnesota
2020-03-02,0,0,-5,-7,-7,6,-3,-2,8,273,1010,12,0.0,0.0,8.6,-4,89,2,Winona County,Minnesota
2020-03-03,2,2,-5,-6,-6,5,-1,1,12,287,1003,17,0.3,0.1,5.6,-3,87,1,Winona County,Minnesota
2020-03-04,2,2,-6,-6,-6,6,-2,-2,8,273,1014,12,0.0,0.0,11.6,-4,85,2,Winona County,Minnesota
2020-03-05,2,2,-3,-5,-5,4,1,2,15,278,1012,23,5.3,0.3,5.8,0,91,1,Winona County,Minnesota
2020-03-06,1,1,-7,-8,-8,6,-4,-3,8,210,1032,11,0.0,0.0,11.6,-7,81,2,Winona County,Minnesota
2020-03-07,8,8,-5,-3,-3,6,1,3,12,192,1024,22,0.0,0.0,11.6,-2,80,2,Winona County,Minnesota
2020-03-08,13,13,4,5,5,6,8,9,14,197,1013,25,0.0,0.0,10.2,4,81,2,Winona County,Minnesota
2020-03-09,4,4,2,1,1,5,4,4,10,333,1014,15,0.6,0.0,5.9,3,90,1,Winona County,Minnesota
2020-03-10,7,7,-3,-1,-1,4,2,2,5,235,1023,7,1.9,0.0,10.2,-3,78,2,Winona County,Minnesota
2020-03-11,7,7,1,1,1,5,3,4,5,240,1015,7,6.7,0.0,8.8,1,87,1,Winona County,Minnesota
2020-03-12,10,10,2,1,1,5,5,8,15,263,1005,22,4.2,0.1,7.3,2,82,2,Winona County,Minnesota
2020-03-13,3,3,-2,-6,-6,6,0,1,16,302,1024,20,0.0,0.0,11.6,-9,53,2,Winona County,Minnesota
2020-03-14,2,2,-3,-5,-5,6,-1,0,6,40,1036,9,0.0,0.0,7.4,-7,68,1,Winona County,Minnesota
2020-03-15,6,6,-4,-3,-3,6,0,1,5,124,1038,7,0.0,0.0,10.2,-5,71,1,Winona County,Minnesota
2020-03-16,4,4,-2,-2,-2,5,1,2,8,249,1025,10,0.6,0.3,6.0,-1,84,1,Winona County,Minnesota
2020-03-17,8,8,-4,-3,-3,6,1,3,8,285,1025,11,0.1,0.1,11.6,-6,60,2,Winona County,Minnesota
2020-03-18,4,4,1,-1,-1,4,2,2,7,131,1020,11,1.5,0.0,6.0,0,88,1,Winona County,Minnesota
2020-03-19,6,6,2,1,1,3,4,5,8,86,1013,13,13.5,0.0,6.0,3,97,1,Winona County,Minnesota
2020-03-20,1,1,-4,-8,-8,4,-2,-2,15,344,1028,19,1.1,0.0,10.2,-5,77,1,Winona County,Minnesota
2020-03-21,2,2,-6,-6,-6,6,-2,-2,7,144,1035,9,0.0,0.0,8.8,-8,67,1,Winona County,Minnesota
2020-03-22,6,6,-3,-4,-4,4,1,2,12,154,1027,15,2.0,1.6,7.5,-3,75,1,Winona County,Minnesota
2020-03-23,8,8,-1,0,0,5,3,4,6,234,1021,8,0.4,0.0,6.1,1,88,1,Winona County,Minnesota
2020-03-24,9,9,2,2,2,5,5,6,8,167,1017,11,0.0,0.0,8.9,2,81,2,Winona County,Minnesota
2020-03-25,11,11,4,5,5,4,8,8,10,194,1010,16,9.2,0.0,6.1,4,89,2,Winona County,Minnesota
2020-03-26,9,9,3,4,4,5,5,6,4,46,1011,6,6.9,0.0,6.4,3,84,2,Winona County,Minnesota
2020-03-27,12,12,3,5,5,4,7,8,7,114,1012,10,0.7,0.0,11.6,4,80,3,Winona County,Minnesota
2020-03-28,8,8,2,3,3,5,7,7,14,83,1003,19,19.0,0.0,6.4,6,93,2,Winona County,Minnesota
2020-03-29,6,6,-2,2,2,4,5,5,12,316,1001,17,18.6,0.0,6.4,4,92,2,Winona County,Minnesota
2020-03-30,11,11,1,3,3,6,6,6,8,356,1022,12,0.0,0.0,11.6,1,77,3,Winona County,Minnesota
