date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,14,14,-3,3,3,6,6,7,10,191,1020,16,0.0,0.0,11.2,-1,67,3,Woodford County,Kentucky
2020-03-02,14,14,9,8,8,4,10,11,13,216,1010,22,25.1,0.0,5.6,9,89,3,Woodford County,Kentucky
2020-03-03,14,14,7,9,9,5,11,13,13,263,1006,21,11.3,0.0,7.1,8,83,3,Woodford County,Kentucky
2020-03-04,14,14,4,7,7,6,9,10,9,244,1015,14,0.0,0.0,11.3,3,70,4,Woodford County,Kentucky
2020-03-05,13,13,2,4,4,6,7,8,8,183,1018,14,0.0,0.0,11.3,2,73,2,Woodford County,Kentucky
2020-03-06,4,4,-1,-2,-2,3,3,3,14,308,1022,19,0.8,0.1,5.7,-1,75,1,Woodford County,Kentucky
2020-03-07,9,9,-3,0,0,5,3,4,4,72,1034,7,0.0,0.0,11.4,-4,67,2,Woodford County,Kentucky
2020-03-08,14,14,0,4,4,6,6,8,9,208,1030,14,0.0,0.0,11.4,0,66,3,Woodford County,Kentucky
2020-03-09,16,16,7,9,9,6,11,13,13,211,1027,22,0.0,0.0,8.8,6,70,4,Woodford County,Kentucky
2020-03-10,14,14,9,11,11,5,13,14,13,279,1020,19,9.0,0.0,5.9,11,88,3,Woodford County,Kentucky
2020-03-11,15,15,7,9,9,5,10,11,5,248,1018,6,0.0,0.0,8.8,7,84,3,Woodford County,Kentucky
2020-03-12,19,19,9,13,13,5,13,14,8,181,1011,13,11.3,0.0,6.0,11,89,3,Woodford County,Kentucky
2020-03-13,10,10,6,8,8,5,10,9,9,312,1021,13,7.3,0.0,8.8,5,74,2,Woodford County,Kentucky
2020-03-14,6,6,-4,0,0,5,3,4,9,73,1030,14,12.1,0.0,6.0,-1,75,1,Woodford County,Kentucky
2020-03-15,7,7,2,0,0,5,4,5,10,42,1031,14,0.6,0.0,6.0,1,86,1,Woodford County,Kentucky
2020-03-16,11,11,1,4,4,4,6,7,5,196,1026,7,0.7,0.0,7.4,3,85,2,Woodford County,Kentucky
2020-03-17,13,13,5,6,6,4,8,9,5,323,1024,8,1.1,0.0,7.4,6,87,2,Woodford County,Kentucky
2020-03-18,16,16,4,9,9,5,10,11,9,167,1021,15,34.5,0.0,6.0,9,94,3,Woodford County,Kentucky
2020-03-19,20,20,14,17,17,4,17,18,10,192,1018,17,13.6,0.0,6.0,16,94,4,Woodford County,Kentucky
2020-03-20,22,22,11,18,18,4,19,20,16,261,1018,24,30.3,0.0,6.1,14,84,4,Woodford County,Kentucky
2020-03-21,6,6,1,2,2,6,4,5,7,132,1030,9,0.1,0.0,6.1,0,74,1,Woodford County,Kentucky
2020-03-22,11,11,-1,1,1,5,5,6,8,88,1027,12,0.5,0.0,10.2,1,77,2,Woodford County,Kentucky
2020-03-23,12,12,6,8,8,5,10,11,6,324,1020,10,6.0,0.0,6.1,8,90,3,Woodford County,Kentucky
2020-03-24,15,15,4,6,6,4,9,11,10,95,1016,15,12.6,0.0,7.5,7,87,3,Woodford County,Kentucky
2020-03-25,17,17,4,10,10,5,12,12,5,8,1014,8,5.5,0.0,10.2,7,81,4,Woodford County,Kentucky
2020-03-26,21,21,7,12,12,4,14,15,9,210,1012,16,0.0,0.0,11.6,11,82,5,Woodford County,Kentucky
2020-03-27,22,22,16,19,19,5,19,20,7,145,1010,12,6.0,0.0,6.1,17,91,4,Woodford County,Kentucky
2020-03-28,23,23,18,20,20,6,21,21,12,223,1009,19,1.4,0.0,7.5,18,88,5,Woodford County,Kentucky
2020-03-29,17,17,13,15,15,6,16,16,16,245,1012,25,3.2,0.0,11.6,12,76,5,Woodford County,Kentucky
2020-03-30,15,15,7,9,9,6,11,12,8,284,1020,13,0.0,0.0,11.6,5,71,4,Woodford County,Kentucky
2020-03-31,8,8,5,4,4,4,7,7,7,246,1014,10,4.7,0.0,6.4,5,88,2,Woodford County,Kentucky
2020-04-01,9,9,2,3,3,5,5,7,7,345,1016,10,0.5,0.0,6.4,3,87,2,Woodford County,Kentucky
2020-04-02,14,14,3,8,8,6,9,10,3,223,1021,5,0.0,0.0,11.6,4,78,3,Woodford County,Kentucky
2020-04-03,18,18,5,11,11,6,12,14,2,91,1018,3,0.0,0.0,11.6,6,72,4,Woodford County,Kentucky
2020-04-04,21,21,9,14,14,6,14,16,3,203,1017,5,1.7,0.0,9.0,9,75,4,Woodford County,Kentucky
2020-04-05,16,16,10,12,12,5,13,14,5,315,1018,8,2.6,0.0,6.4,11,92,3,Woodford County,Kentucky
2020-04-06,20,20,11,15,15,6,15,16,4,251,1018,6,1.7,0.0,6.5,12,86,4,Woodford County,Kentucky
2020-04-07,23,23,12,17,17,5,18,19,10,236,1011,16,5.6,0.0,6.5,15,89,4,Woodford County,Kentucky
2020-04-08,23,23,17,19,19,6,20,20,10,263,1005,16,5.9,0.0,6.5,17,90,5,Woodford County,Kentucky
2020-04-09,12,12,5,8,8,5,10,10,12,294,1008,17,5.0,0.0,11.6,5,71,4,Woodford County,Kentucky
2020-04-10,10,10,0,1,1,5,4,6,10,301,1017,15,0.6,0.3,11.6,-1,70,3,Woodford County,Kentucky
2020-04-11,15,15,1,6,6,5,8,10,7,208,1017,11,0.7,0.0,10.3,2,70,4,Woodford County,Kentucky
2020-04-12,16,16,8,10,10,4,12,13,10,180,1009,17,20.8,0.0,6.5,10,85,3,Woodford County,Kentucky
2020-04-13,12,12,4,8,8,5,10,10,12,286,1009,18,11.0,0.0,9.1,7,82,2,Woodford County,Kentucky
2020-04-14,7,7,-1,1,1,4,4,5,5,190,1023,8,0.8,0.1,6.6,-2,67,1,Woodford County,Kentucky
2020-04-15,11,11,-2,2,2,6,4,7,8,238,1021,12,0.9,0.0,10.3,-2,66,2,Woodford County,Kentucky
2020-04-16,11,11,-3,4,4,6,5,7,3,292,1027,5,0.0,0.0,11.6,-2,65,3,Woodford County,Kentucky
2020-04-17,14,14,4,7,7,4,9,12,12,235,1017,19,9.4,0.0,7.8,5,77,3,Woodford County,Kentucky
2020-04-18,12,12,-1,3,3,5,6,7,7,296,1018,10,12.3,7.0,11.6,1,76,3,Woodford County,Kentucky
2020-04-19,13,13,3,6,6,5,8,10,5,251,1012,9,0.2,0.0,8.0,4,78,2,Woodford County,Kentucky
2020-04-20,16,16,6,10,10,4,11,13,6,191,1008,11,0.1,0.0,11.6,7,79,4,Woodford County,Kentucky
2020-04-21,12,12,5,7,7,6,10,11,11,304,1012,17,0.4,0.0,11.6,5,73,4,Woodford County,Kentucky
2020-04-22,18,18,3,9,9,6,10,13,5,198,1017,9,0.0,0.0,11.6,5,72,4,Woodford County,Kentucky
2020-04-23,14,14,11,11,11,4,12,12,8,115,1005,13,38.7,0.0,6.9,11,93,3,Woodford County,Kentucky
2020-04-24,16,16,10,12,12,4,13,14,5,348,1008,7,1.5,0.0,6.9,11,90,3,Woodford County,Kentucky
2020-04-25,17,17,9,12,12,4,13,15,8,154,1008,14,20.8,0.0,9.2,12,91,3,Woodford County,Kentucky
2020-04-26,10,10,3,7,7,4,9,9,10,311,1011,15,29.4,0.0,6.9,9,95,2,Woodford County,Kentucky
2020-04-27,16,16,5,10,10,5,11,13,5,216,1022,8,0.0,0.0,11.6,7,78,4,Woodford County,Kentucky
2020-04-28,19,19,9,14,14,5,14,16,10,224,1016,17,0.2,0.0,11.6,10,77,5,Woodford County,Kentucky
2020-04-29,16,16,9,12,12,4,13,14,13,230,1005,22,53.7,0.0,6.9,11,88,3,Woodford County,Kentucky
2020-04-30,9,9,7,6,6,4,8,9,12,264,1008,18,3.1,0.0,6.9,7,91,2,Woodford County,Kentucky
2020-05-01,17,17,5,9,9,6,11,12,7,306,1016,11,0.0,0.0,11.6,6,75,4,Woodford County,Kentucky
2020-05-02,23,23,10,16,16,6,17,19,10,222,1017,16,0.3,0.0,10.4,14,81,4,Woodford County,Kentucky
2020-05-03,19,19,15,17,17,4,17,18,9,254,1013,15,18.5,0.0,7.0,16,95,4,Woodford County,Kentucky
2020-05-04,20,20,8,14,14,6,14,17,6,137,1016,9,0.9,0.0,10.4,10,76,4,Woodford County,Kentucky
2020-05-05,15,15,6,9,9,5,11,12,10,170,1010,14,16.2,0.0,7.0,9,90,3,Woodford County,Kentucky
2020-05-06,13,13,4,5,5,6,7,9,9,334,1016,12,1.6,0.0,7.0,3,75,2,Woodford County,Kentucky
