date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,19,19,8,12,12,6,13,14,9,194,1019,15,0.5,0.0,7.1,6,68,3,Yalobusha County,Mississippi
2020-03-02,19,19,13,16,16,5,16,17,9,216,1011,15,8.6,0.0,5.7,14,91,4,Yalobusha County,Mississippi
2020-03-03,18,18,14,16,16,5,16,17,7,306,1011,11,6.7,0.0,10.1,12,78,5,Yalobusha County,Mississippi
2020-03-04,12,12,2,9,9,5,11,11,5,101,1016,8,18.7,0.0,7.2,9,85,3,Yalobusha County,Mississippi
2020-03-05,18,18,9,12,12,5,12,13,5,219,1019,7,16.3,0.0,8.6,8,78,3,Yalobusha County,Mississippi
2020-03-06,12,12,5,6,6,6,8,9,9,346,1029,14,0.0,0.0,11.6,1,60,3,Yalobusha County,Mississippi
2020-03-07,14,14,2,6,6,6,7,9,5,87,1033,8,0.0,0.0,11.6,-1,60,2,Yalobusha County,Mississippi
2020-03-08,18,18,4,10,10,6,12,13,7,171,1030,11,0.0,0.0,11.6,4,64,4,Yalobusha County,Mississippi
2020-03-09,19,19,11,14,14,5,15,16,11,173,1026,17,7.4,0.0,7.3,12,82,4,Yalobusha County,Mississippi
2020-03-10,19,19,12,16,16,5,16,18,7,273,1023,11,19.4,0.0,5.9,15,90,4,Yalobusha County,Mississippi
2020-03-11,22,22,11,16,16,3,17,18,5,238,1018,9,17.5,0.0,6.0,15,91,4,Yalobusha County,Mississippi
2020-03-12,25,25,17,20,20,5,20,21,9,209,1012,13,8.7,0.0,10.2,17,86,5,Yalobusha County,Mississippi
2020-03-13,14,14,6,11,11,4,13,12,9,49,1020,15,45.7,0.0,6.0,11,90,3,Yalobusha County,Mississippi
2020-03-14,22,22,10,15,15,6,15,17,6,195,1023,9,1.0,0.0,6.0,13,85,4,Yalobusha County,Mississippi
2020-03-15,13,13,8,9,9,5,11,11,8,27,1027,11,18.6,0.0,6.0,9,90,3,Yalobusha County,Mississippi
2020-03-16,18,18,7,11,11,5,12,13,4,66,1025,6,0.5,0.0,6.0,9,83,3,Yalobusha County,Mississippi
2020-03-17,20,20,11,15,15,4,15,16,4,36,1022,6,0.3,0.0,6.0,13,89,4,Yalobusha County,Mississippi
2020-03-18,25,25,14,19,19,4,19,21,8,206,1019,13,5.6,0.0,6.0,17,88,5,Yalobusha County,Mississippi
2020-03-19,25,25,19,21,23,5,23,22,10,202,1018,16,2.2,0.0,6.0,19,86,5,Yalobusha County,Mississippi
2020-03-20,20,20,13,18,18,4,18,19,9,241,1022,16,31.7,0.0,10.2,17,92,4,Yalobusha County,Mississippi
2020-03-21,16,16,6,9,9,6,11,12,7,16,1028,10,0.1,0.0,10.2,7,77,4,Yalobusha County,Mississippi
