date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,2,2,-8,-8,-8,5,-3,-2,8,283,1020,13,0.9,0.8,7.1,-6,83,1,Yates County,New York
2020-03-02,11,11,1,2,2,5,6,7,14,212,1009,24,6.7,0.0,5.8,2,80,2,Yates County,New York
2020-03-03,10,10,2,3,3,4,6,7,10,182,1002,15,5.5,0.0,5.8,4,91,2,Yates County,New York
2020-03-04,6,6,-3,-3,-3,4,2,4,16,274,1007,22,1.0,0.3,8.7,-2,75,1,Yates County,New York
2020-03-05,7,7,-3,0,0,5,3,3,6,277,1019,8,0.2,0.2,11.6,-5,68,2,Yates County,New York
2020-03-06,2,2,-3,-4,-4,2,0,1,9,104,1013,14,13.8,6.6,5.9,-2,89,1,Yates County,New York
2020-03-07,-1,-1,-6,-9,-9,3,-4,-3,10,321,1029,14,6.7,7.1,8.7,-5,88,1,Yates County,New York
2020-03-08,11,11,-4,1,1,6,4,6,8,246,1028,15,0.0,0.0,11.6,-2,68,3,Yates County,New York
2020-03-09,16,16,6,9,9,6,11,12,12,244,1024,21,0.0,0.0,11.6,4,64,4,Yates County,New York
2020-03-10,14,14,4,8,8,5,11,12,15,236,1015,22,2.0,0.0,5.9,5,76,3,Yates County,New York
2020-03-11,4,4,-2,-1,-1,6,1,2,5,64,1021,7,0.1,0.0,7.3,-4,73,1,Yates County,New York
2020-03-12,11,11,0,3,3,6,6,8,9,166,1016,14,0.0,0.0,7.4,3,81,2,Yates County,New York
2020-03-13,12,12,1,2,2,5,7,8,19,270,1010,27,8.4,0.0,8.8,2,72,2,Yates County,New York
2020-03-14,6,6,-1,-3,-3,6,1,3,11,303,1028,16,0.0,0.0,10.2,-4,70,1,Yates County,New York
2020-03-15,1,1,-5,-5,-5,5,-1,-1,8,4,1035,11,0.7,0.5,11.6,-8,67,2,Yates County,New York
2020-03-16,8,8,-5,-2,-2,6,1,3,8,172,1031,12,0.0,0.0,10.2,-7,57,1,Yates County,New York
2020-03-17,7,7,-3,0,0,4,4,6,12,272,1021,17,0.8,0.0,7.4,1,81,2,Yates County,New York
2020-03-18,8,8,-2,0,0,6,3,4,7,143,1029,10,0.8,0.0,10.2,-2,73,1,Yates County,New York
2020-03-19,13,13,5,7,7,5,9,10,6,147,1021,10,9.0,0.0,6.0,7,89,3,Yates County,New York
2020-03-20,19,19,7,13,13,5,15,17,18,245,1011,27,3.6,0.1,6.1,9,80,4,Yates County,New York
2020-03-21,1,1,-5,-8,-8,5,-3,-2,11,355,1032,13,0.4,0.3,11.6,-11,57,2,Yates County,New York
2020-03-22,5,5,-6,-4,-4,6,-1,0,5,83,1036,8,0.0,0.0,11.6,-12,47,2,Yates County,New York
2020-03-23,5,5,0,-3,-3,3,2,3,14,174,1024,20,8.3,0.0,6.1,0,89,1,Yates County,New York
