date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,COUNTY,STATE
2020-03-01,20,20,9,13,13,6,14,15,12,187,1020,20,0.2,0.0,10.1,7,67,4,Yazoo County,Mississippi
2020-03-02,22,22,15,18,18,5,18,19,12,214,1012,19,5.9,0.0,7.3,16,87,4,Yazoo County,Mississippi
2020-03-03,20,20,16,18,18,5,18,19,7,190,1011,12,6.4,0.0,5.9,17,90,4,Yazoo County,Mississippi
2020-03-04,14,14,7,12,12,5,13,14,11,159,1015,17,19.5,0.0,5.9,11,87,3,Yazoo County,Mississippi
2020-03-05,17,17,10,11,11,5,12,13,11,126,1018,16,4.7,0.0,10.2,9,82,3,Yazoo County,Mississippi
2020-03-06,13,13,6,7,7,6,10,10,10,351,1030,17,0.0,0.0,11.6,3,65,4,Yazoo County,Mississippi
2020-03-07,15,15,3,7,7,6,8,10,6,91,1032,10,0.0,0.0,11.6,1,63,3,Yazoo County,Mississippi
2020-03-08,18,18,6,10,10,6,12,13,8,166,1029,13,0.0,0.0,11.6,6,69,4,Yazoo County,Mississippi
2020-03-09,21,21,11,15,15,5,16,17,12,175,1026,19,6.2,0.0,5.9,13,84,4,Yazoo County,Mississippi
2020-03-10,21,21,16,18,18,5,18,19,7,249,1024,11,1.1,0.0,7.4,16,89,4,Yazoo County,Mississippi
2020-03-11,24,24,15,19,19,4,20,21,8,225,1018,13,0.2,0.0,8.8,17,87,5,Yazoo County,Mississippi
2020-03-12,25,25,16,20,20,6,21,21,12,212,1013,18,0.0,0.0,11.6,17,82,6,Yazoo County,Mississippi
2020-03-13,19,19,12,16,16,3,17,17,8,133,1019,13,1.1,0.0,6.0,16,92,4,Yazoo County,Mississippi
2020-03-14,25,25,14,19,19,4,20,21,6,193,1023,9,0.0,0.0,7.4,17,87,5,Yazoo County,Mississippi
2020-03-15,15,15,11,13,13,6,14,13,8,124,1026,12,2.4,0.0,6.0,13,93,3,Yazoo County,Mississippi
2020-03-16,20,20,10,14,14,5,14,15,5,172,1024,7,0.1,0.0,6.0,12,87,4,Yazoo County,Mississippi
2020-03-17,23,23,14,18,18,4,18,19,5,15,1022,9,0.1,0.0,10.2,16,87,5,Yazoo County,Mississippi
2020-03-18,25,25,17,21,22,4,22,22,8,189,1019,14,4.0,0.0,8.8,18,85,5,Yazoo County,Mississippi
2020-03-19,27,27,19,22,24,6,24,24,12,189,1019,19,0.1,0.0,7.4,19,83,5,Yazoo County,Mississippi
2020-03-20,22,22,16,20,20,5,20,20,10,280,1022,15,10.5,0.0,6.0,18,92,5,Yazoo County,Mississippi
2020-03-21,18,18,10,12,12,5,13,13,9,18,1027,12,0.2,0.0,8.8,10,84,3,Yazoo County,Mississippi
2020-03-22,18,18,10,12,12,4,13,13,4,92,1023,6,6.2,0.0,6.1,12,92,3,Yazoo County,Mississippi
2020-03-23,20,20,16,18,18,4,18,20,6,280,1019,10,6.0,0.0,6.1,18,95,4,Yazoo County,Mississippi
