date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-01-22,11,11,-2,2,2,6,4,6,5,41,1026,9,0.0,0.0,10.0,-5,51,2,12013
2020-01-23,17,17,7,10,10,5,11,12,6,114,1020,9,0.8,0.0,10.0,7,76,3,12013
2020-01-24,21,21,14,17,17,6,19,19,5,242,1016,9,6.0,0.0,6.9,13,83,4,12013
2020-01-25,15,15,6,9,9,6,11,11,5,324,1021,8,0.0,0.0,10.8,3,65,4,12013
2020-01-26,15,15,6,9,9,6,10,11,3,231,1020,5,0.3,0.0,10.0,4,71,3,12013
2020-01-27,13,13,10,11,11,3,11,11,3,52,1015,5,1.5,0.0,5.4,9,91,3,12013
2020-01-28,18,18,6,11,11,4,12,13,5,44,1017,8,0.0,0.0,10.8,4,67,4,12013
2020-01-29,15,15,8,9,9,4,10,12,6,104,1014,10,2.0,0.0,7.0,6,73,3,12013
2020-01-30,18,18,7,11,11,5,12,13,6,61,1017,9,0.0,0.0,10.8,8,78,4,12013
2020-01-31,13,13,5,10,10,4,12,12,6,46,1017,9,13.8,0.0,5.4,10,88,3,12013
2020-02-01,16,16,8,11,11,4,11,13,5,210,1018,8,0.3,0.0,7.0,8,82,3,12013
2020-02-02,18,18,5,10,10,6,12,13,5,273,1021,8,0.0,0.0,10.9,4,67,4,12013
2020-02-03,23,23,10,16,16,5,18,18,4,227,1020,7,0.0,0.0,10.9,10,74,5,12013
2020-02-04,23,23,13,17,17,4,18,19,6,189,1018,9,0.0,0.0,10.1,14,82,5,12013
2020-02-05,23,23,16,19,19,3,20,20,8,166,1013,12,6.3,0.0,5.5,18,91,5,12013
2020-02-06,23,23,15,20,20,4,22,22,12,225,1003,22,56.5,0.0,5.5,18,90,5,12013
2020-02-07,13,13,6,8,8,6,9,9,8,287,1015,11,0.2,0.0,10.9,0,53,3,12013
2020-02-08,18,18,5,11,11,6,12,13,4,184,1025,6,0.0,0.0,11.0,3,59,4,12013
2020-02-09,21,21,8,14,14,6,15,16,6,112,1028,9,0.0,0.0,11.0,6,64,5,12013
2020-02-10,23,23,13,17,17,6,18,19,7,165,1023,11,0.0,0.0,8.6,14,80,4,12013
2020-02-11,26,26,17,21,21,3,21,23,6,204,1019,10,4.1,0.0,5.5,19,89,5,12013
2020-02-12,26,26,18,21,22,3,22,23,7,169,1017,10,0.6,0.0,5.5,19,87,5,12013
2020-02-13,26,26,19,22,24,4,24,24,8,244,1016,14,9.9,0.0,5.5,18,85,5,12013
2020-02-14,17,17,9,11,11,6,12,13,7,125,1024,10,0.5,0.0,11.1,4,59,3,12013
2020-02-15,19,19,5,11,11,6,12,13,5,77,1027,9,0.0,0.0,11.1,0,47,4,12013
2020-02-16,15,15,11,12,12,3,13,13,4,40,1020,6,5.0,0.0,5.6,12,93,3,12013
2020-02-17,23,23,15,18,18,2,18,19,5,127,1018,7,1.5,0.0,5.6,17,94,4,12013
2020-02-18,27,27,17,21,22,3,22,23,5,179,1019,8,0.0,0.0,10.1,18,84,5,12013
2020-02-19,27,27,18,21,22,4,22,22,5,43,1022,8,0.4,0.0,5.6,16,77,5,12013
2020-02-20,22,22,13,18,18,5,19,20,7,208,1020,10,3.5,0.0,5.6,14,84,4,12013
2020-02-21,13,13,6,6,6,6,9,10,11,25,1028,14,0.0,0.0,10.1,2,65,3,12013
2020-02-22,15,15,1,7,7,6,9,9,5,48,1030,8,0.0,0.0,11.2,-4,50,3,12013
2020-02-23,20,20,4,11,11,6,12,14,3,147,1024,6,0.0,0.0,11.2,4,62,4,12013
2020-02-24,22,22,11,16,16,6,17,18,7,169,1016,11,2.7,0.0,7.1,13,80,4,12013
2020-02-25,25,25,18,20,20,5,21,22,5,251,1011,7,14.0,0.0,5.6,18,87,5,12013
2020-02-26,18,18,14,17,17,4,17,17,6,297,1015,9,0.0,0.0,11.3,10,73,5,12013
2020-02-27,12,12,3,5,5,6,7,8,7,333,1024,10,0.0,0.0,11.3,-1,57,3,12013
