date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2019-01-01,-3,-3,-4,-9,-9,4,-3,-3,11,225,1026,13,0.7,0.4,3.5,-7,78,1,17001
2019-01-02,-3,-3,-8,-9,-9,6,-5,-5,6,233,1026,11,0.0,0.0,7.0,-12,60,1,17001
2019-01-03,5,5,-7,-5,-5,6,-1,0,7,223,1018,12,0.0,0.0,8.7,-8,60,2,17001
2019-01-04,7,7,-4,-2,-2,6,2,2,8,272,1013,10,0.0,0.0,7.0,-4,67,1,17001
2019-01-05,11,11,-2,1,1,6,4,5,7,257,1016,13,0.0,0.0,8.7,-1,73,3,17001
2019-01-06,7,7,0,0,0,6,4,3,8,116,1018,16,0.0,0.0,5.2,1,79,1,17001
2019-01-07,13,13,7,8,8,5,9,11,11,233,1010,25,21.1,0.0,5.2,7,87,3,17001
2019-01-08,7,7,3,1,1,6,5,5,13,304,1019,26,0.0,0.0,8.7,0,69,2,17001
2019-01-09,-2,-2,-6,-9,-9,6,-3,-3,12,323,1030,21,0.0,0.0,8.7,-12,52,2,17001
2019-01-10,0,0,-8,-7,-7,6,-3,-3,7,91,1030,8,0.0,0.0,7.0,-10,60,1,17001
2019-01-11,3,3,-1,-3,-3,5,1,1,8,146,1025,15,3.6,0.0,8.2,-3,77,1,17001
2019-01-12,1,1,-2,-2,-2,2,1,0,5,78,1026,18,15.7,13.4,4.9,-1,87,1,17001
2019-01-13,1,1,-3,-4,-4,3,-1,-1,6,21,1031,15,1.6,1.2,4.9,-3,86,1,17001
2019-01-14,1,1,-5,-6,-6,4,-2,-2,5,238,1029,8,0.2,0.2,6.6,-4,84,1,17001
2019-01-15,2,2,-4,-4,-4,4,0,0,8,217,1023,12,0.5,0.0,4.9,-2,87,1,17001
2019-01-16,1,1,-4,-4,-4,4,0,-1,7,196,1021,7,0.7,0.4,4.9,-2,88,1,17001
2019-01-17,0,0,-4,-5,-5,3,-1,-1,7,218,1020,9,2.5,0.3,4.9,-3,88,1,17001
2019-01-18,-2,-2,-6,-8,-8,4,-3,-4,8,98,1020,11,2.3,1.4,4.9,-4,93,1,17001
2019-01-19,-4,-4,-8,-14,-14,3,-6,-6,19,127,1020,27,8.5,7.1,4.9,-8,88,1,17001
2019-01-20,-10,-10,-15,-18,-18,4,-12,-12,8,234,1029,11,1.2,0.8,6.6,-15,80,1,17001
2019-01-21,-5,-5,-11,-15,-15,6,-8,-8,14,133,1025,21,0.0,0.0,6.6,-11,76,1,17001
2019-01-22,2,2,-1,-5,-5,4,0,1,15,160,1011,26,11.8,0.0,5.0,-2,82,1,17001
2019-01-23,-5,-5,-9,-10,-10,3,-5,-7,8,308,1018,16,3.9,0.2,5.0,-8,83,1,17001
2019-01-24,-7,-7,-11,-18,-18,4,-10,-9,14,316,1022,20,0.2,0.0,6.6,-13,80,1,17001
2019-01-25,-7,-7,-20,-20,-20,4,-12,-13,10,211,1026,14,1.4,0.9,8.3,-16,76,1,17001
2019-01-26,-5,-5,-19,-16,-16,2,-11,-11,5,147,1022,9,3.0,2.6,5.0,-14,78,1,17001
2019-01-27,-5,-5,-14,-14,-14,6,-8,-10,7,115,1019,13,0.0,0.0,10.0,-11,77,2,17001
2019-01-28,-2,-2,-12,-14,-14,3,-7,-6,16,299,1011,27,9.1,0.0,5.0,-9,81,1,17001
2019-01-29,-14,-14,-17,-25,-25,6,-16,-15,13,298,1024,22,0.0,0.0,10.0,-19,73,2,17001
2019-01-30,-21,-21,-25,-34,-34,6,-23,-23,11,295,1032,14,0.0,0.0,10.1,-27,69,1,17001
2019-01-31,-7,-7,-20,-21,-21,5,-14,-14,8,117,1028,11,0.4,0.3,5.0,-19,71,1,17001
2019-02-01,0,0,-10,-8,-8,4,-4,-5,6,86,1024,9,0.0,0.0,10.0,-8,77,1,17001
2019-02-02,9,9,-1,2,2,5,5,5,9,189,1018,19,0.3,0.0,5.1,2,84,1,17001
2019-02-03,12,12,7,9,9,6,10,9,11,177,1009,21,0.4,0.0,5.1,8,86,2,17001
2019-02-04,11,11,2,4,4,6,7,7,13,289,1010,20,0.4,0.0,6.7,3,83,2,17001
2019-02-05,2,2,-5,-5,-5,6,-1,-1,7,89,1019,10,4.4,0.0,6.7,-8,63,1,17001
2019-02-06,4,4,2,1,1,2,3,3,6,59,1012,10,8.9,0.0,5.1,3,97,1,17001
2019-02-07,11,11,0,0,0,3,5,7,13,252,1010,20,3.0,0.0,5.1,3,88,2,17001
2019-02-08,-5,-5,-16,-17,-17,6,-9,-9,14,297,1037,21,0.0,0.0,10.3,-18,53,2,17001
2019-02-09,-3,-3,-16,-14,-14,12,-8,-8,8,114,1041,11,0.0,0.0,10.3,-17,48,2,17001
2019-02-10,0,0,-6,-6,-6,6,-1,-2,8,166,1028,10,0.4,0.1,5.2,-6,72,1,17001
2019-02-11,1,1,-7,-6,-6,4,-1,-2,9,89,1020,13,9.0,0.0,5.2,-4,83,1,17001
2019-02-12,0,0,-3,-7,-7,2,-1,-1,15,290,1009,23,2.6,0.0,5.2,-4,80,1,17001
2019-02-13,5,5,-6,-6,-6,8,-1,-2,10,221,1017,19,0.0,0.0,10.0,-6,68,1,17001
2019-02-14,7,7,2,1,1,7,4,5,13,218,1005,23,0.1,0.0,10.1,-1,78,2,17001
2019-02-15,-8,-8,-12,-15,-15,7,-8,-9,13,329,1017,14,0.0,0.0,7.0,-12,68,1,17001
2019-02-16,-2,-2,-12,-11,-11,9,-6,-6,9,77,1016,12,0.0,0.0,10.8,-11,64,2,17001
2019-02-17,0,0,-4,-6,-6,6,-2,-2,8,220,1012,11,3.5,2.9,5.4,-4,84,1,17001
2019-02-18,-3,-3,-6,-9,-9,6,-4,-4,9,333,1027,13,0.5,0.5,5.5,-7,78,1,17001
2019-02-19,-1,-1,-9,-9,-9,6,-4,-4,8,97,1030,12,0.0,0.0,8.5,-8,75,1,17001
2019-02-20,1,1,-3,-4,-4,4,0,0,10,204,1015,21,4.1,0.0,5.5,-2,89,1,17001
2019-02-21,1,1,-6,-6,-6,6,-1,-1,8,227,1022,10,0.0,0.0,11.0,-4,82,2,17001
